GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
01133000007,2450,1968,1880,17,7,51,2,3,88,7046,6264,758,24
01133000002,7603,5899,5248,327,68,213,36,4,651,16971,14842,1985,144
01133000004,1329,1063,991,17,9,37,3,1,72,3118,2723,370,25
01133000005,2741,2311,2223,17,19,41,5,0,88,7519,6636,839,44
01133000003,1730,1372,1310,22,6,21,4,0,62,4261,3827,400,34
01133000001,2907,2311,2191,21,13,63,5,1,120,6924,5936,938,50
01063000202,407,339,73,3,259,6,2,1,266,1752,291,1461,0
01057001101,935,710,627,19,41,18,5,1,83,2712,2158,543,11
01057000101,5385,4277,3089,114,966,104,21,3,1188,15446,10366,4964,116
01057001701,252,206,98,2,104,0,2,0,108,898,406,489,3
01069000101,3348,2607,2003,37,482,54,12,2,604,8556,6394,2104,58
01063000104,352,299,59,2,236,1,0,0,240,1479,255,1224,0
01063000201,967,835,270,12,546,5,6,0,565,3395,812,2572,11
01063000401,950,756,183,4,561,11,0,0,573,4155,874,3267,14
01063000501,751,549,66,3,478,8,1,0,483,2296,340,1952,4
01069000331,5454,4221,3255,116,654,71,113,3,966,12528,9802,2612,114
01069000501,5122,3996,3205,146,449,93,100,13,791,13168,10586,2442,140
01069000311,4360,3117,2561,146,301,77,38,6,556,9408,7852,1467,89
01069000181,8331,6523,4287,421,1518,157,138,10,2236,18676,12853,5646,177
01069000410,7366,5795,4602,202,612,134,230,12,1193,18959,15011,3751,197
01069000352,6964,5555,4486,171,586,118,176,5,1069,19592,15723,3614,255
01069000323,5937,4550,2541,286,1503,117,139,18,2009,12998,8141,4721,136
01069000371,8558,6411,2305,215,3742,136,62,15,4106,13048,5148,7799,101
01069000211,3143,2529,2160,71,189,83,13,3,369,7108,6112,951,45
01069000141,3038,2383,1970,37,316,54,4,3,413,7508,6118,1340,50
01069000251,2628,2068,914,50,1044,21,46,2,1154,4098,1701,2353,44
01069000271,762,630,404,10,205,18,1,2,226,1893,1114,774,5
01069000121,1745,1397,1132,12,221,25,6,4,265,4549,3659,856,34
01069000233,3056,2295,1379,88,783,21,21,1,916,6923,4277,2596,50
01069000341,1865,1461,1117,44,239,49,15,2,344,4244,3281,931,32
01063000105,776,596,106,10,476,1,3,0,490,2588,803,1781,4
01077000115,3744,2977,2551,61,251,78,34,3,426,12338,8320,3884,134
01077000108,1923,1577,1170,45,297,45,13,6,407,4960,2497,2380,83
01077000004,3109,2523,2332,41,55,68,22,0,191,8091,6421,1600,70
01077000005,7060,5542,5220,96,51,120,14,2,322,17027,13419,3480,128
01077000103,2410,1915,1159,72,601,65,26,1,756,4712,1585,3058,69
01103003011,3310,2438,232,429,1751,49,15,3,2206,6454,390,6048,16
01103000101,1163,793,279,374,101,31,4,1,514,1364,490,868,6
01103001501,10416,7847,7032,146,323,258,49,2,815,26142,21493,4371,278
01103002801,880,707,668,10,15,13,1,0,39,2660,2313,329,18
01103001301,3290,2571,2359,32,42,90,14,0,212,8010,6763,1190,57
01103000403,2522,2022,1913,18,37,29,22,0,109,8347,6320,1915,112
01103000402,3907,2987,2292,244,296,112,34,6,695,9340,6534,2676,130
01103000501,7618,5906,5224,135,193,258,85,5,682,19756,16659,2872,225
