
GEOID,NAME
01001000001,Jones Community Ctr
01001000002,Heritage Baptist Church
01001000003,Billingsley Community Ctr
01001000004,East Memorial Christian Academy
01001000005,White City VF Station
01001000006,Marbury Middle School
01001000007,Boone's Chapel
01001000008,Independence VFD
01001000009,Booth VFD
01001000010,Trinity Methodist Church
01001000011,Central AL Electric Co-Op
01001000012,Old Kingston VFD
01001000013,Upper Kingston Community Ctr
01001000014,Autaugaville VFD
01001000015,Prattmont Baptist Church
01001000016,Doster Community Ctr
01001000017,Camellia Baptist Church
01001000018,County Line Baptist Church
01003000001,Little River VFD
01003000002,Tensaw VFD
01003000003,Old Vaughn School
01003000004,Crossroads Durant Chapel Bapt Church
01003000005,Douglasville Boykin Ctr
01003000006,Bromley Substation-Crossroads VFD
01003000007,Spanish Fort New Life Assembly of God Church
01003000008,Loxley Ellisville Community Ctr
01003000009,Loxley Civic Ctr
01003000010,Point Clear St Francis Point Anglican Church
01003000011,Lottie VFD
01003000012,Stockton Civic Bldg
01003000013,Rabun VFD
01003000014,Peridido VFD Station #1
01003000015,Bay Minette City Hall / Civic Ctr
01003000016,Pine Grove VFD Station #1
01003000017,White House Fork VFD
01003000018,Stapleton VFD
01003000019,Gateswood VFD
01003000020,Daphne High School
01003000021,Clear Springs UM Church
01003000022,Rosinton UM Church
01003000023,Belforest Community Ctr
01003000024,Silverhill Community Ctr
01003000025,PZK Hall
01003000026,Bethel Bapt Church
01003000027,Seminole Fire House
01003000028,Lillian Community Club
01003000029,Peridido Beach VFD
01003000030,Marlow/Fish River VFD
01003000031,Sumerdale Community Ctr
01003000032,Elberta Civic Ctr
01003000033,Graham Creek Interpretive Ctr
01003000034,Josephine VFD
01003000035,Daphne Civic Ctr
01003000036,Magnolia Springs Wesleyan Church
01003000037,Bon Secour Morgan's Chapel UM Church
01003000038,Foley Civic Ctr
01003000039,Gulf Shores Meyer Civic Ctr
01003000040,Fort Morgan VFD #1
01003000041,Orange Beach Community Ctr
01003000042,Fairhope Civic Ctr
01003000043,Fairhope 3 Circle Church
01003000044,Barnwell VFD
01003000045,Spanish Fort Community Ctr
01003000046,Spanish Fort Church of Christ
01003000047,Foley UM Church
01003000048,Gulf Shores Cultural Ctr
01003000049,Fairhope Avenue Bapt Church
01005000001,Baker Hill Town Hall
01005000002,Sutton/Elamville VFD
01005000003,Clio City Hall
01005000004,Bevill Ctr
01005000005,McCoo/Eufaula WB/Fellowship BC/Sanford
01005000006,Clayton Courthouse
01005000007,Eufaula Comm Ctr
01005000008,Mt. Andrew Comm Ctr.
01005000009,Louisville City Hall
01005000010,Texasville Comm Ctr
01005000011,Springhill VFD
0100500008A,Green's Cross VFD
0100500010A,Blue Springs City Hall
01007000001,Green Pond FD
01007000003,Eoline FD
01007000004,Brent City Hall
01007000005,Centreville Rock Bdg
01007000007,Lawley Comm Ctr
01007000009,Brent NG Armory
