
GEOID,NAME
05001000011,11 - McFall
05001000012,12 - Crockett
05001000013,13 - Keaton
05001000014,14 - Mill Bayou
05001000015,15 - Almyra
05001000021,21 - Prairie
05001000022,22 - Lagrue
05001000023,23 - St. Charles
05001000031,31 - Chester
05001000032,32 - Arkansas
05001000033,33 - Stanley
05001000034,34 - Gillett Ward 1
05001000035,35 - Gillett Ward 2
05001000036,36 - Gillett Ward 3
05001000037,37 - PT Deluce
05001000038,38 - Bayou Meto
05001000041,41 - Morris
05001000042,42 - Gum Pond
05001000043,43 - Barton
05001000044,44 - Henton
05001000045,45 - Brewer
05001000046,46 - Garland
05001000047,47 - Humphrey Ward 1
05001000048,48 - Humphrey Ward 3
05001000051,51 - DeWitt 1
05001000053,53 - Dewitt 2
05001000055,55 - Dewitt 3
05001000071,71 - Stuttgart 1
05001000081,81 - Stuttgart 2
05001000091,91 - Stuttgart 3
05003000001,01 - Crossett Ward 1
05003000002,02 - Crossett Ward 2
05003000003,03 - Crossett Ward 3
05003000004,04 - North Crossett East
05003000005,05 - North Crossett West
05003000006,06 - West Crossett Rural
05003000007,07 - VO - Tech
05003000008,08 - Cooter
05003000009,09 - Hickory Grove
05003000010,10 - Cross Roads
05003000011,11 - Hamburg Ward 3
05003000012,12 - Hamburg Ward 2
05003000013,13 - Hamburg Ward 1
05003000014,14 - Hamburg Rural
05003000015,15 - Mt. Zion
05003000016,16 - Milo
05003000017,17 - Beech Creek
05003000018,18 - Mist
05003000019,19 - Fountain Hill City
05003000020,20 - Fountain Hill Rural
05003000021,21 - Portland City
05003000022,22 - Portland Rural
05003000023,23 - Boydell
05003000024,24 - Snyder / Trafalgar
05003000025,25 - Montrose City
05003000026,26 - Montrose Rural
05003000027,27 - Parkdale City
05003000028,28 - Parkdale Rural
05003000029,29 - Wilmot City
05003000030,30 - Wilmot Rural
050050001-1,1-1
050050001-2,1-2
050050001-3,1-3
050050002-1,2-1
050050002-2,2-2
050050002-3,2-3
050050003-1,3-1
050050003-2,3-2
050050003-3,3-3
050050003-4,3-4
050050004-1,4-1
050050004-2,4-2
050050005-1,5-1
050050005-2,5-2
050050005-3,5-3
050050005-4,5-4
050050006-1,6-1
050050006-2,6-2
050050006-3,6-3
050050007-1,7-1
050050007-2,7-2
050050007-3,7-3
050050008-1,8-1
050050008-2,8-2
050050008-3,8-3
050050008-4,8-4
050050008-5,8-5
050050009-1,9-1
050050009-2,9-2
050050009-3,9-3
050050009-4,9-4
050050010-1,10-1
050050010-2,10-2
050050010-3,10-3
050050011-1,11-1
050050011-2,11-2
050050011-3,11-3
050050011-4,11-4
050050011-5,11-5
050050011-6,11-6
050050011-7,11-7
050050011-8,11-8
050050011-9,11-9
05007000001,Precinct 01
05007000002,Precinct 02
05007000003,Precinct 03
05007000004,Precinct 04
05007000005,Precinct 05
05007000006,Precinct 06
05007000007,Precinct 07
05007000008,Precinct 08
05007000009,Precinct 09
05007000010,Precinct 10
05007000011,Precinct 11
05007000012,Precinct 12
05007000013,Precinct 13
05007000014,Precinct 14
05007000015,Precinct 15
05007000016,Precinct 16
05007000017,Precinct 17
05007000018,Precinct 18
05007000019,Precinct 19
05007000020,Precinct 20
05007000021,Precinct 21
05007000022,Precinct 22
05007000023,Precinct 23
05007000024,Precinct 24
05007000025,Precinct 25
05007000026,Precinct 26
05007000027,Precinct 27
05007000028,Precinct 28
05007000029,Precinct 29
05007000030,Precinct 30
05007000031,Precinct 31
05007000032,Precinct 32
05007000033,Precinct 33
05007000034,Precinct 34
05007000035,Precinct 35
05007000036,Precinct 36
05007000037,Precinct 37
05007000038,Precinct 38
05007000039,Precinct 39
05007000040,Precinct 40
05007000041,Precinct 41
05007000042,Precinct 42
05007000043,Precinct 43
05007000044,Precinct 44
05007000045,Precinct 45
05007000046,Precinct 46
05007000047,Precinct 47
05007000048,Precinct 48
05007000049,Precinct 49
05007000050,Precinct 50
05007000051,Precinct 51
05007000052,Precinct 52
05007000053,Precinct 53
05007000054,Precinct 54
05007000055,Precinct 55
05007000056,Precinct 56
05007000057,Precinct 57
05007000058,Precinct 58
05007000059,Precinct 59
05007000060,Precinct 60
05007000061,Precinct 61
05007000062,Precinct 62
05007000063,Precinct 63
05007000064,Precinct 64
05007000065,Precinct 65
05007000066,Precinct 66
05007000067,Precinct 67
05007000068,Precinct 68
05007000069,Precinct 69
05007000070,Precinct 70
05007000071,Precinct 71
05007000072,Precinct 72
05007000073,Precinct 73
05007000074,Precinct 74
05007000075,Precinct 75
05007000076,Precinct 76
05007000077,Precinct 77
05007000078,Precinct 78
05007000079,Precinct 79
05007000080,Precinct 80
05007000081,Precinct 81
05007000082,Precinct 82
05007000083,Precinct 83
05007000084,Precinct 84
05007000085,Precinct 85
05007000086,Precinct 86
05007000087,Precinct 87
05007000088,Precinct 88
05007000089,Precinct 89
05007000090,Precinct 90
05007000091,Precinct 91
05007000092,Precinct 92
05007000093,Precinct 93
05007000094,Precinct 94
05007000095,Precinct 95
05007000096,Precinct 96
05007000097,Precinct 97
05007000098,Precinct 98
05007000099,Precinct 99
05007000100,Precinct 100
