GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
04001000040,1069,793,5,7,0,783,1,0,788,3283,483,2697,103
04001000145,1403,1002,10,9,3,973,12,2,992,4387,489,3785,113
04001000150,1253,874,6,1,1,865,3,0,868,2746,289,2400,57
04001000200,776,642,6,4,5,631,2,1,636,2453,411,1972,70
04001000140,1018,796,5,4,2,789,1,0,791,2346,608,1633,105
04001000190,722,547,17,3,0,527,0,0,530,2046,372,1598,76
04001000135,426,321,12,5,1,290,11,4,309,823,123,672,28
04001000110,330,252,0,4,1,248,0,0,252,634,85,523,26
04001000155,1043,756,1,8,5,749,0,0,755,3075,290,2709,76
04001000090,1841,1336,5,7,1,1329,0,0,1331,5120,468,4479,173
04001000210,2490,1838,295,81,4,1432,25,9,1543,5211,385,4672,154
04001000175,1023,722,4,0,6,716,0,0,718,2759,352,2302,105
04001000010,4666,3208,51,23,15,3115,21,2,3157,10987,1412,9240,335
04001000055,4380,3192,117,57,24,2979,52,6,3075,11262,2061,8842,359
04001000170,5158,3864,90,61,6,3749,4,3,3774,13292,2065,10750,477
04001000105,2455,1722,42,3,1,1676,1,0,1680,5294,492,4664,138
04001000015,2949,2108,163,44,32,1831,63,1,1945,5424,771,4459,194
04001000195,446,315,0,15,1,315,1,0,315,1681,200,1440,41
04001000035,1529,1131,1,3,4,1126,0,0,1130,4361,519,3722,120
04001000115,1196,817,0,0,3,817,0,1,817,3265,416,2762,87
04001000080,1551,1105,4,13,1,1099,1,0,1101,3603,357,3149,97
04001000125,469,364,1,6,0,361,1,0,363,1668,224,1393,51
04001000085,821,627,2,5,0,619,3,1,625,2844,464,2270,110
04001000215,887,698,1,2,2,694,1,1,697,2529,338,2112,79
04001000075,1304,1006,9,20,3,982,1,2,997,3643,793,2698,152
04001000060,930,660,14,10,1,624,22,1,646,2405,313,2020,72
04001000065,1145,829,23,9,5,792,14,1,806,3719,499,3099,121
04001000025,693,535,2,11,4,530,0,0,533,2466,347,2069,50
04001000185,1569,1240,4,6,14,1228,1,0,1236,4206,384,3732,90
04001000130,2185,1636,137,39,28,1435,15,3,1499,5135,1561,3387,187
04001000095,731,571,8,9,1,557,2,1,563,2077,380,1638,59
04001000020,2945,2540,2132,204,16,130,21,8,408,9092,7177,1733,182
04001000030,1442,1048,831,140,12,54,13,2,217,4265,3677,520,68
04001000165,2417,1705,1110,436,16,154,11,6,595,5770,4372,1258,140
04001000205,2133,1862,1574,149,8,96,12,9,288,6886,5542,1217,127
04001000160,1713,1316,846,335,42,81,14,8,470,3355,2810,479,66
04001000180,1643,1266,865,314,11,73,5,6,401,4306,3272,951,83
04001000045,1659,1196,974,157,10,46,10,1,222,5541,4577,857,107
04001000050,1758,1228,898,259,10,68,3,3,330,4063,3432,577,54
04001000120,497,413,374,25,2,9,3,2,39,1676,1236,412,28
04001000070,172,147,124,16,0,3,0,0,23,770,537,227,6
04001000005,664,582,493,56,4,22,3,2,89,1924,1430,457,37
04001000100,520,295,5,12,1,284,2,1,290,536,107,412,17
04003000023,404,328,188,118,3,17,6,0,140,979,794,167,18
04003000007,644,510,231,251,2,26,4,1,279,1154,756,361,37
04003000047,2935,2191,1174,867,30,111,23,3,1017,5763,4131,1518,114
04003000022,403,369,345,15,1,5,0,0,24,1488,800,665,23
04003000025,654,573,447,85,8,31,6,1,126,2222,1508,648,66
04003000008,2225,1963,1645,219,17,67,15,3,318,7569,5342,2057,170
04003000048,2192,1688,927,677,12,64,7,1,761,5019,3858,1077,84
04003000049,2011,1536,698,752,19,65,16,2,838,3780,2521,1130,129
04003000021,1589,1313,1109,111,10,32,22,6,204,4961,3430,1435,96
04003000003,2924,2408,1895,347,42,98,40,7,513,7634,4881,2534,219
04003000001,2662,2223,1651,363,55,80,29,13,572,6890,4551,2153,186
04003000002,2869,2332,1813,289,37,97,21,12,519,8725,6242,2246,237
04003000024,2658,2052,1721,202,14,91,20,3,331,8549,6538,1813,198
04003000046,3264,2759,2208,346,74,79,44,10,551,9552,6879,2412,261
04003000044,2015,1791,1436,227,9,98,19,5,355,7243,5210,1822,211
04003000035,2837,2300,1678,393,55,106,57,12,622,8437,6045,2155,237
04003000013,3308,2294,317,1922,19,77,18,10,1977,4975,1672,3195,108
04003000045,897,716,462,217,5,19,5,0,254,2573,1782,721,70
04003000017,1159,971,777,134,24,35,15,4,194,4037,2774,1168,95
04003000020,4336,3850,1222,2177,316,132,18,5,2628,4419,1492,2833,94
04003000011,3778,2688,211,2412,27,77,29,3,2477,5620,930,4563,127
04003000012,3435,2260,123,2093,21,50,18,3,2137,4227,866,3264,97
04003000006,1950,1684,1217,375,25,61,29,2,467,6310,2056,4035,219
04003000010,3198,2378,238,2070,19,51,44,6,2140,6943,1999,4799,145
04003000009,2650,1837,102,1697,15,32,27,2,1735,4819,1027,3691,101
04003000004,1756,1619,1221,313,32,53,16,8,398,6026,1139,4720,167
04003000005,2126,1708,875,724,22,73,17,1,833,5907,2359,3398,150
04003000018,1231,876,230,594,5,34,11,2,646,2279,681,1533,65
04003000031,3123,2437,1449,537,252,62,137,28,988,7390,4372,2760,258
04003000016,1823,1424,970,278,82,56,55,7,454,3925,2339,1425,161
04003000039,8906,6716,3278,1868,990,213,440,126,3438,8464,4463,3676,325
04003000028,3329,2612,1466,649,257,109,150,23,1146,6487,3629,2639,219
04003000034,3245,2560,1513,562,198,118,187,28,1047,6363,3706,2451,206
04003000029,2034,1574,943,309,169,54,115,20,631,4585,2659,1781,145
04003000042,3178,2357,1362,531,209,100,166,31,995,6888,4092,2538,258
04003000030,1842,1546,960,305,167,63,99,11,586,3657,2062,1464,131
04003000036,2513,1944,1191,426,197,70,74,26,753,5868,3499,2187,182
04003000026,3680,2856,1854,577,201,104,148,23,1002,9342,5747,3359,236
04003000038,1801,1469,982,241,102,39,108,18,487,4905,2836,1909,160
04003000041,3437,2771,1796,472,206,66,229,33,975,10502,6709,3507,286
04003000040,2808,2213,1499,329,189,66,139,24,714,8814,5966,2638,210
04003000032,2634,2371,1902,208,69,43,113,11,469,10922,7386,3320,216
04003000027,3859,2997,1918,473,283,69,257,27,1079,12361,7703,4300,358
04003000043,2746,2232,1768,212,55,73,106,10,464,10652,7454,3001,197
04003000037,2048,1716,1366,233,24,64,32,6,350,6957,4779,2015,163
04003000033,3362,2566,1678,579,133,109,83,25,888,7693,4833,2653,207
04003000014,2533,2061,1580,344,43,81,21,7,481,7771,5555,1948,268
04003000019,1923,1580,1171,283,26,75,23,15,409,5750,3949,1636,165
04003000015,2513,2111,1661,261,54,77,43,7,450,9036,6151,2688,197
04005000005,2862,2230,1801,201,33,130,49,10,429,10849,3513,7084,252
04005000004,2071,1575,1265,146,24,92,39,3,310,8388,2193,6025,170
04005000015,6267,4530,1929,1411,123,1084,69,15,2601,11820,3208,8120,492
04005000001,2260,1880,1357,195,39,186,79,4,523,7829,1652,5983,194
04005000011,2229,1761,731,496,42,476,43,3,1030,4100,1086,2875,139
04005000002,1890,1600,1193,171,39,120,47,4,407,6942,1129,5607,206
04005000014,3693,3226,1867,557,185,504,136,33,1359,5903,1291,4358,254
04005000055,422,341,293,26,6,8,5,0,48,1744,669,1034,41
04005000008,1321,975,669,174,11,114,27,2,306,4509,1164,3234,111
04005000016,2670,2064,1414,344,33,213,51,13,650,9269,2881,6100,288
