
GEOID,NAME
04001000005,Alpine
04001000010,Canyon de Chelly
04001000015,Chinle
04001000020,Concho
04001000025,Cornfields
04001000030,Coronado
04001000035,Cottonwood
04001000040,Dennehotso
04001000045,Eagar
04001000050,Flat Top
04001000055,Ft. Defiance
04001000060,Ganado North
04001000065,Ganado South
04001000070,Greer
04001000075,Houck
04001000080,Kinlichee
04001000085,Klagetoh
04001000090,Lukachukai
04001000095,Lupton
04001000100,McNary
04001000105,Many Farms
04001000110,Mexican Water
04001000115,Nazlini
04001000120,Nutrioso
04001000125,Oak Springs
04001000130,Puerco
04001000135,Red Mesa
04001000140,Red Valley
04001000145,Rock Point
04001000150,Rough Rock
04001000155,Round Rock
04001000160,Round Valley
04001000165,St. Johns
04001000170,St. Michaels
04001000175,Sawmill
04001000180,Springerville
04001000185,Steamboat
04001000190,Sweetwater
04001000195,Tachee
04001000200,Teec Nos Pos
04001000205,Vernon
04001000210,Wheatfields
04001000215,Wide Ruins
04003000001,BE BENSON
04003000002,BE J-SIX
04003000003,BE SAN PEDRO
04003000004,BI BISBEE
04003000005,BI DON LUIS
04003000006,BI WARREN
04003000007,BOWIE
04003000008,COCHISE STRONGHOLD
04003000009,DO CALVARY
04003000010,DO CARLSON
04003000011,DO CASTRO PARK
04003000012,DO GADSDEN
04003000013,DO SUNNYSIDE
04003000014,GREATER SAN PEDRO
04003000015,HEREFORD
04003000016,HUACHUCA
04003000017,MCNEAL
04003000018,NACO
04003000019,PALOMINAS
04003000020,PIRTLEVILLE
04003000021,POMERENE
04003000022,PORTAL
04003000023,SAN SIMON
04003000024,ST. DAVID
04003000025,SUNIZONA
04003000026,SV AVENIDA DEL SOL
04003000027,SV BUFFALO SOLDIER
04003000028,SV BUSBY
04003000029,SV CARMELITA
04003000030,SV CLOUD
04003000031,SV COLLEGE
04003000032,SV COUNTRY CLUB
04003000033,SV ESTATES
04003000034,SV HOPI
04003000035,SV MOSON
04003000036,SV PUEBLO DEL SOL
04003000037,SV RAMSEY
04003000038,SV SNYDER
04003000039,SV SOLDIER CREEK
04003000040,SV TOWN & COUNTRY
04003000041,SV VILLAGE MEADOWS
04003000042,SV VISTA VILLAGE
04003000043,SV YAQUI
04003000044,TOMBSTONE
04003000045,WEBB
04003000046,WHETSTONE
04003000047,WI KANSAS SETTLEMENT
04003000048,WI STEWART
04003000049,WI WILLCOX
04005000001,Flagstaff
04005000002,Flagstaff
04005000003,Flagstaff
04005000004,Flagstaff
04005000005,Flagstaff
04005000006,Flagstaff
04005000007,Flagstaff
04005000008,Flagstaff
04005000009,Flagstaff
04005000010,Flagstaff
04005000011,Flagstaff
04005000012,Flagstaff
04005000013,Flagstaff
04005000014,Flagstaff
04005000015,Flagstaff
04005000016,Flagstaff
04005000017,Flagstaff
04005000018,Flagstaff
04005000019,Flagstaff
04005000020,Flagstaff
04005000021,Flagstaff
04005000022,Flagstaff
04005000023,Flagstaff
04005000024,Flagstaff
04005000025,Flagstaff
04005000026,Flagstaff
04005000040,Bellemont
04005000041,Blue Ridge
04005000042,Bodaway
04005000043,Cameron
04005000047,Coppermine
04005000048,Coalmine
04005000050,Doney Park
04005000051,Schultz
04005000052,Timberline Fernwood
04005000053,Forest Lakes
