GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
08001001230,3882,2874,963,1368,365,132,146,18,1911,6663,1309,5010,344
08001001229,5965,4170,752,1947,788,170,637,31,3418,4899,916,3706,277
08001001231,4819,3522,997,1532,640,166,270,24,2525,6915,1395,5235,285
08001001232,5411,4118,1388,1621,655,192,397,32,2730,7348,1532,5417,399
08001001253,1423,1161,330,564,223,56,28,1,831,2035,319,1615,101
08001001234,2765,2009,584,994,249,97,127,10,1425,4830,1446,3171,213
08001001233,3789,2939,731,1408,527,90,229,22,2208,6180,1542,4336,302
08001001236,3841,2667,685,1581,269,101,110,5,1982,5500,1751,3531,218
08001001235,2812,1957,413,1010,434,85,43,40,1544,2816,701,1993,122
08001001237,4278,2904,537,2031,238,117,97,22,2367,4071,1099,2762,210
08001001242,831,622,454,131,4,15,12,8,168,2286,1544,630,112
08001001240,3865,2815,834,810,908,102,234,19,1981,8363,2197,5856,310
08001001241,88,69,43,17,3,7,0,0,26,200,162,33,5
08001001238,2476,1823,703,812,212,82,42,21,1120,5333,1888,3170,275
08001001239,2370,1783,575,865,212,91,82,14,1208,4906,1779,2897,230
08001001245,609,480,350,105,3,13,8,1,130,1929,1485,397,47
08001001243,1516,1121,790,270,24,36,9,6,331,4754,3320,1288,146
08001001246,2519,1801,1299,315,70,86,24,14,502,5969,3999,1633,337
08001001247,1451,1116,861,189,10,29,18,3,255,4975,3771,1010,194
08001001244,1188,915,789,82,6,26,13,0,126,4333,3248,966,119
08001001249,586,429,358,42,0,25,5,1,71,1798,1477,274,47
08001001248,1431,1061,876,131,13,28,9,2,185,4814,3557,1062,195
08001001251,2092,1496,1184,197,31,55,32,6,312,5533,3965,1294,274
08001001098,1906,1498,875,545,32,72,27,4,623,5362,2272,2812,278
08001001099,1362,1044,603,358,28,48,28,1,441,3787,1498,2067,222
08001001100,2429,1859,1065,637,42,79,71,6,794,6036,2334,3332,370
08001001102,2005,1609,959,509,28,94,48,3,650,5618,2255,3027,336
08001001091,2774,2136,1245,624,91,140,96,8,891,5179,1782,3068,329
08001001090,3686,2812,1520,974,128,120,149,15,1292,5527,1789,3376,362
08001001096,1796,1397,817,438,35,88,44,4,580,5162,2230,2569,363
08001001095,2145,1655,977,563,25,54,56,2,678,6134,2633,3166,335
08001001092,2349,1766,1044,529,34,109,76,7,722,6657,2960,3362,335
08001001093,2579,2003,1175,598,62,88,101,3,828,6865,2990,3507,368
08001001136,1776,1368,898,344,22,46,65,5,470,5335,2504,2539,292
08001001094,2108,1625,1051,412,29,82,60,7,574,6168,2921,2962,285
08001001097,1890,1429,902,408,23,63,72,2,527,5547,2478,2790,279
08001001150,2267,1709,1140,388,47,48,90,3,569,7883,3447,4069,367
08001001151,2232,1631,1088,335,47,48,112,12,543,6988,3194,3455,339
08001001149,1788,1334,941,232,13,61,91,8,393,5883,2884,2740,259
08001001159,3377,2265,1436,438,53,82,301,6,829,8718,4312,4088,318
08001001075,1173,943,594,247,29,16,46,0,349,2978,1523,1332,123
08001001073,3023,2134,1514,320,42,62,223,6,620,8183,4128,3807,248
08001001081,1579,1214,794,227,24,35,132,4,420,5229,2282,2718,229
08001001080,1442,1098,794,152,36,43,95,5,304,5399,2644,2523,232
08001001083,1926,1497,1020,311,31,33,103,3,477,5828,2619,2954,255
08001001082,1389,1026,793,111,24,37,69,2,233,5100,2252,2626,222
08001001134,2585,1994,1142,609,76,85,92,4,852,6739,2847,3525,367
08001001104,2082,1513,796,490,42,58,154,3,717,5104,2060,2783,261
08001001133,3360,2365,958,1181,58,100,108,10,1407,6339,2547,3448,344
08001001103,1544,1279,780,362,43,45,76,3,499,2604,953,1495,156
08001001101,2341,1731,895,582,67,71,166,3,836,5872,2105,3435,332
08001001139,627,433,232,117,13,13,59,6,201,1393,651,679,63
08001001135,2530,1891,1121,611,30,80,79,7,770,7048,3093,3526,429
08001001198,1145,909,583,255,12,30,48,3,326,3668,2280,1254,134
08001001154,77,61,48,9,0,2,3,1,13,264,172,82,10
08001001142,1784,1272,784,328,26,35,128,7,488,4964,2757,2019,188
08001001140,1454,1005,431,449,44,40,71,1,574,2997,1244,1621,132
08001001205,2446,1680,904,613,57,67,94,1,776,6361,3002,3092,267
08001001206,2457,1746,889,694,39,99,86,5,857,6343,3029,3059,255
08001001141,2331,1685,830,643,68,101,101,2,855,4854,1974,2627,253
08001001207,1257,892,508,280,26,15,59,3,384,3427,1474,1782,171
08001001130,467,359,203,138,2,13,5,1,156,1341,574,686,81
08001001208,1377,947,329,523,54,28,29,1,618,2611,936,1506,169
08001001200,186,136,105,19,6,4,6,0,31,664,515,132,17
08001001201,721,495,307,125,31,30,19,1,188,1735,870,806,59
08001001202,1187,865,479,260,25,45,83,2,386,2585,1308,1185,92
08001001203,920,749,480,177,27,23,54,0,269,2667,1389,1195,83
08001001204,1369,937,506,329,46,35,49,5,431,3422,1599,1680,143
08001001211,832,589,295,213,37,35,29,7,294,2076,975,997,104
08001001222,649,444,212,175,30,8,13,3,232,864,373,462,29
08001001223,9,9,0,7,0,3,1,0,9,0,0,0,0
08001001213,1717,1187,685,273,110,47,90,8,502,3321,1270,1870,181
08001001212,1252,829,502,160,75,17,82,5,327,2734,1317,1311,106
08001001214,2048,1409,834,336,89,63,111,9,575,5254,2393,2650,211
08001001219,1164,814,487,229,65,24,24,1,327,2039,851,1110,78
08001001220,391,276,121,88,41,9,19,4,155,451,172,264,15
08001001218,1420,988,597,270,54,40,46,13,391,3926,1807,1894,225
08001001221,896,606,399,122,21,25,41,2,207,2472,1053,1285,134
08001001215,2175,1481,903,396,84,54,54,9,578,6026,3232,2532,262
08001001216,3212,2196,1044,832,162,111,105,8,1152,7378,3176,3810,392
08001001168,1391,912,555,232,20,42,91,3,357,2898,1510,1301,87
08001001161,402,350,256,37,5,13,40,1,94,1125,721,358,46
08001001158,1800,1250,745,297,20,24,160,3,505,4532,2167,2168,197
08001001157,1487,1062,672,218,27,19,116,2,390,4637,2113,2330,194
08001001152,1969,1418,888,281,40,52,177,2,530,5705,2663,2782,260
08001001193,2593,1788,872,762,48,90,44,7,916,5410,2463,2574,373
08001001155,660,442,310,90,13,8,28,0,132,1840,872,867,101
08001001153,1503,1030,688,210,21,12,96,6,342,4107,2130,1814,163
08001001156,1527,1078,642,235,37,33,146,2,436,3096,1532,1504,60
08001001252,2578,1737,1158,263,33,42,247,10,579,7173,3314,3619,240
08001001076,2258,1571,1019,287,33,58,187,13,552,6240,2772,3202,266
08001001077,1406,1008,687,176,26,15,95,2,321,4155,1959,2016,180
08001001086,1478,1102,807,184,14,39,62,1,295,5518,2731,2546,241
08001001085,1747,1362,991,207,50,52,90,5,371,6024,2753,3003,268
08001001084,1031,795,565,139,15,34,48,3,230,3632,1781,1689,162
08001001079,1315,907,666,141,12,35,56,0,241,4420,2196,2040,184
08001001078,870,614,421,118,9,16,44,2,193,2803,1317,1318,168
08001001145,2684,2024,1191,568,42,88,159,4,833,7219,3039,3836,344
08001001147,2901,2225,1435,545,57,83,138,4,790,7963,3413,4155,395
08001001146,2233,1778,1100,511,63,70,73,1,678,5279,2088,2827,364
08001001148,1713,1222,739,260,42,42,156,0,483,4564,1941,2365,258
08001001144,2486,1734,1089,466,49,42,112,3,645,6810,3024,3402,384
08001001143,2095,1488,819,443,43,56,147,3,669,4343,1860,2275,208
08001001138,1360,1046,644,270,22,35,97,5,402,4067,1911,1924,232
08001001137,2444,1846,1062,539,32,50,174,13,784,7512,3396,3789,327
08001001131,2569,1713,507,1111,40,106,21,2,1206,3134,1099,1871,164
08001001169,639,509,387,68,7,27,15,4,122,2552,1647,800,105
08001001196,457,268,104,139,8,12,10,1,164,619,289,294,36
08001001195,726,557,395,109,12,23,25,0,162,2362,1245,1050,67
08001001194,1030,747,436,253,18,28,21,8,311,2079,1189,771,119
08001001197,719,591,358,168,11,27,34,2,233,1033,552,437,44
08001001228,1355,1078,825,191,7,50,9,3,253,4816,3185,1481,150
08001001227,502,403,306,83,1,10,6,0,97,1849,1221,566,62
08001001226,368,285,169,99,1,12,13,0,116,1017,624,349,44
08001001199,1657,1160,673,315,60,47,82,1,487,3736,2072,1501,163
08001001225,317,260,175,73,7,6,2,0,85,1114,658,423,33
08001001224,57,47,25,11,3,3,7,0,22,191,124,54,13
08001001088,1880,1608,1158,298,37,65,72,1,450,6653,2933,3458,262
08001001087,3273,2682,1640,711,122,128,107,13,1042,5777,2225,3153,399
08001001089,2369,1926,1208,454,73,91,128,7,718,6090,2538,3202,350
08001001210,3388,2290,1180,793,104,64,141,11,1110,7517,3340,3792,385
08001001217,1958,1320,697,420,95,40,87,5,623,4247,1779,2237,231
08001001209,2145,1446,684,508,130,62,96,4,762,3898,1556,2117,225
08001001163,917,709,536,110,14,30,26,2,173,2745,1753,884,108
08001001170,3066,2207,725,1329,30,128,46,10,1482,5860,2211,3323,326
08001001162,1286,968,802,109,9,18,38,3,166,5121,3325,1673,123
08001001165,1704,1678,1535,90,12,16,17,0,143,8060,4493,3465,102
08001001164,629,505,384,93,2,19,10,2,121,2488,1577,821,90
08001001166,671,507,391,75,5,10,26,0,116,2550,1732,728,90
08001001167,807,622,484,86,13,14,26,0,138,3074,1944,1058,72
08001001178,24,13,6,1,0,0,1,0,7,84,34,49,1
08001001177,896,607,355,185,14,27,28,4,252,1279,781,457,41
08001001179,59,38,24,9,0,0,5,1,14,199,100,93,6
08001001180,1643,1154,772,298,26,38,37,7,382,4728,2638,1849,241
08001001176,866,619,407,124,20,37,40,0,212,2463,1507,853,103
08001001175,2299,1706,1082,459,34,66,91,12,624,6462,3568,2572,322
08001001182,1458,983,634,269,17,39,33,13,349,3627,1857,1585,185
08001001183,612,398,270,92,6,6,22,3,128,1479,820,600,59
08001001181,2359,1672,1022,511,48,68,43,4,650,6183,3094,2720,369
08001001173,134,105,60,35,3,8,7,1,45,464,283,165,16
08001001172,1220,1082,513,424,104,39,12,0,569,1191,562,567,62
08001001174,855,591,392,156,18,19,13,2,199,2350,1490,768,92
08001001186,2974,2096,996,1003,24,81,34,6,1100,6090,3168,2600,322
08001001185,818,575,391,164,6,17,8,0,184,2961,1708,1131,122
08001001184,688,500,320,126,17,22,27,2,180,1505,867,569,69
08001001187,2393,1818,942,742,28,93,55,8,876,5063,2464,2318,281
08001001188,1286,961,592,291,15,47,34,2,369,4121,2406,1559,156
08001001171,2586,1902,863,937,27,105,33,4,1039,6509,2878,3282,349
08001001190,2061,1566,873,560,36,88,48,9,693,5894,3141,2427,326
08001001191,3133,2390,1076,1145,52,132,39,8,1314,6736,2972,3368,396
08001001189,1122,896,616,208,14,24,27,2,280,4104,2380,1573,151
08001001192,2011,1485,591,818,24,65,23,11,894,4167,1662,2289,216
08001001126,4325,3021,828,2026,95,141,20,7,2193,6498,2034,4092,372
08001001123,4270,3053,820,1986,195,132,30,2,2233,5646,1570,3795,281
08001001128,4349,3036,812,2047,62,152,44,2,2224,6453,1868,4302,283
08001001127,2438,1722,498,1141,23,110,22,6,1224,4086,1243,2586,257
