
GEOID,NAME
0900101-001,Bethel 001-00
0900101-002,Bethel 002-00
0900101-003,Bethel 003-00
0900101-004,Bethel 004-00
0900101-005,Bethel 005-00
0900101-006,Bethel 005-00A
0900101-007,Bridgeport 124-01
0900101-008,Bridgeport 124-02
0900101-009,Bridgeport 124-03
0900101-010,Bridgeport 124-04
0900101-011,Bridgeport 126-01
0900101-012,Bridgeport 126-02
0900101-013,Bridgeport 126-03
0900101-014,Bridgeport 126-04
0900101-015,Bridgeport 126-05
0900101-016,Bridgeport 126-06
0900101-017,Bridgeport 127-01
0900101-018,Bridgeport 127-02
0900101-019,Bridgeport 127-03
0900101-020,Bridgeport 128-01
0900101-021,Bridgeport 128-02
0900101-022,Bridgeport 129-01
0900101-023,Bridgeport 129-02
0900101-024,Bridgeport 129-02A
0900101-025,Bridgeport 129-03
0900101-026,Bridgeport 129-04
0900101-028,Bridgeport 130-01
0900101-029,Bridgeport 130-02
0900101-030,Bridgeport 130-02A
0900101-031,Bridgeport 130-03
0900101-032,Bridgeport 130-04
0900101-033,Bridgeport 130-05
0900101-034,Brookfield 001-00
0900101-035,Brookfield 002-00
0900101-036,Danbury 001-09
0900101-037,Danbury 001-10
0900101-038,Danbury 001-38
0900101-039,Danbury 002-08
0900101-040,Danbury 002-09
0900101-041,Danbury 002-38
0900101-042,Danbury 003-07
0900101-043,Danbury 003-09
0900101-044,Danbury 004-09
0900101-045,Danbury 004-10
0900101-046,Danbury 005-02
0900101-047,Danbury 005-09
0900101-048,Danbury 005-10
0900101-049,Danbury 006-02
0900101-050,Danbury 006-10
0900101-051,Danbury 006-38
0900101-052,Danbury 007-02
0900101-053,Danbury 007-10
0900101-054,Danbury 007-38
0900101-055,Darien 001-00
0900101-056,Darien 002-00
0900101-057,Darien 003-00
0900101-058,Darien 004-00
0900101-059,Darien 005-00
0900101-060,Darien 006-00
0900101-061,Easton 001-00
0900101-062,Fairfield 001-34
0900101-063,Fairfield 002-34
0900101-064,Fairfield 003-32
0900101-065,Fairfield 004-33
0900101-066,Fairfield 005-33
0900101-067,Fairfield 006-33
0900101-068,Fairfield 007-33
0900101-069,Fairfield 008-32
0900101-070,Fairfield 009-32
0900101-071,Fairfield 010-32
0900101-072,Greenwich 001-00
0900101-073,Greenwich 001-01
0900101-074,Greenwich 002-00
0900101-075,Greenwich 003-00
0900101-076,Greenwich 004-00
0900101-077,Greenwich 004-01
0900101-078,Greenwich 005-00
0900101-079,Greenwich 005-01
0900101-080,Greenwich 006-00
0900101-081,Greenwich 006-01
0900101-082,Greenwich 007-00
0900101-083,Greenwich 007-01
0900101-084,Greenwich 008-00
0900101-085,Greenwich 009-00
0900101-086,Greenwich 010-00
0900101-087,Greenwich 011-00
0900101-088,Greenwich 011-01
0900101-089,Greenwich 012-00
0900101-090,Monroe 001-00
0900101-091,Monroe 002-00
0900101-092,Monroe 003-00
0900101-093,Monroe 004-00
0900101-094,New Canaan 001-00
0900101-095,New Canaan 002-00
0900101-096,New Canaan 003-00
0900101-097,New Fairfield 001-00
0900101-098,New Fairfield 002-00
0900101-099,Newtown 001-00
0900101-100,Newtown 001-05
0900101-101,Newtown 002-00
0900101-102,Newtown 003-01
0900101-103,Newtown 003-02
0900101-104,Newtown 003-05
0900101-105,Norwalk 137-01
0900101-106,Norwalk 137-02
0900101-107,Norwalk 137-03
0900101-108,Norwalk 140-01
0900101-109,Norwalk 140-02
0900101-110,Norwalk 140-03
0900101-111,Norwalk 141-01
0900101-112,Norwalk 142-01
0900101-113,Norwalk 142-02
0900101-114,Norwalk 142-03
0900101-115,Norwalk 143-01
0900101-116,Norwalk 143-02
0900101-117,Redding 001-00
0900101-118,Redding 002-00
0900101-119,Ridgefield 001-00
0900101-120,Ridgefield 002-00
0900101-121,Ridgefield 003-00
0900101-122,Ridgefield 004-00
0900101-123,Shelton 001-00
0900101-124,Shelton 002-00
0900101-125,Shelton 002-01
0900101-126,Shelton 003-00
0900101-127,Shelton 004-00
0900101-128,Sherman 001-00
0900101-129,Stamford 001-01
0900101-130,Stamford 002-00
0900101-131,Stamford 003-00
0900101-132,Stamford 003-28
0900101-133,Stamford 004-00
0900101-134,Stamford 005-00
0900101-135,Stamford 005-48
0900101-136,Stamford 006-01
0900101-137,Stamford 006-01A
0900101-138,Stamford 007-02
0900101-140,Stamford 008-00
0900101-141,Stamford 008-00A
0900101-142,Stamford 009-00
0900101-143,Stamford 010-00
0900101-144,Stamford 011-00
0900101-145,Stamford 012-00A
0900101-146,Stamford 012-00B
0900101-147,Stamford 013-00
0900101-148,Stamford 014-00
0900101-149,Stamford 015-00
0900101-150,Stamford 016-01
0900101-151,Stamford 017-00
0900101-152,Stamford 018-02
0900101-153,Stamford 019-00
0900101-154,Stamford 020-01
0900101-155,Stamford 020-01A
0900101-156,Stamford 021-00
0900101-157,Stamford 021-00A
0900101-158,Stamford 022-02
0900101-159,Stratford 001-01
0900101-160,Stratford 002-01
0900101-161,Stratford 003-01
0900101-162,Stratford 002-02
0900101-163,Stratford 005-01
0900101-164,Stratford 006-01
0900101-165,Stratford 007-01
0900101-166,Stratford 008-01
0900101-167,Stratford 009-01
0900101-168,Stratford 010-01
0900101-171,Trumbull 001-23
0900101-172,Trumbull 002-22
0900101-173,Trumbull 002-23
0900101-174,Trumbull 003-23
0900101-175,Trumbull 004-34
0900101-176,Weston 001-00
0900101-177,Weston 002-00
0900101-178,Westport 136-01
0900101-179,Westport 143-02A
0900101-180,Westport 136-03
0900101-181,Westport 136-06
0900101-182,Westport 136-04
0900101-183,Westport 136-04A
0900101-184,Westport 136-09
0900101-185,Westport 143-01A
0900101-186,Wilton 001-00
0900101-187,Wilton 002-00
0900101-188,Wilton 003-00
0900101-189,Stratford 004-01
0900101-190,Stratford 004-02
0900101-191,Westport 136-08
0900101-192,Westport 143-02
0900101-193,Stamford 001-00
0900101-194,Stratford 001-02
0900101-195,Stratford 003-02
0900101-196,Stratford 005-02
