GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
1201100Q090,2176,1744,913,620,104,15,75,6,831,6742,3883,2774,85
1201100U009,1579,1160,482,449,140,14,81,0,678,3905,1558,2282,65
1201100U008,999,808,427,207,81,8,95,2,381,3657,1662,1945,50
1201100C023,9551,8200,4167,2120,1415,72,310,15,4033,23669,8418,14936,315
1201100D005,4783,3756,1096,1299,1299,47,63,3,2660,8948,1485,7327,136
1201100D002,3514,2927,1121,1193,525,82,63,7,1806,7056,1935,5027,94
12009000516,11757,8773,4730,1657,2031,209,262,16,4043,25654,12107,12941,606
12009000520,8078,6304,3597,1159,1235,153,201,20,2707,19010,9436,9053,521
12009000517,8844,6942,4035,1225,1346,155,228,13,2907,23608,11461,11481,666
12009000510,11497,9329,5896,1434,1452,214,355,11,3433,34968,18517,15559,892
12009000313,12120,9389,5611,1342,2099,204,238,35,3778,33746,17408,15515,823
12009000105,8277,6626,5150,456,727,179,122,12,1476,23577,14311,8526,740
12009000100,3005,2492,2089,124,138,83,48,10,403,8996,6129,2611,256
12009000427,5413,4371,3430,414,183,84,229,8,941,20519,13025,6931,563
12009000410,1188,989,770,81,55,17,47,6,219,3967,2502,1360,105
12009000422,7419,6148,4718,605,359,126,334,14,1430,25938,16352,8889,697
12009000135,3071,2632,2295,121,87,78,37,12,337,7895,5230,2408,257
12009000512,3950,3227,2672,239,95,107,109,2,555,13642,9565,3721,356
12009000525,3516,2381,1504,355,181,27,263,2,877,6582,4022,2434,126
12009000124,5480,4386,3605,348,201,110,103,21,781,15612,9287,5765,560
12009000125,5269,4218,3405,286,262,102,130,15,813,16242,10434,5314,494
12009000113,4573,3648,2854,307,222,105,116,17,794,13013,8052,4474,487
12009000506,3010,2481,2219,126,28,31,56,4,262,11763,6763,4711,289
1201100M024,3218,2547,684,965,785,18,132,2,1863,6432,1577,4737,118
12075000004,1592,1398,1298,32,16,37,9,1,100,5689,3632,1910,147
12075000ZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
12075000006,631,508,470,10,10,14,1,1,38,2095,1697,338,60
12075000002,4199,3416,2729,355,206,103,24,5,687,11461,8128,2955,378
12075000003,5561,4278,3098,588,412,155,41,16,1180,13165,8919,3884,362
12075000008,4630,3786,3149,399,84,94,41,4,637,12850,9792,2843,215
12075000007,4404,3371,1903,366,996,52,66,4,1468,11420,6299,4974,147
12045000003,2307,1836,1408,70,309,35,7,2,428,4779,3581,1049,149
12045000010,842,744,676,18,17,19,8,0,68,2791,2169,554,68
12119000130,6021,5987,5674,118,56,50,50,1,313,25415,18102,7024,289
12119000111,7939,7913,7538,129,70,50,73,2,375,40257,28573,11238,446
12119000113,1653,1305,770,76,418,26,11,1,535,4744,2478,2197,69
12119000115,4846,3958,2425,294,1104,76,57,9,1533,10456,4936,5231,289
12119000112,7771,6092,4812,536,316,102,282,10,1280,18295,13191,4747,357
12119000129,7561,7324,6813,195,152,67,66,9,511,32621,22986,9182,453
12057000707,3205,2482,1652,589,135,98,23,10,830,6098,4586,1379,133
12057000709,5451,4032,2074,1791,79,103,62,6,1958,9356,6836,2286,234
12057000951,2532,1971,1310,325,216,64,70,4,661,8319,4986,3147,186
12057000956,4925,3581,1835,919,579,98,187,18,1746,11197,5623,5261,313
12057000557,3668,3017,1463,1007,450,67,92,6,1554,8325,3843,4258,224
12057000245,3625,2887,1196,1250,377,50,118,6,1691,7563,3217,4147,199
