
GEOID,NAME
12001000001,1-County Voting District 1
12001000002,2-County Voting District 2
12001000003,3-County Voting District 3
12001000004,4-County Voting District 4
12001000005,5-County Voting District 5
12001000006,6-County Voting District 6
12001000007,101-Alachua Voting District 1
12001000008,102-Alachua Voting District 2
12001000009,103-Alachua Voting District 3
12001000010,201-Archer Voting District 1
12001000011,301-Gainesville Voting District 1
12001000012,302-Gainesville Voting District 2
12001000013,303-Gainesville Voting District 3
12001000014,304-Gainesville Voting District 4
12001000015,305-Gainesville Voting District 5
12001000016,306-Gainesville Voting District 6
12001000017,307-Gainesville Voting District 7
12001000018,308-Gainesville Voting District 8
12001000019,309-Gainesville Voting District 9
12001000020,310-Gainesville Voting District 10
12001000021,311-Gainesville Voting District 11
12001000022,312-Gainesville Voting District 12
12001000023,313-Gainesville Voting District 13
12001000024,314-Gainesville Voting District 14
12001000025,315-Gainesville Voting District 15
12001000026,316-Gainesville Voting District 16
12001000027,317-Gainesville Voting District 17
12001000028,318-Gainesville Voting District 18
12001000029,319-Gainesville Voting District 19
12001000030,320-Gainesville Voting District 20
12001000031,321-Gainesville Voting District 21
12001000032,322-Gainesville Voting District 22
12001000033,323-Gainesville Voting District 23
12001000034,324-Gainesville Voting District 24
12001000035,325-Gainesville Voting District 25
12001000036,326-Gainesville Voting District 26
12001000037,327-Gainesville Voting District 27
12001000038,328-Gainesville Voting District 28
12001000039,329-Gainesville Voting District 29
12001000040,330-Gainesville Voting District 30
12001000041,331-Gainesville Voting District 31
12001000042,332-Gainesville Voting District 32
12001000043,333-Gainesville Voting District 33
12001000044,334-Gainesville Voting District 34
12001000045,335-Gainesville Voting District 35
12001000046,336-Gainesville Voting District 36
12001000047,337-Gainesville Voting District 37
12001000048,338-Gainesville Voting District 38
12001000049,339-Gainesville Voting District 39
12001000050,340-Gainesville Voting District 40
12001000051,341-Gainesville Voting District 41
12001000052,342-Gainesville Voting District 42
12001000053,343-Gainesville Voting District 43
12001000054,344-Gainesville Voting District 44
12001000055,345-Gainesville Voting District 45
12001000056,346-Gainesville Voting District 46
12001000057,347-Gainesville Voting District 47
12001000058,348-Gainesville Voting District 48
12001000059,349-Gainesville Voting District 49
12001000064,401-Hawthorne Voting District 1
12001000065,501-High Springs Voting District 1
12001000066,502-High Springs Voting District 2
12001000067,601-LaCrosse Voting District 1
12001000068,701-Micanopy Voting District 1
12001000069,801-Newberry Voting District 1
12001000070,802-Newberry Voting District 2
12001000071,901-Waldo Voting District 1
1200300001A,Sanderson
1200300002A,South Macclenny
1200300003A,North Macclenny
1200300004A,Baxter
1200300004B,Taylor
1200300004C,Macedonia
1200300004D,Cuyler
1200300005A,Glen St. Mary
1200300006A,Olustee
12005000001,1
12005000002,2
12005000003,3
12005000004,4
12005000005,5
12005000006,6
12005000007,7
12005000008,8
12005000009,9
12005000010,10
12005000011,11
12005000012,12
12005000013,13
12005000014,14
12005000015,15
12005000016,16
12005000017,17
12005000018,18
12005000019,19
12005000020,20
12005000021,21
12005000022,22
12005000023,23
12005000024,24
12005000025,25
12005000026,26
12005000027,27
12005000028,28
12005000029,29
12005000030,30
12005000031,31
12005000032,32
12005000033,33
12005000034,34
12005000035,35
12005000036,36
12005000037,37
12005000038,38
12005000039,39
12005000040,40
12005000041,41
12005000042,42
12005000043,43
12005000044,44
12007000001,1-Voting District
12007000002,2-Voting District
12007000003,3A-Voting District
12007000004,3B-Voting District
12007000005,4-Voting District
12007000006,5A-Voting District
12007000007,5B-Voting District
12007000008,6A-Voting District
12007000009,6B-Voting District
12007000010,7-Voting District
12007000011,8-Voting District
12007000012,9-Voting District
12007000013,10A-Voting District
12007000014,10B-Voting District
12007000015,11-Voting District
12007000016,12-Voting District
12007000017,13A-Voting District
12007000018,13B-Voting District
12007000019,14-Voting District
12007000020,15-Voting District
12009000000,Precinct 0
12009000100,Precinct 100
12009000102,Precinct 102
12009000103,Precinct 103
12009000104,Precinct 104
12009000105,Precinct 105
12009000106,Precinct 106
12009000107,Precinct 107
12009000108,Precinct 108
12009000109,Precinct 109
12009000111,Precinct 111
12009000112,Precinct 112
12009000113,Precinct 113
12009000114,Precinct 114
12009000115,Precinct 115
12009000116,Precinct 116
12009000118,Precinct 118
12009000120,Precinct 120
12009000121,Precinct 121
12009000122,Precinct 122
12009000123,Precinct 123
12009000124,Precinct 124
12009000125,Precinct 125
12009000126,Precinct 126
12009000127,Precinct 127
12009000128,Precinct 128
12009000129,Precinct 129
12009000130,Precinct 130
12009000131,Precinct 131
12009000132,Precinct 132
12009000133,Precinct 133
12009000134,Precinct 134
12009000135,Precinct 135
12009000136,Precinct 136
12009000200,Precinct 200
12009000201,Precinct 201
12009000202,Precinct 202
12009000203,Precinct 203
12009000204,Precinct 204
12009000205,Precinct 205
12009000206,Precinct 206
12009000207,Precinct 207
12009000208,Precinct 208
12009000209,Precinct 209
12009000210,Precinct 210
12009000211,Precinct 211
12009000212,Precinct 212
12009000213,Precinct 213
12009000214,Precinct 214
12009000215,Precinct 215
12009000216,Precinct 216
12009000217,Precinct 217
12009000218,Precinct 218
12009000219,Precinct 219
12009000220,Precinct 220
12009000221,Precinct 221
12009000222,Precinct 222
12009000223,Precinct 223
12009000224,Precinct 224
12009000225,Precinct 225
12009000226,Precinct 226
12009000227,Precinct 227
12009000228,Precinct 228
12009000229,Precinct 229
12009000230,Precinct 230
12009000231,Precinct 231
12009000233,Precinct 233
12009000234,Precinct 234
12009000235,Precinct 235
12009000236,Precinct 236
12009000237,Precinct 237
12009000238,Precinct 238
12009000239,Precinct 239
12009000240,Precinct 240
12009000300,Precinct 300
12009000301,Precinct 301
12009000302,Precinct 302
12009000303,Precinct 303
12009000304,Precinct 304
12009000305,Precinct 305
12009000306,Precinct 306
12009000307,Precinct 307
12009000308,Precinct 308
12009000309,Precinct 309
12009000310,Precinct 310
12009000311,Precinct 311
12009000312,Precinct 312
12009000313,Precinct 313
12009000314,Precinct 314
