GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
13091000LEE,8498,6581,3745,199,2524,56,61,12,2836,16962,10753,5959,250
130910RAWLI,1707,1341,924,58,334,17,6,2,417,3516,2664,807,45
130910MITCH,505,400,340,5,55,0,0,0,60,1492,1177,300,15
130910EDDIN,1450,1153,827,13,298,16,1,0,326,4081,2837,1198,46
130910MULLI,1975,1743,835,43,855,5,13,1,908,1895,1482,390,23
130910PLAIN,663,533,451,8,67,3,1,3,82,1817,1611,193,13
1315300ROZR,20842,15775,9919,464,4820,263,319,11,5856,50510,32893,16853,764
1315300RECR,17798,12536,3240,1229,7696,273,246,19,9296,26226,5903,19829,494
1315300HHPC,15391,11867,5590,1052,4807,272,297,35,6277,31813,15845,15302,666
13153000VHS,9625,6852,4538,356,1587,165,235,18,2314,23074,15990,6678,406
1315300CGTC,7249,5417,3452,314,1310,82,250,16,1965,18354,11682,6310,362
13153000BMS,14098,10308,6922,508,2216,237,452,30,3386,37554,25238,11608,708
1315300NSES,3448,2743,1844,118,671,64,46,12,899,9566,6058,3354,154
1315300CENT,11884,9087,5378,589,2483,200,471,8,3709,28257,16829,10874,554
1315300HEFS,1881,1455,887,39,488,39,12,2,568,5352,3460,1839,53
1305900006A,4819,3935,2229,415,1029,78,202,6,1706,12805,5938,6596,271
13269000005,3311,2644,2074,52,458,41,19,1,570,8637,7265,1261,111
13319000010,2363,1859,958,19,858,18,1,0,901,7223,3426,3733,64
13209000005,2676,2138,1024,112,981,17,15,3,1114,5277,3082,2127,68
13209000001,755,648,420,38,166,8,13,0,228,1911,1368,527,16
13161000402,1044,801,701,37,49,17,1,2,100,2549,2342,181,26
13209000007,1360,1079,716,109,233,22,1,0,363,3507,2591,875,41
13185000001,8332,5993,4626,244,888,134,75,12,1367,19742,15589,3851,302
13153000TMS,9118,6817,3097,433,2808,123,384,20,3720,18403,7926,10130,347
13071000008,2293,1622,1156,383,57,16,7,1,466,4737,4237,451,49
13183000002,4674,3137,1883,221,853,110,92,22,1254,7736,4988,2560,188
13183000006,498,360,266,32,54,7,4,0,94,1064,846,200,18
13183000001,2651,1883,865,606,355,63,23,1,1018,4315,2532,1703,80
13183000007,1733,1206,786,49,330,28,16,4,420,2496,1855,596,45
13183000004,3166,2151,1201,207,642,60,40,38,950,5405,2997,2251,157
13015000003,11581,9129,5973,1120,1691,236,190,10,3156,22161,14363,7297,501
13015000016,10158,7760,4927,816,1664,184,210,8,2833,18586,11786,6329,471
13015000005,16605,12590,9357,1309,1360,327,228,11,3233,37761,27738,9204,819
13015000011,5760,4416,3319,328,587,133,38,0,1097,14362,10745,3330,287
1315300FMMS,13329,9745,5312,553,3144,196,583,25,4433,34061,19060,14305,696
13015000014,3969,3058,2761,116,57,87,19,0,297,10505,9310,1005,190
13185000009,5706,4293,3229,199,717,96,69,3,1064,13993,10924,2872,197
13185000008,6035,4627,3721,225,548,92,37,4,906,15076,12475,2370,231
13185000003,45590,35040,14552,1900,17293,605,871,100,20488,84168,37704,44965,1499
13185000002,21347,15467,8398,1188,4977,329,598,83,7069,38317,20568,16878,871
13185000005,15154,11865,7273,616,3473,200,320,24,4592,33669,22175,10912,582
13185000006,7091,5176,867,342,3960,40,15,10,4309,11187,1542,9536,109
13185000007,7212,5203,3566,429,1057,94,72,7,1637,14915,10612,4076,227
13275000115,1949,1502,1202,28,221,35,6,0,300,4313,3522,733,58
1305900007C,5106,4400,3316,219,311,68,475,3,1084,11475,4327,6828,320
13173000001,9877,7326,5010,370,1683,149,91,29,2316,17782,12507,4930,345
13263000008,1408,1172,536,11,620,9,0,0,636,4487,1726,2699,62
13133000008,7728,6772,6034,175,358,66,94,4,738,30074,24135,5625,314
13263000002,885,748,360,5,363,9,5,1,388,3091,1544,1514,33
13133000004,2910,2221,946,123,1099,34,24,11,1275,6715,3252,3395,68
13133000001,6440,4920,2007,455,2340,56,57,10,2913,15461,7225,8061,175
13133000005,1343,1064,514,54,489,10,1,1,550,3841,1823,1993,25
13133000006,494,381,174,19,184,4,3,1,207,1526,797,717,12
1315300MCMS,13494,9711,5562,527,2391,163,1101,22,4149,34863,21820,12406,637
1305900002A,7226,5428,1369,1518,2461,83,35,13,4059,12007,2232,9577,198
1305900001A,5044,3813,1742,766,1219,97,35,2,2071,10051,3922,5881,248
1305900005C,2648,2157,1743,110,179,36,83,7,414,8993,1059,7771,163
1305900005D,5454,3972,1109,1240,1509,61,62,20,2863,9577,2326,7048,203
1315300ANNX,6683,5270,3385,600,1037,109,170,6,1885,18829,12561,5885,383
1315300HCTC,9846,7716,4339,470,2460,192,325,10,3377,21140,10841,9780,519
1315300TWPK,6387,4848,3014,226,1383,74,158,14,1834,17768,10577,6795,396
13273000001,4763,3630,666,45,2868,26,47,3,2964,10619,2673,7849,97
13015000008,7437,5582,4485,297,537,219,40,3,1097,18978,14414,4083,481
13015000004,11544,8614,5887,836,1608,190,127,7,2727,28657,20054,8051,552
13015000018,2605,2004,1633,137,164,61,16,2,371,6002,4558,1310,134
13015000009,2095,1609,1457,76,25,45,5,0,152,5071,4464,516,91
13015000015,3546,2752,2455,101,89,104,11,0,297,9931,8332,1371,228
13071000016,671,537,456,38,35,6,4,1,81,1679,1510,145,24
13071000023,1958,1483,955,442,56,34,7,1,528,3504,3088,385,31
13015000007,4453,3590,2974,249,161,167,34,3,616,10593,8388,1951,254
13071000001,6464,4648,1066,581,2944,82,28,6,3582,8251,2144,6014,93
13071000015,2499,1787,1059,490,205,40,18,0,728,3481,2957,494,30
1314100003B,805,656,140,8,504,15,0,0,516,2612,463,2115,34
13151000028,11098,8172,1448,884,5783,120,95,11,6724,19665,3178,16112,375
13161000202,1889,1410,1296,58,20,23,15,1,114,5217,4932,231,54
131870000DA,33488,27689,24419,1345,507,873,385,41,3270,78058,61124,14756,2178
13151000035,4121,3038,774,165,2040,43,50,5,2264,8925,2781,6035,109
13151000052,6530,4938,3026,218,1511,87,119,10,1912,20172,12778,7050,344
13275000110,2831,2141,1350,50,715,17,15,0,791,8008,5117,2768,123
13275000108,3219,2466,1818,86,488,60,12,0,648,8526,6533,1847,146
