
GEOID,NAME
13001000002,2
1300100001B,1B
1300100001C,1C
1300100003C,3C
1300100004B,4B
1300100004D,4D
1300100005A,5A
1300100005B,5B
130010003A1,3A1
13003000001,PEARSON COUNTY
13003000002,AXSON
13003000003,WILLACOOCHEE
13003000004,PEARSON CITY
130050DOUGL,DOUGLAS
1300700000A,ANNA
1300700000E,ELMODEL
1300700000H,HOGGARDS MILL
1300700000M,MILFORD
1300700000N,NEWTON
13009000318,NORTH BALDWIN
13009000319,WEST BALDWIN
13009000322,COOPERS
13009001714,SCOTTSBORO
1300900321E,EAST HARDWICK
1300900321W,WEST HARDWICK
1300900CTY1,SOUTH MILLEDGEVILLE
1300900CTY2,CITY HALL ANNEX
1300900CTY3,BODDIE
1300900CTY4,COURTHOUSE
1300900CTY5,FIRE DEPT
1300900CTY6,NORTH MILLEDGEVILLE
1300900MERI,MERIWEATHER
1300900MONT,EAST BALDWIN
13011000001,0110001 - ANDERSON
13011000002,0110002 - BALDWIN
13011000003,0110003 - BERLIN
13011000004,0110004 - BUSHVILLE
13011000005,0110005 - COLUMBIA
13011000006,0110006 - DAVIDS
13011000007,0110007 - GOLDEN HILL
13011000008,0110008 - GROVE RIVER
13011000009,0110009 - HOLLINGSWORTH
13011000010,0110010 - HOMER
13011000011,0110011 - POPLAR SPRINGS
13011000012,0110012 - WASHINGTON
13011000013,0110013 - WILMONTS
13013000001,01
13013000002,02
13013000003,03
13013000004,04
13013000005,05
13013000006,06
13013000007,07
13013000008,08
13013000009,09
13013000010,10
13013000011,11
13013000012,12
13013000013,13
13013000014,14
13013000015,15
13013000016,16
13015000001,ADAIRSVILLE
13015000002,ALLATOONA
13015000003,CARTERSVILLE EAST
13015000004,CARTERSVILLE WEST
13015000005,CASSVILLE
13015000006,CENTER
13015000007,EMERSON
13015000008,EUHARLEE
13015000009,FOLSOM
13015000010,KINGSTON
13015000011,MISSION ROAD
13015000012,PINE LOG
13015000014,TAYLORSVILLE
13015000015,WHITE
13015000016,ZENA DRIVE
13015000018,WOODLAND HIGH
13017000001,EAST
13017000002,WEST
13019000518,019518 - ALAPAHA
13019001144,0191144 - RAY CITY
13019001148,0191148 - UPPER TENTH
13019001157,0191157 - NASHVILLE
13019001329,0191329 - LOIS
13019001427,0191427 - NEW RIVER
13019001642,0191642 - ENIGMA
13019001767,0191767 - LOWER TENTH
13019001819,0191819 - JORDAN
13021000EM1,EAST MACON 1
13021000EM2,EAST MACON 2
13021000EM3,EAST MACON 3
13021000EM4,EAST MACON 4
13021000EM5,EAST MACON 5
13021000GF1,GODFREY 1
13021000GF2,GODFREY 2
13021000GF3,GODFREY 3
13021000GF4,GODFREY 4
13021000GF5,GODFREY 5
13021000HA1,HAZZARD 1
13021000HA2,HAZZARD 2
13021000HA3,HAZZARD 3
13021000HA4,HAZZARD 4
13021000HO1,HOWARD 1
13021000HO2,HOWARD 2
