
GEOID,NAME
19001001001,ADAIR IN ADAIR COUNTY
19001001002,SUMMIT TWP W/O ADAIR
19001001003,WALNUT TWP W/O CASEY
19001001004,CASEY IN ADAIR COUNTY
19001001005,JEFFERSON TWP
19001001006,LINCOLN TWP W/O STUART
19001001007,STUART IN ADAIR COUNTY
19001001008,HARRISON TWP
19001001009,GROVE TWP
19001001010,PRUSSIA TWP
19001001011,EUREKA TWP
19001001012,JACKSON TWP W/O BRIDGEWATER
19001001013,BRIDGEWATER
19001001014,SUMMERSET TWP
19001001015,LEE TWP W/O GREENFIELD
19001001016,GREENFIELD TWP W/O GREENFIELD
19001001017,GREENFIELD
19001001018,GRAND RIVER TWP
19001001019,UNION TWP
19001001020,ORIENT TWP
19001001021,RICHLAND TWP
19001001022,WASHINGTON TWP
19003003001,LINCOLN TWP
19003003002,WASHINGTON TWP
19003003003,CARL TWP
19003003004,COLONY TWP
19003003005,UNION TWP
19003003006,PRESCOTT TWP
19003003007,QUINCY TWP PART W/O CORNING
19003003008,CORNING W/QUINCY TWP PART
19003003009,DOUGLAS TWP W/O CARBON
19003003010,CARBON
19003003011,NODAWAY TWP
19003003012,JASPER TWP W/O CORNING
19003003013,MERCER TWP
19003003014,GRANT TWP W/O LENOX
19003003015,LENOX IN ADAMS COUNTY
19005005001,WATERLOO TWP
19005005002,UNION CITY TWP
19005005003,IOWA TWP
19005005004,LANSING TWP
19005005005,FRENCH CREEK TWP
19005005006,HANOVER TWP
19005005007,UNION PRAIRIE TWP W/O WAUKON
19005005008,MAKEE TWP PART W/O WAUKON
19005005009,CENTER TWP
19005005010,LAFAYETTE TWP
19005005011,TAYLOR TWP
19005005012,PAINT CREEK TWP
19005005013,JEFFERSON TWP W/O WAUKON
19005005014,LUDLOW TWP PART W/O WAUKON
19005005015,WAUKON W/LUDLOW TWP & MAKEE TWP PARTS
19005005016,POST TWP W/O POSTVILLE
19005005017,POSTVILLE IN ALLAMAKEE COUNTY
19005005018,FRANKLIN TWP
19005005019,LINTON TWP
19005005020,FAIRVIEW TWP
19007007001,INDEPENDENCE TWP
19007007002,CHARITON TWP
19007007003,TAYLOR TWP W/O MORAVIA
19007007004,MORAVIA IN APPANOOSE COUNTY
19007007005,UNION TWP
19007007006,UDELL TWP
19007007007,DOUGLAS TWP
19007007008,WALNUT TWP PART W/O MYSTIC
19007007009,JOHNS TWP
19007007010,LINCOLN TWP W/O NUMA
19007007011,BELLAIR TWP W/O MYSTIC & NUMA
19007007012,NUMA
19007007013,MYSTIC W/WALNUT TWP PART
19007007014,VERMILLION TWP W/CENTERVILLE
19007007015,SHARON TWP
19007007016,WASHINGTON TWP W/O MOULTON
19007007017,WELLS TWP W/O MOULTON
19007007018,MOULTON
19007007019,CALDWELL TWP
19007007020,PLEASANT TWP
19007007021,FRANKLIN TWP
19009009001,LINCOLN TWP W/O GRAY
19009009002,GRAY
19009009003,CAMERON TWP
19009009004,VIOLA TWP
19009009005,MELVILLE TWP
19009009006,BRAYTON
19009009007,LEROY TWP
19009009008,DOUGLAS TWP
19009009009,SHARON TWP
19009009010,HAMLIN TWP
19009009011,GREELEY TWP
19009009012,AUDUBON TWP
19009009013,EXIRA TWP W/O BRAYTON
19009009014,OAKFIELD TWP W/O BRAYTON
19011011001,BRUCE TWP
19011011002,CEDAR TWP
19011011003,HARRISON TWP
19011011004,POLK TWP
19011011005,BENTON TWP
19011011006,TAYLOR TWP W/VINTON
19011011007,JACKSON TWP
19011011008,MONROE TWP
19011011009,HOMER TWP
19011011010,BIG GROVE TWP
19011011011,EDEN TWP
19011011012,CANTON TWP W/SHELLSBURG
19011011013,FREMONT TWP
19011011014,ELDORADO TWP
19011011015,UNION TWP
19011011016,KANE TWP
19011011017,IOWA TWP W/O LUZERNE
19011011018,BELLE PLAINE
19011011019,LEROY TWP W/O LUZERNE
19011011020,LUZERNE
19011011021,ST. CLAIR TWP
19011011022,FLORENCE TWP W/O WALFORD PART
19011011023,WALFORD PART IN BENTON COUNTY
19013013001,UNION TWP
19013013002,WASHINGTON TWP W/O JANESVILLE
19013013003,JANESVILLE IN BLACK HAWK COUNTY
19013013004,MOUNT VERNON TWP
