
GEOID,NAME
16001011401,1401
16001011402,1402
16001011403,1403
16001011404,1404
16001011405,1405
16001011406,1406
16001011407,1407
16001011408,1408
16001011409,1409
16001011410,1410
16001011411,1411
16001011412,1412
16001011413,1413
16001011414,1414
16001011415,1415
16001011416,1416
16001011417,1417
16001011418,1418
16001011419,1419
16001011501,1501
16001011502,1502
16001011503,1503
16001011504,1504
16001011505,1505
16001011506,1506
16001011507,1507
16001011508,1508
16001011509,1509
16001011510,1510
16001011511,1511
16001011512,1512
16001011513,1513
16001011514,1514
16001011515,1515
16001011601,1601
16001011602,1602
16001011603,1603
16001011604,1604
16001011605,1605
16001011606,1606
16001011607,1607
16001011608,1608
16001011609,1609
16001011610,1610
16001011611,1611
16001011612,1612
16001011613,1613
16001011614,1614
16001011615,1615
16001011701,1701
16001011702,1702
16001011703,1703
16001011704,1704
16001011705,1705
16001011706,1706
16001011707,1707
16001011708,1708
16001011709,1709
16001011710,1710
16001011711,1711
16001011712,1712
16001011713,1713
16001011714,1714
16001011715,1715
16001011801,1801
16001011802,1802
16001011803,1803
16001011804,1804
16001011805,1805
16001011806,1806
16001011807,1807
16001011808,1808
16001011809,1809
16001011810,1810
16001011811,1811
16001011812,1812
16001011813,1813
16001011814,1814
16001011815,1815
16001011816,1816
16001011817,1817
16001011818,1818
16001011901,1901
16001011902,1902
16001011903,1903
16001011904,1904
16001011905,1905
16001011906,1906
16001011907,1907
16001011908,1908
16001011909,1909
16001011910,1910
16001011911,1911
16001011912,1912
16001011913,1913
16001011914,1914
16001011915,1915
16001011916,1916
16001011917,1917
16001011918,1918
16001011919,1919
16001011920,1920
16001012001,2001
16001012002,2002
16001012003,2003
16001012004,2004
16001012005,2005
16001012006,2006
16001012007,2007
16001012008,2008
16001012009,2009
16001012010,2010
16001012011,2011
16001012012,2012
16001012013,2013
16001012101,2101
16001012102,2102
16001012103,2103
16001012104,2104
16001012105,2105
16001012106,2106
16001012107,2107
16001012108,2108
16001012109,2109
16001012110,2110
16001012111,2111
16001012112,2112
16001012113,2113
16001012114,2114
16001012115,2115
16001012116,2116
16001012201,2201
16001012202,2202
16001012203,2203
16001012204,2204
16001012205,2205
16001012206,2206
16001012207,2207
16001012208,2208
16001012209,2209
16001012210,2210
16001012211,2211
16001012212,2212
16001012213,2213
16001012214,2214
16003039001,003001
16003039002,003002
16003039003,003003
16003039004,003004
16003039005,003005
16003039006,003006
16005052834,POCATELLO
16005052835,POCATELLO
16005052836,POCATELLO
16005052837,POCATELLO
16005052838,POCATELLO
16005052839,POCATELLO
16005052840,POCATELLO
16005052841,POCATELLO
16005052842,POCATELLO
16005052843,POCATELLO
16005052850,CHUBBUCK
16005052851,CHUBBUCK
16005052852,CHUBBUCK
16005052853,CHUBBUCK
16005052854,CHUBBUCK
16005052855,CHUBBUCK
16005052856,CHUBBUCK
16005052857,CHUBBUCK
16005052858,CHUBBUCK
16005052859,CHUBBUCK
16005052860,CHUBBUCK
16005052861,ARIMO
16005052862,DOWNEY
16005052863,INKOM
16005052864,LAVA HOT SPRINGS
16005052865,McCAMMON
16005052867,PEBBLE CREEK
16005052868,SWAN LAKE
16005052901,POCATELLO
16005052902,POCATELLO
16005052903,POCATELLO
16005052904,POCATELLO
16005052905,POCATELLO
16005052906,POCATELLO
16005052907,POCATELLO
16005052908,POCATELLO
16005052909,POCATELLO
16005052910,POCATELLO
16005052911,POCATELLO
16005052912,POCATELLO
16005052913,POCATELLO
16005052914,POCATELLO
16005052915,POCATELLO
16005052917,POCATELLO
16005052918,POCATELLO
16005052919,POCATELLO
16005052920,POCATELLO
16005052921,POCATELLO
16005052922,POCATELLO
16005052923,POCATELLO
16005052924,POCATELLO
16005052925,POCATELLO
16005052926,POCATELLO
16005052927,POCATELLO
16005052928,POCATELLO
16005052931,POCATELLO
16005052932,POCATELLO
16005052966,MINK CREEK
16007072905,Bennington
16007072916,Bailey Creek
16007073201,Montpelier 1
16007073202,Montpelier 2
16007073203,Montpelier 3
16007073206,Bern
16007073207,Bloomington
16007073208,Dingle
16007073209,Fish Haven
16007073210,Geneva
16007073211,Georgetown
16007073212,Liberty
16007073213,Paris
16007073215,St Charles
16009095001,Benewah
16009095002,Center
16009095003,College
16009095004,Emida
16009095005,Fernwood
16009095006,Plummer
16009095007,Santa
16009095008,St Joe
16009095009,St Maries
16009095010,Tensed
16009095011,Townsite
16011113101,Blackfoot 1
16011113102,Blackfoot 2
16011113103,Blackfoot 3
16011113104,Blackfoot 4
16011113105,Blackfoot 5
16011113106,Blackfoot 6
16011113107,Firth 7
16011113108,Firth 8
16011113109,Groveland 9
16011113110,Jameston 10
16011113111,Moreland 11
16011113112,Rockford 12
16011113113,Shelley 13
16011113114,Shelley 14
16011113115,Aberdeen 15
16011113116,Springfield-Sterling 16
16011113117,Riverside 17
16011113118,Pingree 18
16011113119,Wapello 19
16011113120,Fort Hall 20
16011113121,Shelley West 21
16011113122,Groveland 22
16011113123,Blackfoot 23
16011113124,Riverside 24
16011113125,Moreland 25
16011113126,Atomic City 26
16011113127,Bonneville 27
16011113128,Morgan's Pasture 28
16013132601,16 Yale
16013132602,15 Gannett/Picabo
16013132603,14 Carey
16013132604,5 Quigley
16013132605,12 Poverty Flat
16013132606,6 Deer Creek
16013132607,10 NW Woodside
16013132608,7 NW Hailey
16013132609,9 SW Hailey
16013132610,8 NE Hailey
16013132611,11 SE Woodside
16013132612,13 Bellevue
16013132613,1 North Blaine County
16013132614,4 South Ketchum
16013132615,2 Sun Valley
16013132616,3 North Ketchum
16015158030,Garden Valley
16015158040,Horseshoe Bend
16015158050,Idaho City
16015158060,Lowman
16015158070,Mores Creek
16015158080,Placerville
16017171001,AIRPORT
16017171002,ALGOMA
16017171003,BALDY
16017171004,BLUE LAKE
16017171006,CLARK FORK
16017171007,COCOLALLA
16017171008,COLBURN
16017171009,DOVER
16017171010,E PRIEST RIVER
16017171011,EDGEMERE
16017171013,GROUSE CREEK
16017171014,HOPE
16017171015,HUMBIRD
16017171016,KELSO
16017171017,KOOTENAI
16017171018,LACLEDE
16017171020,LAMB CREEK
16017171021,ODEN
16017171022,OLDTOWN
16017171023,PRIEST LAKE
16017171024,PRIEST RIVER WEST CITY
16017171026,SANDPOINT
16017171029,SPIRIT VALLEY
16017171030,WASHINGTON
16017171031,WESTMOND
