
GEOID,NAME
17001001001,CLAYTON
17001002001,NORTHEAST
17001003001,CAMP POINT 1
17001003002,CAMP POINT 2
17001004001,HOUSTON
17001005001,HONEY CREEK
17001006001,KEENE
17001007001,MENDON 1
17001007002,MENDON 2
17001008001,LIMA
17001009001,URSA
17001010001,CONCORD
17001011001,MCKEE
17001012001,BEVERLY
17001013001,COLUMBUS
17001014001,LIBERTY
17001015001,RICHFIELD
17001016001,GILMER
17001017001,BURTON
17001018001,PAYSON 1
17001018002,PAYSON 2
17001019001,ELLINGTON 1
17001019002,ELLINGTON 2
17001019003,ELLINGTON 3
17001020001,MELROSE 1
17001020002,MELROSE 2
17001020003,MELROSE 3
17001020004,MELROSE 4
17001020005,MELROSE 5
17001020006,MELROSE 6
17001021001,FALL CREEK
17001022001,RIVERSIDE 1
17001022002,RIVERSIDE 2
17001022003,RIVERSIDE 3
17001023001,QUINCY 1
17001023002,QUINCY 2
17001023003,QUINCY 3
17001023004,QUINCY 4
17001023005,QUINCY 5
17001023006,QUINCY 6
17001023007,QUINCY 7
17001023008,QUINCY 8
17001023009,QUINCY 9
17001023010,QUINCY 10
17001023011,QUINCY 11
17001023012,QUINCY 12
17001023013,QUINCY 13
17001023014,QUINCY 14
17001023015,QUINCY 15
17001023016,QUINCY 16
17001023017,QUINCY 17
17001023018,QUINCY 18
17001023019,QUINCY 19
17001023020,QUINCY 20
17001023021,QUINCY 21
17001023022,QUINCY 22
17001023023,QUINCY 23
17001023024,QUINCY 24
17001023025,QUINCY 25
17001023026,QUINCY 26
17001023027,QUINCY 27
17001023028,QUINCY 28
17001023029,QUINCY 29
17001023030,QUINCY 30
17001023031,QUINCY 31
17001023032,QUINCY 32
17001023033,QUINCY 33
17001023034,QUINCY 34
17001023035,QUINCY 35
17001023036,QUINCY 36
17001023037,QUINCY 37
17001023038,QUINCY 38
17001023039,QUINCY 39
17001023040,QUINCY 40
17003000101,CAIRO 1
17003000102,CAIRO 2
17003000103,CAIRO 3
17003000104,CAIRO 4
17003000105,CAIRO 5
17003000201,CACHE
17003000301,SANDUSKY
17003000401,TAMMS
17003000601,MCCLURE
17003000801,THEBES
17003000901,OLIVE BRANCH
1700500BG01,BURGESS 1
1700500BG02,BURGESS 2
1700500BG03,BURGESS 3
1700500CN01,CENTRAL 1
1700500CN02,CENTRAL 2
1700500CN03,CENTRAL 3
1700500CN04,CENTRAL 4
1700500CN05,CENTRAL 5
1700500CN06,CENTRAL 6
1700500CN07,CENTRAL 7
1700500CN1A,CENTRAL 1A
1700500LG01,LAGRANGE 1
1700500LG02,LAGRANGE 2
1700500MG01,MULBERRY GROVE 1
1700500MG02,MULBERRY GROVE 2
1700500ML00,MILLS
1700500OR00,OLD RIPLEY
1700500PM01,PLEASANT MOUND 1
1700500PM02,PLEASANT MOUND 2
1700500SH01,SHOAL CREEK 1
1700500SH02,SHOAL CREEK 2
1700500SH03,SHOAL CREEK 3
1700500SH04,SHOAL CREEK 4
1700500TM01,TAMALCO 1
1700500TM02,TAMALCO 2
17007001001,BELVIDERE 1
17007001002,BELVIDERE 2
17007001003,BELVIDERE 3
17007001004,BELVIDERE 4
17007001005,BELVIDERE 5
17007001006,BELVIDERE 6
17007001007,BELVIDERE 7
17007001008,BELVIDERE 8
17007001009,BELVIDERE 9
17007001010,BELVIDERE 10
17007001011,BELVIDERE 11
17007001012,BELVIDERE 12
17007001013,BELVIDERE 13
17007001014,BELVIDERE 14
17007001015,BELVIDERE 15
17007001016,BELVIDERE 16
17007001017,BELVIDERE 17
17007001018,BELVIDERE 18
17007001019,BELVIDERE 19
17007001020,BELVIDERE 20
17007001021,BELVIDERE 21
17007001022,BELVIDERE 22
17007002001,FLORA 1
17007002002,FLORA 2
17007003001,CALEDONIA 1
17007003002,CALEDONIA 2
17007003003,CALEDONIA 3
17007004001,MANCHESTER
17007005001,SPRING
17007006001,BONUS 1
17007006002,BONUS 2
17007006003,BONUS 3
17007007001,BOONE 1
17007007002,BOONE 2
17007008001,LEROY
17007009001,POPLAR GROVE 1
17007009002,POPLAR GROVE 2
17007009003,POPLAR GROVE 3
17009000101,BUCKHORN
17009000201,COOPERSTOWN
17009000301,ELKHORN
17009000401,LEE
17009000501,MISSOURI
17009000601,MT STERLING 1
17009000602,MT STERLING 2
17009000603,MT STERLING 3
17009000604,MT STERLING 4
17009000605,MT STERLING 5
17009000701,PEA RIDGE
17009000801,RIPLEY
17009000901,VERSAILLES 1
17009000902,VERSAILLES 2
17011001001,CLARION
17011002001,LA MOILLE 1
17011002002,LA MOILLE 2
17011003001,OHIO 1
17011003002,OHIO 2
17011004001,WALNUT 1
17011004002,WALNUT 2
17011005001,GREENVILLE
17011006001,FAIRFIELD
17011007001,WESTFIELD 1
17011007002,WESTFIELD 2
17011008001,BERLIN
17011009001,DOVER
17011010001,BUREAU
17011011001,MANLIUS
17011012001,GOLD
17011013001,HALL 1
17011013002,HALL 2
17011013003,HALL 3
17011013004,HALL 4
17011013005,HALL 5
17011013006,HALL 6
17011013007,HALL 7
17011013008,HALL 8
17011013009,HALL 9
17011013010,HALL 10
17011014001,SELBY 1
17011014002,SELBY 2
17011014003,SELBY 3
17011015001,PRINCETON 1
17011015002,PRINCETON 2
17011015003,PRINCETON 3
17011015004,PRINCETON 4
17011015005,PRINCETON 5
17011015006,PRINCETON 6
17011015007,PRINCETON 7
17011015008,PRINCETON 8
17011015009,PRINCETON 9
17011016001,WYANET 1
17011016002,WYANET 2
17011017001,CONCORD 1
17011017002,CONCORD 2
17011018001,MINERAL
17011019001,LEEPERTOWN
17011020001,ARISPIE
17011021001,INDIANTOWN
17011022001,MACON
17011023001,NEPONSET
17011024001,WHEATLAND
17011025001,MILO
17013000001,BELLEVIEW
17013000002,CRATER-CARLIN
17013000003,HAMBURG
17013000004,HARDIN
17013000005,GILEAD
17013000006,RICHWOODS
17013000007,POINT
1701500CS01,CHERRY GROVE/SHANNON 1
1701500CS02,CHERRY GROVE/SHANNON 2
1701500EK00,ELKHORN GROVE
1701500FD00,FREEDOM
1701500FH00,FAIR HAVEN
1701500MC01,MT CARROLL 1
1701500MC02,MT CARROLL 2
1701500MC03,MT CARROLL 3
1701500RL01,ROCK CREEK/LIMA 1
1701500RL02,ROCK CREEK/LIMA 2
1701500SA01,SAVANNA 1
1701500SA02,SAVANNA 2
1701500SA03,SAVANNA 3
1701500SA04,SAVANNA 4
1701500SA05,SAVANNA 5
1701500SA06,SAVANNA 6
1701500SM00,SALEM
1701500WD00,WOODLAND
1701500WN00,WASHINGTON
1701500WY01,WYSOX 1
1701500WY02,WYSOX 2
1701500YK00,YORK
17017000111,ARENZVILLE 11
17017000220,ASHLAND 20
17017000221,ASHLAND 21
17017000301,BEARDSTOWN 1
17017000302,BEARDSTOWN 2
17017000303,BEARDSTOWN 3
17017000304,BEARDSTOWN 4
17017000305,BEARDSTOWN 5
17017000306,BEARDSTOWN 6
17017000307,BEARDSTOWN 7
17017000308,BEARDSTOWN 8
17017000410,BLUFF SPRINGS 10
17017000518,CHANDLERVILLE 18
17017000609,HAGENER 9
17017000719,NEWMANSVILLE 19
17017000817,PANTHER CREEK 17
17017000916,PHILADELPHIA 16
17017001012,SANGAMON VALLEY 12
17017001113,VIRGINIA 13
17017001114,VIRGINIA 14
17017001115,VIRGINIA 15
17019AYE000,Ayers
17019BF1000,Brown Fisher
17019BFO000,Brown Foosland
17019CC0100,City of Champaign 01
17019CC0200,City of Champaign 02
17019CC0300,City of Champaign 03
17019CC0400,City of Champaign 04
17019CC0500,City of Champaign 05
17019CC0600,City of Champaign 06
17019CC0700,City of Champaign 07
17019CC0800,City of Champaign 08
17019CC0900,City of Champaign 09
17019CC1000,City of Champaign 10
17019CC1100,City of Champaign 11
17019CC1200,City of Champaign 12
17019CC1300,City of Champaign 13
17019CC1400,City of Champaign 14
17019CC1500,City of Champaign 15
17019CC1600,City of Champaign 16
17019CC1700,City of Champaign 17
17019CC1800,City of Champaign 18
17019CC1900,City of Champaign 19
17019CC2000,City of Champaign 20
17019CC2100,City of Champaign 21
17019CC2200,City of Champaign 22
17019CC2300,City of Champaign 23
17019CC2400,City of Champaign 24
17019CC2500,City of Champaign 25
17019CC2600,City of Champaign 26
17019CC2700,City of Champaign 27
17019CC2800,City of Champaign 28
17019CC2900,City of Champaign 29
17019CC3000,City of Champaign 30
17019CC3100,City of Champaign 31
17019CC3200,City of Champaign 32
17019CC3300,City of Champaign 33
17019CC3400,City of Champaign 34
17019CC3500,City of Champaign 35
17019CC3600,City of Champaign 36
17019CC3700,City of Champaign 37
17019CC3800,City of Champaign 38
17019CC3900,City of Champaign 39
17019CGI000,Compromise Giffor
17019CH1000,Champaign 1
17019CH2000,Champaign 2
17019CH3000,Champaign 3
17019CH4000,Champaign 4
17019CH5000,Champaign 5
17019CH6000,Champaign 6
17019CN0100,Cunningham 1
17019CN0200,Cunningham 2
17019CN0300,Cunningham 3
17019CN0400,Cunningham 4
17019CN0500,Cunningham 5
17019CN0600,Cunningham 6
17019CN0700,Cunningham 7
17019CN0800,Cunningham 8
17019CN0900,Cunningham 9
17019CN1000,Cunningham 10
17019CN1100,Cunningham 11
17019CN1200,Cunningham 12
17019CN1300,Cunningham 13
17019CN1400,Cunningham 14
17019CN1500,Cunningham 15
17019CN1600,Cunningham 16
17019CN1700,Cunningham 17
17019CN1800,Cunningham 18
17019CN1900,Cunningham 19
17019CN2000,Cunningham 20
17019CN2100,Cunningham 21
17019CN2200,Cunningham 22
17019CN2300,Cunningham 23
17019COL000,Colfax
17019CON000,Condit
17019CPE000,Compromise Penfie
17019CRI000,Crittenden
17019EBE000,East Bend
17019HAR000,Harwood
17019HEN000,Hensley
17019KER000,Kerr
17019LUD100,Ludlow 1
17019LUD200,Ludlow 2
17019LUD300,Ludlow 3
17019MA1000,Mahomet 1
17019MA2000,Mahomet 2
17019MA3000,Mahomet 3
17019MA4000,Mahomet 4
17019MA5000,Mahomet 5
17019NEW000,Newcomb
17019OG1000,Ogden 1
17019OG2000,Ogden 2
17019PES000,Pesotum
17019PHI000,Philo
17019RA1000,Rantoul 1
17019RA2000,Rantoul 2
17019RA3000,Rantoul 3
17019RA4000,Rantoul 4
17019RA5000,Rantoul 5
17019RA6000,Rantoul 6
17019RAY000,Raymond
17019SAI000,Sadorus Ivesdale
17019SAS000,Sadorus Sadorus
17019SCB000,Scott Bondville
17019SCS000,Scott Seymour
17019SID000,Sidney
17019SJ1000,St Joseph 1
17019SJ2000,St Joseph 2
17019SJ3000,St Joseph 3
17019SOH000,South Homer
17019SOM000,Somer
17019STA000,Stanton
17019TO1000,Tolono 1
17019TO2000,Tolono 2
17019TO3000,Tolono 3
17019UR1000,Urbana 1
17019UR2000,Urbana 2
17019UR3000,Urbana 3
17019UR4000,Urbana 4
1702100AP01,ASSUMPTION
1702100BC01,BEAR CREEK
1702100BH01,BUCKHART
1702100GR01,GREENWOOD
1702100JN01,JOHNSON
1702100KN01,KING
1702100LT01,LOCUST
1702100MA01,MAY
1702100MQ01,MOSQUITO
1702100MT01,MT AUBURN
1702100PN01,PANA 1
1702100PN02,PANA 2
1702100PN03,PANA 3
1702100PN04,PANA 4
1702100PN05,PANA 5
1702100PR01,PRAIRIETON
1702100RK01,RICKS
1702100RM01,ROSAMOND
1702100SF01,SOUTH FORK 1
1702100SF02,SOUTH FORK 2
1702100SF03,SOUTH FORK 3
1702100ST01,STONINGTON
1702100TL01,TAYLORVILLE 1
1702100TL02,TAYLORVILLE 2
1702100TL03,TAYLORVILLE 3
1702100TL04,TAYLORVILLE 4
1702100TL05,TAYLORVILLE 5
1702100TL06,TAYLORVILLE 6
1702100TL07,TAYLORVILLE 7
1702100TL08,TAYLORVILLE 8
17023001001,ANDERSON
17023002001,AUBURN
17023003001,CASEY 1
17023003002,CASEY 2
17023003003,CASEY 3
17023003004,CASEY 4
17023004001,DARWIN
17023005001,DOLSON
17023006001,DOUGLAS
17023007001,JOHNSON
17023008001,MARSHALL 1
17023008002,MARSHALL 2
17023008003,MARSHALL 3
17023008004,MARSHALL 4
17023009001,MARTINSVILLE 1
17023009002,MARTINSVILLE 2
17023010001,MELROSE
