GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
18001000190,1037,791,753,16,1,13,3,2,38,3499,2602,703,194
18001000100,1517,1217,1156,31,6,19,0,0,61,4815,3259,1269,287
18001000250,1022,796,753,22,2,11,7,0,43,3438,2527,707,204
18001000230,905,692,666,16,1,9,1,0,26,2850,2094,575,181
18001000090,2451,1882,1610,186,32,40,20,0,272,6057,3595,1998,464
18001000080,1043,863,795,27,12,7,13,1,68,3553,2348,1044,161
18001000070,1532,1219,1051,115,20,16,12,1,168,3160,1784,1103,273
18001000050,2281,1722,1519,130,33,44,6,3,203,5992,3620,1944,428
18001000180,632,454,407,24,3,13,2,2,47,1862,1408,337,117
18001000060,2606,2064,1826,149,35,55,9,1,238,5813,3381,2002,430
18001000210,1422,929,884,29,2,9,3,0,45,3389,2422,745,222
18001000150,951,625,601,17,1,1,3,0,24,2875,2319,407,149
18001000220,1269,904,878,12,2,7,1,1,26,3341,2460,699,182
18001000160,181,129,123,6,0,0,0,0,6,488,341,112,35
18001000170,704,487,446,16,0,16,4,1,41,2203,1531,516,156
18001000200,3047,1598,1574,16,1,6,3,2,24,2508,2135,229,144
18001000040,1540,834,816,1,0,12,1,1,18,1321,1081,167,73
18001000110,1244,682,667,7,0,2,2,0,15,2199,1874,234,91
18001000010,1536,1100,1004,46,9,30,12,2,96,4274,3164,832,278
18001000020,1473,1110,1005,64,5,19,15,2,105,4168,3174,723,271
18001000240,2657,1343,1323,9,2,9,6,0,20,1842,1442,321,79
18001000030,1158,962,919,21,2,4,12,1,43,3933,3103,695,135
18001000130,981,609,598,5,3,7,0,0,11,2080,1635,315,130
18001000120,1257,997,914,69,3,8,5,0,83,3087,2095,767,225
18001000140,1363,632,627,4,1,1,0,0,5,967,755,165,47
18003000470,1147,900,690,48,68,5,81,2,210,3204,1611,1423,170
18003000370,1637,1256,1048,85,54,49,15,3,208,4197,2076,1871,250
18003000360,1405,1033,869,52,67,17,33,1,164,3618,1601,1749,268
18003000380,1978,1540,1298,70,100,20,37,5,242,5465,2463,2722,280
18003000620,827,591,506,29,31,7,14,1,85,2698,999,1554,145
18003000670,1370,1062,857,75,71,42,26,1,205,3063,1115,1755,193
18003000680,868,643,505,42,66,16,13,0,138,2071,718,1198,155
18003000660,1228,1000,719,67,166,28,19,2,281,2311,646,1508,157
18003001590,1400,1061,631,88,152,38,162,0,430,1576,619,850,107
18003000070,734,561,433,28,61,7,24,0,128,1794,1048,650,96
18003000950,44,35,34,0,0,0,0,0,1,166,105,50,11
18003001570,1409,1122,815,88,144,21,51,7,307,2681,1111,1426,144
18003001560,2191,1659,1202,203,164,50,31,3,457,3453,1557,1643,253
18003001470,2080,1545,1194,199,114,49,9,0,351,2537,1003,1302,232
18003001580,1483,1047,778,93,113,29,20,10,269,2119,889,1054,176
18003001360,2202,2133,1464,122,456,19,66,2,669,4069,1208,2672,189
18003000920,1856,1434,1075,139,163,52,15,1,359,3594,1790,1581,223
18003000750,1521,1218,923,104,114,22,49,3,295,3280,1645,1472,163
18003000780,1757,1515,1106,92,200,38,74,5,409,3682,1755,1691,236
18003000700,1349,1105,659,143,221,46,51,6,446,1839,698,1032,109
18003000890,926,719,608,43,46,9,9,0,111,2244,985,1111,148
18003000900,1375,1037,869,67,51,33,11,0,168,3259,1543,1516,200
18003001480,1567,1149,845,140,109,45,9,0,304,2235,1021,1022,192
18003001490,1434,1154,860,117,138,29,22,0,294,2094,1049,902,143
18003000910,1155,938,793,58,41,25,15,1,145,2972,1690,1125,157
18003001540,1461,1260,1069,68,83,23,9,1,191,4224,1036,2946,242
18003001520,1843,1339,790,287,192,52,19,1,549,2167,845,1179,143
18003001440,759,707,529,46,93,17,29,3,178,947,325,585,37
