
GEOID,NAME
18001000010,BERNE A
18001000020,BERNE B
18001000030,BERNE C
18001000040,BLUE CREEK
18001000050,DECATUR 01
18001000060,DECATUR 02
18001000070,DECATUR 03
18001000080,DECATUR 04
18001000090,DECATUR 05
18001000100,EAST ROOT
18001000110,FRENCH
18001000120,GENEVA
18001000130,HARTFORD
18001000140,JEFFERSON
18001000150,KIRKLAND
18001000160,MONROE A
18001000170,MONROE B
18001000180,NORTH WASHINGTON
18001000190,PREBLE
18001000200,SOUTH MONROE
18001000210,SOUTH WASHINGTON
18001000220,ST. MARYS
18001000230,UNION
18001000240,WABASH
18001000250,WEST ROOT
18003000010,151
18003000020,152
18003000030,153
18003000040,154
18003000050,156
18003000060,157
18003000070,158
18003000080,162
18003000090,163
18003000100,164
18003000110,166
18003000120,168
18003000130,169
18003000140,170
18003000150,172
18003000160,174
18003000170,175
18003000180,176
18003000190,177
18003000200,178
18003000210,179
18003000220,180
18003000230,183
18003000240,184
18003000250,185
18003000260,186
18003000270,188
18003000280,189
18003000290,190
18003000300,192
18003000310,194
18003000320,195
18003000330,196
18003000340,197
18003000350,200
18003000360,203
18003000370,204
18003000380,205
18003000390,207
18003000400,209
18003000410,210
18003000420,211
18003000430,212
18003000440,213
18003000450,214
18003000460,216
18003000470,217
18003000480,218
18003000490,255
18003000500,256
18003000510,257
18003000520,259
18003000530,260
18003000540,261
18003000550,262
18003000560,270
18003000570,285
18003000580,287
18003000590,288
18003000600,289
18003000610,290
18003000620,291
18003000630,292
18003000640,293
18003000650,294
18003000660,296
18003000670,297
18003000680,298
18003000690,303
18003000700,304
18003000710,306
18003000720,307
18003000730,309
18003000740,310
18003000750,311
18003000760,312
18003000770,313
18003000780,314
18003000790,315
18003000800,316
18003000810,318
18003000820,319
18003000830,320
18003000840,321
18003000850,322
18003000860,323
18003000870,327
18003000880,360
18003000890,364
18003000900,366
18003000910,367
18003000920,368
18003000930,370
18003000940,371
18003000950,373
18003000960,399
18003000970,410
18003000980,411
18003000990,415
18003001000,418
18003001010,452
18003001020,454
18003001030,456
18003001040,457
18003001050,459
18003001060,460
18003001070,461
18003001080,468
18003001090,469
18003001100,470
18003001110,471
18003001120,472
18003001130,473
18003001140,474
18003001150,475
18003001160,476
18003001170,477
18003001180,478
18003001190,479
18003001200,480
18003001210,481
18003001220,482
18003001230,483
18003001240,484
18003001250,485
18003001260,486
18003001270,487
18003001280,488
18003001290,490
18003001300,502
18003001310,503
18003001320,504
18003001330,505
18003001340,509
18003001350,512
18003001360,516
18003001370,518
18003001380,519
18003001390,553
18003001400,554
18003001410,555
18003001420,557
18003001430,561
18003001440,565
18003001450,567
18003001460,569
18003001470,575
18003001480,576
18003001490,577
18003001500,578
18003001510,579
18003001520,581
18003001530,582
18003001540,583
18003001550,585
18003001560,590
18003001570,592
18003001580,594
18003001590,596
18003001600,602
18003001610,603
18003001620,605
18003001630,607
18003001640,608
18003001650,610
18003001660,611
18003001670,612
18003001680,651
18003001690,652
18003001700,653
18003001710,654
18003001720,656
18003001730,658
18003001740,660
18003001750,662
18003001760,663
18003001770,665
18003001780,667
18003001790,668
18003001800,669
18003001810,670
18003001820,671
18003001830,672
18003001840,674
18003001850,675
18003001860,677
18003001870,678
18003001880,679
18003001890,682
18003001900,690
18003001910,692
18003001920,ABOITE A
18003001930,ABOITE B
18003001940,ABOITE C
18003001950,ABOITE J
18003001960,ABOITE K
18003001970,ABOITE L
18003001980,ABOITE N
18003001990,ABOITE T
18003002000,ABOITE U
18003002010,ABOITE Z
18003002020,ADAMS B1
18003002030,ADAMS B2
18003002040,ADAMS C
18003002050,ADAMS E
18003002060,ADAMS F
18003002070,ADAMS G
18003002080,ADAMS N
18003002090,ADAMS O
18003002100,CEDAR CREEK A
18003002110,CEDAR CREEK B
18003002120,CEDAR CREEK C
18003002130,CEDAR CREEK D
18003002140,CEDAR CREEK E
18003002150,CEDAR CREEK F
18003002160,CEDAR CREEK G
18003002170,EEL RIVER A
18003002180,EEL RIVER B
18003002190,GRABILL
18003002200,HUNTERTOWN A
18003002210,HUNTERTOWN B
18003002220,HUNTERTOWN C
18003002230,HUNTERTOWN D
18003002240,HUNTERTOWN ER
18003002250,JACKSON
18003002260,JEFFERSON
18003002270,LAFAYETTE A
18003002280,LAFAYETTE B
18003002290,LAFAYETTE C
18003002300,LAKE A
18003002310,LAKE B
18003002320,LEO CEDARVILLE A
18003002330,LEO CEDARVILLE B
18003002340,MADISON
18003002350,MARION A
18003002360,MARION B
18003002370,MARION C
18003002380,MAUMEE
18003002390,MILAN
18003002400,MONROE
18003002410,MONROEVILLE
18003002420,NH 1
18003002430,NH 1J
18003002440,NH 1SJ
18003002450,NH 2A
18003002460,NH 2J-1
18003002470,NH 2J-4
18003002480,NH 2J-2
18003002490,NH 2J-3
18003002500,NH 3A
18003002510,NH 3B
18003002520,NH 4A
18003002530,NH 4B
18003002540,NH 5A
18003002550,NH 5B
18003002560,NH 5C
18003002570,NH 5D
18003002580,NH 5E
