
GEOID,NAME
20001000010,Carlyle Township
20001000020,Cottage Grove Township
20001000030,Deer Creek Township
20001000040,East Elm
20001000050,Geneva Township
2000100006A,Humboldt Township
2000100006B,Humboldt Township Rural Enclave
2000100006C,Humboldt Township Split
2000100006D,Humboldt Township Rural Enclave 2
20001000070,Humboldt Ward 1
20001000080,Humboldt Ward 2
20001000130,Logan Township
20001000140,Marmaton Township
20001000150,North Elmsmore
2000100016A,North Iola Part A
2000100016C,North Iola Part B
20001000170,Osage Township
20001000180,Salem Township
20001000190,South Elmsmore
2000100020A,South Iola
2000100020B,South Iola Enclave
2000100020C,Bassett City Enclave
20001000210,West Elm
20001170010,Iola Ward 1
20001170020,Iola Ward 2
20001170030,Iola Ward 3
2000117003B,Iola Ward 3 Enclave
2000117003C,Iola Ward 3 Exclave
20001170040,Iola Ward 4
20001190010,Humboldt Ward 2 Exclave
20001190020,Humboldt Township Rural Enclave 2
20003000010,Colony
2000300002A,Garnett Precinct 1
2000300002B,Garnett Precinct 1 Exclave
2000300002C,Garnett Precinct 1 Exclave 2
20003000030,Garnett Precinct 2
20003000040,Garnett Precinct 3
20003000050,Garnett Precinct 4
20003000060,Greeley
20003000080,Indian Creek Township
20003000100,Kincaid
20003000110,Lincoln Township
20003000120,Lone Elm City
20003000130,Lone Elm Township
2000300014A,Monroe Township
20003000160,Ozark Township
20003000170,Putnam Township
20003000180,Reeder Township
20003000190,Rich Township
20003000200,Walker Township
20003000210,Washington Township
20003000220,Welda Township
20003000230,Westphalia City
20003000240,Westphalia Township
20003200010,Jackson Township H5
20003200020,Jackson Township H9
20005000010,Atchison Precinct 1
20005000020,Atchison Precinct 2 East
20005000030,Atchison Precinct 2 West
20005000040,Atchison Precinct 3 East
2000500005A,Atchison Precinct 3 West
2000500006A,Atchison Precinct 4
2000500006B,Atchison Precinct 4 Exclave A
2000500006C,Atchison Precinct 4 Exclave B
2000500007A,Atchison Precinct 5 North
2000500007B,Atchison Precinct 5 North Exclave A
2000500007C,Atchison Precinct 5 North Exclave B
2000500008A,Atchison Precinct 5 South
2000500008B,Atchison Precinct 5 South Exclave A
2000500008D,Atchison Precinct 5 South Exclave C
20005000090,Benton Township
20005000100,Center Township
20005000110,Grasshopper Township
20005000120,Huron Township
20005000130,Kapioma Township
20005000140,Lancaster Township
2000500016A,Shannon Township
2000500017A,Walnut Township
2000500017B,Walnut Township Enclave
20005100050,Mount Pleasant Voting District Township
20005120030,Benton Township H63
20005180010,Atchison Precinct 5 South Exclave B
20005180020,Atchison Precinct 5 South Exclave D
20007000010,Aetna Township
20007000020,Deerhead Township
20007000030,Eagle Township
20007000040,Elm Mills Township
20007000050,Elwood Township
20007000060,Hazelton Township
20007000070,Kiowa East Township
20007000080,Kiowa West Township
20007000090,Lake City Township
20007000100,McAdoo Township
20007000110,Medicine Lodge Precinct 1
2000700012A,Medicine Lodge Precinct 2
2000700012B,Medicine Lodge Precinct 2 Exclave
20007000130,Medicine Lodge Precinct 3
20007000140,Medicine Lodge Precinct 4
20007000150,Medicine Lodge Precinct 5
20007000160,Mingona Township
20007000170,Moore Township
20007000180,Nippawalla Township
20007000190,Ridge Township
20007000200,Sharon Township
20007000210,Sun City Township
20007000220,Turkey Creek Township
20007000230,Valley Township
20009000010,Albion Township
20009000020,Beaver Township
20009000030,Buffalo Township
20009000040,Cheyenne Township
20009000050,Clarence Township
20009000060,Cleveland Township
20009000070,Comanche Township
20009000080,Eureka Township
20009000090,Fairview Township
20009000100,Grant Township
2000900011A,Great Bend City Ward 1 Precinct 1
2000900011B,Great Bend City Ward 1 Precinct 1 Courthouse
20009000120,Great Bend City Ward 1 Precinct 2
20009000130,Great Bend City Ward 1 Precinct 3
20009000140,Great Bend City Ward 2 Precinct 1
20009000150,Great Bend City Ward 2 Precinct 2
20009000160,Great Bend City Ward 2 Precinct 3
20009000170,Great Bend City Ward 3 Precinct 1
20009000180,Great Bend City Ward 3 Precinct 2
2000900019A,Great Bend City Ward 3 Precinct 3
2000900019B,Great Bend City Ward 3 Precinct 3 Exclave
20009000200,Great Bend City Ward 4 Precinct 1
20009000210,Great Bend City Ward 4 Precinct 2
2000900022A,Great Bend City Ward 4 Precinct 3
2000900022B,Great Bend City Ward 4 Precinct 3 Exclave A
2000900022C,Great Bend City Ward 4 Precinct 3 Exclave B
2000900022E,Great Bend City Ward 4 Precinct 3 Exclave D1
2000900022F,Great Bend City Ward 4 Precinct 3 Exclave D2
2000900023A,Great Bend Township Part A
2000900023B,Great Bend Township Part B
2000900023C,Great Bend Township
20009000240,Hoisington Ward 1
20009000250,Hoisington Ward 2
20009000260,Hoisington Ward 3
2000900027A,Hoisington Ward 4
2000900027B,Hoisington Ward 4 Exclave
20009000280,Independent Township
20009000290,Lakin Township
20009000300,Liberty Township
20009000310,Logan Township
20009000320,North Homestead Township
20009000330,Pawnee Rock Township
20009000340,South Bend Township
20009000350,South Homestead Township
20009000360,Union Township
20009000370,Walnut Township Albert
20009000380,Walnut Township Olmitz
20009000390,Wheatland Township
20009900010,Hoisington Landfill
20011000010,Drywood Township
2001100002A,Fort Scott Ward 1
2001100002B,Fort Scott Ward 1 Exclave Colonial
2001100002C,Fort Scott Ward 1 Exclave Halls
2001100002D,Fort Scott Ward 1 Exclave Red Barn
2001100002E,Fort Scott Ward 1 Exclave Red Ram A
2001100002F,Fort Scott Ward 1 Exclave Red Ram B
2001100002G,Fort Scott Ward 1 Exclave Red Ram C
2001100002H,Fort Scott Ward 1 Exclave Red Barn 2
2001100003A,Fort Scott Ward 2
20011000040,Fort Scott Ward 3
2001100005A,Fort Scott Ward 4
2001100005B,Fort Scott Ward 4 Exclave A
2001100005C,Fort Scott Ward 4 Exclave B
2001100005D,Fort Scott Ward 4 Exclave C
20011000060,Fort Scott Ward 5
20011000070,Fort Scott Ward 6
20011000080,Fort Scott Ward 7
20011000090,Franklin Township
20011000100,Freedom Township
20011000110,Marion Township
20011000120,Marmaton Township
20011000130,Mill Creek Township
20011000140,North Scott Township
20011000150,Osage Township
20011000160,Pawnee Township
20011000170,South Scott Township
20011000180,Timberhill Township
20011000190,Walnut Township
20011900020,Fort Scott Ward 4 Exclave C
20011900030,Fort Scott Ward 4 Exclave D
20013000010,Hamlin Township
20013000020,Hiawatha City Ward 1
20013000030,Hiawatha City Ward 2
2001300004A,Hiawatha City Ward 3
2001300004B,Hiawatha City Ward 3 Exclave
2001300005A,Hiawatha City Ward 4
2001300005B,Hiawatha City Ward 4 Exclave Club
20013000060,Hiawatha Township
20013000070,Horton Ward 1
20013000080,Horton Ward 2
2001300009A,Horton Ward 3
2001300009B,Horton Ward Exclave A
2001300009C,Horton Ward 3 Exclave B
20013000100,Irving Township
20013000110,Mission Township
20013000120,Morrill Township
2001300012A,Morril Township Enclave
20013000130,Padonia Township
20013000140,Powhattan Township
20013000150,Reserve Township
20013000160,Robinson Township
2001300017A,Sabetha Ward 1 Part A
2001300017B,Sabetha Ward 1 Part B
