
GEOID,NAME
2100100A102,WHITE OAK
2100100A104,EUNICE PELLYTON
2100100A105,LITTLE CAKE
2100100B102,E. COLUMBIA
2100100B104,OZARK
2100100C102,SOUTH COLUMBIA HARMONY
2100100C104,GLENSFORK MELSON RIDGE
2100100D101,GRADYVILLE NELL
2100100D103,SPARKSVILLE BREEDING
2100100D104,SOUTH COLUMBIA NO. 2
2100100E101,MILLTOWN
2100100E104,WEST COLUMBIA
2100100F101,CANE VALLEY HOLMES
2100100F103,KNIFLEY ROLEY
2100100G101,NORTH COLUMBIA
2100100G102,HURT
2100300A101,ONE
2100300A102,FOUR
2100300B101,TWO
2100300B102,FIVE
2100300B103,NINE
2100300C101,THREE
2100300C102,SIX
2100300D101,SEVEN
2100300D102,EIGHT
2100300D103,THIRTEEN
2100300E101,TEN
2100300E102,ELEVEN
2100300E103,TWELVE
2100500A101,EAST LAWRENCEBURG
2100500A102,DUNCAN
2100500B101,WEST LAWRENCEBURG
2100500B102,WEST DUNCAN
2100500C101,LILLARD
2100500C102,WITHERSPOON
2100500D101,MCBRAYER
2100500D102,SOUTH LILLARD
2100500E101,ALTON
2100500E103,WEST ALTON
2100500F101,HICKORY GROVE
2100500F102,WESTERN
2100500F103,RUTHERFORD
2100500F104,BIRDIE
2100700A101,BANDANA
2100700A102,KEVIL
2100700A103,INGLESIDE
2100700B101,LA CENTER
2100700B102,OSCAR
2100700C101,HINKLEVILLE
2100700C102,GAGE
2100700C103,LOVELACEVILLE
2100700C104,BLANDVILLE
2100700D101,BARLOW
2100700D102,SLATER
2100700E101,N. WICKLIFFE
2100700E102,S. WICKLIFFE
2100900A101,GLASGOW #1
2100900A102,GLASGOW #2
2100900A103,GLASGOW #3
2100900A104,FOX HOLLOW
2100900B101,HAYWOOD WEST
2100900B102,HAYWOOD EAST
2100900B103,THOMERSON PARK
2100900B104,AUSTIN
2100900C101,EASTERN
2100900C102,GREEN VALLEY
2100900C103,EIGHTY EIGHT
2100900C104,TEMPLE HILL
2100900D101,HISEVILLE-GOODNIGHT
2100900D102,GLASGOW MIDDLE SCHOOL
2100900D103,GLASGOW HIGH SCHOOL
2100900E101,EXTENSION SERVICE EAST
2100900E102,EXTENSION SERVICE WEST
2100900E103,BECKTON
2100900E104,RED CROSS
2100900F101,CAVE CITY NORTH
2100900F102,CAVE CITY SOUTH
2100900F103,PARK CITY
2100900G101,GLASGOW #4
2100900G102,GLASGOW #5
2100900G103,GLASGOW #6
2101100A101,SHARPSBURG NO. 1
2101100A102,SHARPSBURG NO. 2
2101100A103,BETHEL
2101100A104,SOUTH SHERBURNE
2101100A105,OWINGSVILLE NO. 1
2101100B102,OWINGSVILLE NO. 2
2101100B103,OWINGSVILLE NO. 3
2101100B104,PRESTON
2101100C101,SALT LICK NO. 1
2101100C102,SALT LICK NO. 2
2101100C103,WHITE SULPHUR
2101100C104,OLYMPIA
2101300A101,PAGE
2101300A102,BLACKMONT
2101300A103,BROWNIES CREEK
2101300A104,HUTCH
2101300A105,MELDRUM
2101300B101,PINEVILLE EAST
2101300B102,PINEVILLE CENTRAL
2101300B103,PINEVILLE WEST
2101300B104,ARJAY
2101300B105,DORTON BRANCH
2101300B106,BEVERLY
2101300B107,RIGHT FORK
2101300B108,STRAIGHT CREEK
2101300C101,BINGHAMTOWN
2101300C102,DORCHESTER
2101300C103,NOETOWN
2101300C104,JUNCTION
2101300C105,EDGEWOOD
2101300D101,CITY HALL
2101300D102,EAST END
2101300D103,WINCHESTER
2101300D104,SOUTHSIDE
2101300D105,WEST CENTRAL
2101300D106,EXETER
2101300E101,LAUREL A
2101300E102,LAUREL B
2101300E103,LONE JACK
2101300E104,GREASY CREEK
2101300E105,CLEAR CREEK
2101300E106,SUTTY
2101500A102,BELLEVIEW
2101500A103,BULLITTSVILLE
2101500A104,BURLINGTON #1
2101500A105,BURLINGTON #2
2101500A106,CARLTON
2101500A107,CONSTANCE
2101500A108,HEBRON #1
2101500A109,HEBRON #2
2101500A110,PETERSBURG
2101500A111,BURLINGTON #3
2101500A112,BURLINGTON #4
2101500A113,BURLINGTON #5
2101500A114,HEBRON #3
2101500A115,BURLINGTON #6
2101500A116,BURLINGTON #7
2101500A117,HEBRON #4
2101500A118,HAMILTON
2101500A119,LIMABURG
2101500A120,BURLINGTON #8
2101500A121,HEBRON #5
2101500A122,BURLINGTON #9
2101500A123,CAMP ERNST
2101500B114,BEAVER
2101500B115,GLENVIEW
2101500B116,GREENVIEW
2101500B117,HOPEFUL
2101500B118,LINKVIEW
2101500B119,OAKBROOK
2101500B120,PLEASANT VALLEY
2101500B121,RICHWOOD
2101500B122,UNION #1
2101500B123,UNION #2
2101500B124,UNION #3
2101500B125,UNION #4
2101500B126,VERONA
2101500B127,WALTON #1
2101500B128,WALTON #2
2101500B129,UNION #5
2101500B130,UNION #6
2101500B131,SUMMITVIEW
2101500B132,HEARTHSTONE
2101500B133,FLORENCE #15
2101500B134,KENSINGTON
2101500B135,UNION #7
2101500C102,DEVON #1
2101500C110,DEVON #2
2101500C117,DEVON #3
2101500C121,SHAMROCK
2101500C123,AIRPORT
2101500C124,FLORENCE #1
2101500C125,FLORENCE #2
2101500C126,FLORENCE #3
2101500C127,FLORENCE #4
2101500C128,FLORENCE #5
2101500C129,FLORENCE #6
2101500C130,FLORENCE #7
2101500C131,FLORENCE #8
2101500C132,FLORENCE #9
2101500C133,FLORENCE #10
2101500C134,FLORENCE #11
2101500C135,FLORENCE #12
2101500C136,FLORENCE #13
2101500C137,FLORENCE #14
2101700B101,MILLERSBURG #1
2101700B103,PARIS #4
2101700C101,FLAT ROCK
2101700C102,PARIS #1
2101700C103,PARIS 2
2101700D101,NORTH MIDDLETOWN
2101700D103,PARIS 3
2101700E101,CLINTONVILLE
2101700E103,PARIS 6
2101700F101,HUTCHISON 1
2101700F102,HUTCHISON 2
2101700F103,HUTCHISON 3
2101700G101,CENTERVILLE
2101700G102,PARIS #5
2101700H101,RUDDLES MILLS
2101700H102,PARIS #7
2101900A101,CATLETTSBURG
2101900A105,RUSH
2101900A106,ASHLAND OIL
2101900A107,ENGLAND HILL
2101900A108,DURBIN
2101900A109,EAST FORK
2101900A110,ELMWOOD-HILL TOP
2101900A111,GARTRELL
2101900A113,GARTIN
2101900A114,CARP
2101900A115,SOUTH ASHLAND
2101900A116,RATCLIFF
2101900A118,FANNIN 1
2101900A119,FANNIN 2
2101900A121,CANNONSBURG
2101900A122,MARSH RUN
2101900B101,CENTRAL
2101900B102,POLLARD
2101900B103,LEWIS
2101900B105,DEBORD-TANNERY
2101900B106,BARBER
2101900B107,VINCENT
2101900B108,MT ADAMS
2101900B109,PRICHARD
2101900B110,FOREST HILLS
2101900B114,BEECH
2101900B115,GRAYSON-SPRINGHILL
2101900B116,AVONDALE
2101900B117,HILLENDALE
2101900B118,RICE # 1
2101900B119,RICE # 2
2101900B121,POAGE
2101900C102,PRINCESS
2101900C103,KYOVA
2101900C104,HOODS CREEK
2101900C105,FAIRVIEW
2101900C106,BUCKLEY
2101900C107,WESTWOOD
2101900C108,MILLSEAT
2101900C109,MOORE
2101900C110,PYRAMID
2101900C111,WILLOW
2101900C112,SANDY CREEK
2101900C113,GREEN HILL
2101900C114,MEADS 1
2101900C115,ROCKDALE-SUMMITT
2101900C116,WINSLOW-IRONVILLE
2101900C117,MEADS 2
2102100A101,WEST PERRYVILLE
2102100A102,EAST PERRYVILLE
2102100A103,MITCHELLSBURG
2102100A104,PARKSVILLE
2102100A105,BLUEGRASS
2102100B101,EAST PARKSVILLE
2102100B102,WEST JUNCTION CITY
2102100B103,JUNCTION CITY
2102100B104,EAST JUNCTION CITY
2102100C101,R. E. C. C.
2102100C102,NAZARENE CHURCH
2102100C103,PERRYVILLE ROAD
2102100C104,CLARKS RUN
2102100D101,INDIAN HILLS CHRISTIAN
2102100D102,LEXINGTON RD
2102100D103,LANCASTER ROAD
2102100E101,DANVILLE HIGH SCHOOL
2102100E102,ST PETER AND PAUL CATHOLIC CHURCH
2102100E103,COURT HOUSE
2102100E104,CENTRE COLLEGE
2102100F101,LEX AVE BAPTIST CHURCH
2102100F102,STREAMLAND
2102100F103,BOYLE CO HIGH SCHOOL
2102100F104,MILLENNIUM PARK
2102100F105,SHAKERTOWN
2102300A101,FOSTER
2102300B101,AUGUSTA W
2102300C101,AUGUSTA E
2102300D101,BERLIN
2102300E101,CHATHAM
2102300F101,BROOKSVILLE
2102300G101,MILFORD
2102300H101,GERMANTOWN
2102500A101,COURTHOUSE
2102500A102,VANCLEVE
2102500A103,WAR CREEK
2102500A104,CITY #2
2102500A105,BLANTON BRIDGE
2102500B101,OAKDALE
2102500B102,BIG ROCK
2102500B103,SHOULDERBLADE
2102500B104,TURNERS CREEK
2102500B105,WOLFCOAL
2102500C101,LOST CREEK
2102500C102,CANEY SCHOOL
2102500C103,QUICKSAND
2102500C104,WHICK
2102500C105,HAYS BRANCH
2102500D101,ARMORY
2102500D102,CITY SCHOOL
2102500D103,STATE GARAGE
2102500D104,HUNTING CREEK
2102500D105,SPRING FORK
2102500D106,CITY #1
2102700A101,HARDINSBURG #1
2102700A102,HARDINSBURG #2
2102700B101,CLOVERPORT #1
2102700B102,CLOVERPORT #2
2102700B103,MCQUADY
2102700C101,UNION STAR
2102700C102,GARFIELD
2102700D101,IRVINGTON #1
2102700D102,IRVINGTON #2
2102700D103,BEWLEYVILLE
2102700E101,HUDSON
2102700E102,CUSTER
2102700E103,HARNED
2102700F101,MCDANIELS
2102700F102,GLEN DEAN
