GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
25001001530,3664,3489,3027,153,205,64,41,2,462,13938,1768,12008,162
25001001964,3566,3172,2933,58,59,40,42,3,239,13257,3463,9499,295
25001ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0
25001001877,2454,2206,2012,48,81,19,23,3,194,9360,2466,6704,190
25001000695,5752,5100,4692,87,159,47,58,3,408,21601,7945,13207,449
25001001454,6307,5666,5306,92,91,37,66,5,360,26294,10382,15362,550
25001000566,6594,5984,5586,132,150,29,64,2,398,26828,12173,14001,654
25001000454,3417,2980,2853,25,30,14,39,3,127,13394,5272,7808,314
25001000455,3472,2983,2729,85,65,26,42,2,254,13044,5060,7670,314
25001000456,3429,2923,2652,81,65,29,54,5,271,12777,5341,7125,311
25001000884,3435,2861,2461,87,128,40,36,1,400,11307,4794,6205,308
25001000881,3492,3085,2792,65,120,24,18,1,293,12972,5733,6945,294
25001000883,3323,2820,2591,62,61,20,28,0,229,12688,5752,6650,286
25001000882,3190,2818,2572,57,82,35,24,4,246,12659,5687,6717,255
25001000656,2748,2490,2322,38,39,12,30,0,168,11763,5742,5813,208
25001000657,2753,2509,2342,40,45,14,26,1,167,11859,5577,6058,224
25001000660,2851,2451,2204,47,98,24,21,6,247,10319,4514,5577,228
25001000659,3061,2757,2472,54,113,27,39,2,285,11044,5069,5703,272
25001000658,3261,2847,2309,120,259,60,38,4,538,9485,4119,5127,239
25001002151,3559,3190,2932,66,68,40,34,0,258,14588,7018,7271,299
25001002145,3571,2984,2674,65,86,29,66,2,310,12915,5713,6949,253
25001002146,3639,3242,2833,56,179,31,45,0,409,12714,5857,6594,263
25001002148,3720,3124,2564,113,171,29,88,2,560,11218,5288,5647,283
25001002147,3493,2965,2382,126,162,34,58,5,583,9376,4073,5100,203
25001002149,3524,2892,2337,130,140,39,53,4,555,10131,4862,5034,235
25001002150,3517,3048,2327,280,138,33,68,12,721,10080,4630,5214,236
25001000107,4081,3425,2973,92,113,63,56,5,452,14348,6502,7564,282
25001000109,3704,3059,2842,47,37,43,21,4,217,13573,6896,6388,289
25001000111,3917,3274,2230,173,238,57,73,15,1044,8724,3729,4808,187
25001000113,3774,3077,1940,228,320,53,87,5,1137,9235,3936,5102,197
25001000118,3986,3195,1873,262,403,68,142,9,1322,8465,3448,4796,221
25001000112,3946,3295,2683,120,153,52,86,5,612,12477,6131,6075,271
25001000114,3477,3047,2645,83,91,40,56,3,402,11565,5498,5814,253
25001000119,4137,3304,1656,423,548,101,77,11,1648,5600,2126,3325,149
25001000115,3409,3038,2764,63,52,20,49,3,274,13244,7130,5892,222
25001000116,3731,3044,2550,79,122,41,49,8,494,12570,6255,6039,276
25001000108,3503,2915,2567,73,89,40,46,4,348,11390,5785,5320,285
25001000110,3555,2984,2658,71,86,54,47,5,326,12917,6474,6153,290
25001000117,3696,3173,2863,82,77,46,45,0,310,14152,6632,7227,293
25001001643,3530,3107,2937,57,24,35,33,1,170,13688,6280,7104,304
25001001644,3226,2714,2577,39,14,15,34,4,137,13207,6349,6608,250
25001001645,3266,2580,2401,48,28,24,40,2,179,11710,5864,5588,258
25001001646,3483,2829,2575,70,39,36,73,5,254,12199,6322,5618,259
25001001647,3276,2647,2428,73,43,23,45,3,219,11235,5750,5202,283
25001001648,3478,2653,2359,54,51,44,93,2,294,11017,6106,4670,241
25001000430,3024,2484,2237,38,52,46,48,7,247,8999,4936,3859,204
25001000432,3367,3056,2775,87,66,29,52,8,281,6047,3387,2504,156
25001000431,3139,2617,2439,37,41,21,45,3,178,10801,5919,4609,273
25001000436,2869,2409,2178,20,50,25,87,1,231,9122,4707,4201,214
25001000433,2839,2491,2318,36,32,40,32,3,173,10607,5333,5036,238
25001000434,2649,2332,2173,34,45,27,27,2,159,9893,4808,4861,224
25001000435,2565,2141,1836,90,108,39,46,6,305,7055,3340,3561,154
25001001167,3293,2913,2561,85,113,106,28,2,352,12234,5508,6520,206
25001000760,3646,3143,2946,44,35,23,56,4,197,14339,6078,7892,369
25001000761,3719,3138,2721,68,109,59,76,3,417,13223,5323,7628,272
25001000763,3637,2972,2674,50,83,51,55,1,298,12393,5739,6344,310
25001000764,3680,2999,2594,71,102,42,73,3,405,11408,5093,6065,250
25001000762,3460,2955,2602,53,109,66,28,3,353,12215,5741,6222,252
25001000759,3690,3164,2735,80,136,52,54,4,429,12906,5819,6806,281
25001000758,3461,3008,2616,56,107,60,50,2,392,12064,5268,6564,232
25001000757,3681,3330,2904,46,145,58,65,3,426,12550,4623,7673,254
