GEOID,NAME
25001000107,Barnstable Town Precinct 1
25001000108,Barnstable Town Precinct 10
25001000109,Barnstable Town Precinct 11
25001000110,Barnstable Town Precinct 12
25001000111,Barnstable Town Precinct 13
25001000112,Barnstable Town Precinct 2
25001000113,Barnstable Town Precinct 3
25001000114,Barnstable Town Precinct 4
25001000115,Barnstable Town Precinct 5
25001000116,Barnstable Town Precinct 6
25001000117,Barnstable Town Precinct 7
25001000118,Barnstable Town Precinct 8
25001000119,Barnstable Town Precinct 9
25001000430,Bourne Town Precinct 1
25001000431,Bourne Town Precinct 2
25001000432,Bourne Town Precinct 3
25001000433,Bourne Town Precinct 4
25001000434,Bourne Town Precinct 5
25001000435,Bourne Town Precinct 6
25001000436,Bourne Town Precinct 7
25001000454,Brewster Town Precinct 1
25001000455,Brewster Town Precinct 2
25001000456,Brewster Town Precinct 3
25001000566,Chatham Town Precinct 1
25001000656,Dennis Town Precinct 1
25001000657,Dennis Town Precinct 2
25001000658,Dennis Town Precinct 3
25001000659,Dennis Town Precinct 4
25001000660,Dennis Town Precinct 5
25001000695,Eastham Town Precinct 1
25001000756,Falmouth Town Precinct 1
25001000757,Falmouth Town Precinct 2
25001000758,Falmouth Town Precinct 3
25001000759,Falmouth Town Precinct 4
25001000760,Falmouth Town Precinct 5
25001000761,Falmouth Town Precinct 6
25001000762,Falmouth Town Precinct 7
25001000763,Falmouth Town Precinct 8
25001000764,Falmouth Town Precinct 9
25001000881,Harwich Town Precinct 1
25001000882,Harwich Town Precinct 2
25001000883,Harwich Town Precinct 3
25001000884,Harwich Town Precinct 4
25001001167,Mashpee Town Precinct 1
25001001168,Mashpee Town Precinct 2
25001001169,Mashpee Town Precinct 3
25001001170,Mashpee Town Precinct 4
25001001171,Mashpee Town Precinct 5
25001001454,Orleans Town Precinct 1
25001001530,Provincetown Town Precinct 1
25001001643,Sandwich Town Precinct 1
25001001644,Sandwich Town Precinct 2
25001001645,Sandwich Town Precinct 3
25001001646,Sandwich Town Precinct 4
25001001647,Sandwich Town Precinct 5
25001001648,Sandwich Town Precinct 6
25001001877,Truro Town Precinct 1
25001001964,Wellfleet Town Precinct 1
25001002145,Yarmouth Town Precinct 1
25001002146,Yarmouth Town Precinct 2
25001002147,Yarmouth Town Precinct 3
25001002148,Yarmouth Town Precinct 4
25001002149,Yarmouth Town Precinct 5
25001002150,Yarmouth Town Precinct 6
