
GEOID,NAME
2400101-000,Allegany Precinct 01-000
2400102-000,Allegany Precinct 02-000
2400103-000,Allegany Precinct 03-000
2400104-002,Allegany Precinct 04-002
2400104-003,Allegany Precinct 04-003
2400104-004,Allegany Precinct 04-004
2400104-005,Allegany Precinct 04-005
2400104-008,Allegany Precinct 04-008
2400105-004,Allegany Precinct 05-004
2400105-006,Allegany Precinct 05-006
2400106-001,Allegany Precinct 06-001
2400106-003,Allegany Precinct 06-003
2400106-005,Allegany Precinct 06-005
2400106-006,Allegany Precinct 06-006
2400106-099,Allegany Precinct 06-099
2400107-001,Allegany Precinct 07-001
2400107-002,Allegany Precinct 07-002
2400108-000,Allegany Precinct 08-000
2400109-000,Allegany Precinct 09-000
2400110-000,Allegany Precinct 10-000
2400111-000,Allegany Precinct 11-000
2400112-000,Allegany Precinct 12-000
2400113-000,Allegany Precinct 13-000
2400114-000,Allegany Precinct 14-000
2400116-000,Allegany Precinct 16-000
2400118-000,Allegany Precinct 18-000
2400120-000,Allegany Precinct 20-000
2400121-000,Allegany Precinct 21-000
2400122-001,Allegany Precinct 22-001
2400122-002,Allegany Precinct 22-002
2400123-000,Allegany Precinct 23-000
2400124-000,Allegany Precinct 24-000
2400126-000,Allegany Precinct 26-000
2400129-001,Allegany Precinct 29-001
2400129-002,Allegany Precinct 29-002
2400129-003,Allegany Precinct 29-003
2400131-000,Allegany Precinct 31-000
2400134-000,Allegany Precinct 34-000
2400301-001,ANNE ARUNDEL PRECINCT 01-001
2400301-002,ANNE ARUNDEL PRECINCT 01-002
2400301-003,ANNE ARUNDEL PRECINCT 01-003
2400301-004,ANNE ARUNDEL PRECINCT 01-004
2400301-005,ANNE ARUNDEL PRECINCT 01-005
2400301-006,ANNE ARUNDEL PRECINCT 01-006
2400301-007,ANNE ARUNDEL PRECINCT 01-007
2400301-008,ANNE ARUNDEL PRECINCT 01-008
2400301-009,ANNE ARUNDEL PRECINCT 01-009
2400301-010,ANNE ARUNDEL PRECINCT 01-010
2400301-011,ANNE ARUNDEL PRECINCT 01-011
2400301-012,ANNE ARUNDEL PRECINCT 01-012
2400301-013,ANNE ARUNDEL PRECINCT 01-013
2400301-014,ANNE ARUNDEL PRECINCT 01-014
2400301-015,ANNE ARUNDEL PRECINCT 01-015
2400301-016,ANNE ARUNDEL PRECINCT 01-016
2400301-017,ANNE ARUNDEL PRECINCT 01-017
2400301-018,ANNE ARUNDEL PRECINCT 01-018
2400301-019,ANNE ARUNDEL PRECINCT 01-019
2400301-020,ANNE ARUNDEL PRECINCT 01-020
2400301-021,ANNE ARUNDEL PRECINCT 01-021
2400301-022,ANNE ARUNDEL PRECINCT 01-022
2400301-023,ANNE ARUNDEL PRECINCT 01-023
2400301-024,ANNE ARUNDEL PRECINCT 01-024
2400301-025,ANNE ARUNDEL PRECINCT 01-025
2400301-026,ANNE ARUNDEL PRECINCT 01-026
2400301-099,ANNE ARUNDEL PRECINCT 01-099
2400302-001,ANNE ARUNDEL PRECINCT 02-001
2400302-002,ANNE ARUNDEL PRECINCT 02-002
2400302-003,ANNE ARUNDEL PRECINCT 02-003
2400302-004,ANNE ARUNDEL PRECINCT 02-004
2400302-005,ANNE ARUNDEL PRECINCT 02-005
2400302-006,ANNE ARUNDEL PRECINCT 02-006
2400302-007,ANNE ARUNDEL PRECINCT 02-007
2400302-008,ANNE ARUNDEL PRECINCT 02-008
2400302-009,ANNE ARUNDEL PRECINCT 02-009
2400302-010,ANNE ARUNDEL PRECINCT 02-010
2400302-011,ANNE ARUNDEL PRECINCT 02-011
2400302-012,ANNE ARUNDEL PRECINCT 02-012
2400302-013,ANNE ARUNDEL PRECINCT 02-013
2400302-014,ANNE ARUNDEL PRECINCT 02-014
2400302-015,ANNE ARUNDEL PRECINCT 02-015
