GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
27001000240,48,36,32,0,0,2,2,1,4,148,112,27,9
27001000015,272,237,231,2,0,2,0,0,6,986,517,426,43
27001000035,45,38,31,1,0,0,0,1,7,145,63,75,7
27001000200,40,36,32,3,0,0,0,0,4,161,106,50,5
27001000100,20,20,20,0,0,0,0,0,0,93,66,27,0
27001000195,137,122,107,2,0,14,1,0,15,616,343,249,24
27001000105,23,23,21,0,0,1,1,1,2,114,42,56,16
27001000260,124,115,110,0,0,2,1,0,5,490,263,215,12
27001000230,212,174,167,0,2,3,0,0,7,726,484,210,32
27001000110,185,152,149,0,1,0,0,0,3,711,407,269,35
27001000175,1216,1039,963,9,0,59,1,0,76,4383,2363,1833,187
27001000020,32,25,22,0,1,0,0,0,3,127,60,65,2
27001000055,153,138,134,3,0,0,1,0,4,608,314,263,31
27001000125,96,87,86,0,0,1,0,0,1,303,219,69,15
27001000080,334,268,255,2,0,10,0,0,13,1065,690,342,33
27001000045,329,294,279,2,0,3,4,0,15,1319,799,456,64
27001000140,180,145,136,1,0,5,1,1,9,511,320,159,32
27001000210,312,271,267,1,0,2,0,0,4,1115,651,417,47
27001000120,384,289,265,3,7,10,0,0,24,829,403,366,60
27001000185,522,407,394,1,1,4,1,0,13,1871,1120,668,83
27001000085,188,163,152,2,1,3,0,1,11,739,410,288,41
27001000038,42,34,31,0,0,3,0,0,3,149,76,68,5
27001000010,910,698,656,15,3,9,7,0,42,3098,1940,1030,128
27001000050,432,370,355,1,6,5,2,0,15,1792,979,738,75
27001000290,93,63,61,0,0,1,0,0,2,263,166,70,27
27001000070,435,337,321,0,0,11,0,0,16,1348,748,555,45
27001000065,613,488,457,1,5,21,1,0,31,1572,858,629,85
27001000130,170,139,132,4,0,3,0,0,7,526,279,214,33
27001000285,71,57,53,0,0,4,0,0,4,216,116,95,5
27001000150,162,133,120,0,0,13,0,0,13,453,249,180,24
27001000255,27,26,26,0,0,0,0,0,0,121,67,52,2
27001000005,2168,1754,1647,18,13,55,12,1,107,5627,2888,2396,343
27001000040,995,879,852,7,2,6,3,1,27,4188,2381,1693,114
27001000030,116,95,94,0,0,0,0,0,1,447,222,209,16
27001000190,62,55,42,3,4,1,0,0,13,151,73,68,10
27001000180,320,195,94,14,0,95,0,0,101,587,251,281,55
27001000165,85,68,66,0,0,0,0,0,2,338,170,153,15
27001000095,38,35,34,1,0,0,0,0,1,194,154,28,12
27001000160,120,100,100,0,0,0,0,0,0,461,274,159,28
27001000025,62,55,52,0,0,1,0,0,3,217,86,122,9
27001000220,38,27,26,0,1,0,0,0,1,137,90,40,7
27001000132,60,47,44,0,1,0,0,0,3,176,84,80,12
27001000155,116,97,96,0,0,0,1,1,1,288,215,61,12
27001000205,335,273,261,3,0,2,1,1,12,1106,681,386,39
27001000225,120,112,106,0,3,0,1,1,6,425,292,119,14
27001000082,45,41,35,0,2,3,0,0,6,133,80,38,15
27001000170,64,58,54,0,2,1,0,0,4,247,170,62,15
27001000090,504,445,422,5,2,14,1,0,23,1764,1057,627,80
27001000115,41,40,38,0,0,1,0,0,2,146,106,28,12
27001000075,222,176,172,2,0,1,1,0,4,651,423,206,22
27001000135,353,305,286,0,4,3,3,0,19,1286,737,478,71
27001000145,983,826,800,5,1,9,4,0,26,3986,2320,1522,144
27001000060,792,695,662,5,2,15,0,0,33,3109,1803,1183,123
27001000215,251,232,219,3,1,5,2,0,13,1195,668,482,45
27003003005,4402,3206,2906,54,40,94,65,1,300,11187,6950,3375,862
27003003010,3740,2652,2390,71,48,51,55,0,262,9640,6148,2888,604
27003000205,476,367,342,4,3,8,6,0,25,1355,895,356,104
27003001505,4326,3296,2985,63,32,70,102,12,311,12403,7873,3725,805
27003001515,3588,2793,2566,42,20,52,83,2,227,11555,7149,3720,686
27003001510,3872,3077,2807,63,34,65,67,1,270,12313,7594,3994,725
27003002510,2271,1758,1607,22,24,24,67,0,151,7965,5304,2279,382
27003002520,1471,1197,1094,20,10,33,16,0,103,5167,3270,1621,276
27003002505,2721,2050,1878,37,22,24,60,1,172,8956,5573,2971,412
27003002515,2466,1858,1683,28,8,26,92,2,175,7932,5285,2242,405
27003002405,2892,2182,2054,26,15,54,25,4,128,10015,6763,2730,522
27003002410,1644,1246,1148,31,9,11,22,0,98,5555,3816,1519,220
27003000015,3585,2756,2415,66,114,36,106,2,341,12046,6546,4784,716
27003000045,3146,2239,2019,51,45,28,76,2,220,10628,5705,4403,520
27003000050,3625,2800,2362,71,134,44,151,2,438,12010,6188,5203,619
27003000905,4159,3344,3050,28,17,52,147,3,294,14780,8667,5325,788
27003001910,2929,2389,2140,55,17,51,110,4,249,10419,6275,3662,482
27003001930,2746,1988,1730,46,28,26,119,2,258,9079,5569,3078,432
27003001920,3071,2274,2031,66,27,36,95,2,243,9852,6260,3113,479
27003001925,2135,1583,1464,18,13,18,50,0,119,7527,4724,2527,276
27003001905,2484,1871,1670,53,16,34,74,0,201,7367,4298,2577,492
27003000030,3070,2219,2010,45,33,20,77,0,209,9730,6028,3210,492
27003000025,3833,2804,2579,41,47,36,54,3,225,12918,7119,5230,569
27003000005,3221,2481,2261,37,31,53,71,2,220,11470,7080,3866,524
27003000010,2946,2302,2087,28,48,38,66,1,215,10362,5706,4044,612
27003000020,3094,2330,2002,73,104,55,77,2,328,9431,4774,4041,616
27003002705,2252,1731,1621,26,13,15,45,1,110,7787,4918,2504,365
27003002805,5529,4049,3178,110,494,86,138,8,871,14405,7350,6109,946
27003002710,4755,3464,3066,59,116,62,119,4,398,14397,8346,5243,808
27003002910,3159,2421,2057,60,141,38,96,5,364,9838,5288,3964,586
27003002810,2373,1766,1398,154,101,36,71,2,368,5667,3011,2289,367
27003002905,3303,2390,2027,54,137,51,104,2,363,9687,4758,4322,607
27003002215,2323,1808,1648,26,28,26,48,4,160,8367,4084,3813,470
27003002210,4619,3707,2823,126,441,161,137,28,884,10830,5367,4848,615
27003002230,3641,2584,2349,36,27,15,150,10,235,12213,6542,5113,558
27003002220,3877,2889,2496,62,144,35,130,3,393,12909,6302,6058,549
27003002205,1958,1555,1396,25,8,33,65,0,159,6868,3562,2879,427
27003000605,3896,2929,2646,75,27,43,99,0,283,13271,6896,5631,744
27003001915,3099,2351,2164,43,19,47,71,3,187,10237,6473,3223,541
27003002235,3190,2413,2229,34,24,26,92,0,184,12118,5965,5574,579
27003002225,1791,1418,1317,30,15,15,32,3,101,6608,3150,3159,299
27003000040,3056,2238,1943,58,101,21,103,4,295,9847,5551,3810,486
27003000035,3025,2017,1794,42,81,27,62,1,223,8947,4964,3501,482
27003002605,4786,3558,3077,101,153,78,130,1,481,15199,8093,6140,966
27003002610,1489,1047,936,16,38,20,28,3,111,4665,2739,1691,235
27003000115,2482,1894,1494,72,165,46,98,3,400,6734,3228,3037,469
27003000105,1762,1421,1229,38,75,43,33,0,192,4753,1961,2375,417
27003000110,2353,1924,1616,56,158,44,59,3,308,6357,2778,3142,437
27003000125,1967,1560,1335,56,69,62,41,1,225,5784,2620,2642,522
27003000120,1997,1645,1383,79,99,31,35,1,262,6307,2654,3190,463
27003000130,3094,2495,2029,108,201,73,75,3,466,7052,3071,3467,514
27003000135,2411,1759,1326,104,209,35,85,3,433,6225,2935,2786,504
27003000140,1855,1447,1262,38,65,27,44,1,185,5923,2743,2723,457
27003001020,2505,1841,1362,87,218,49,124,1,479,6052,2616,2943,493
27003001015,2928,2209,1813,89,120,48,110,0,396,9607,4657,4331,619
27003001125,3048,2446,1871,75,312,71,108,10,575,7326,2952,3809,565
27003001315,2834,2275,1867,38,181,41,146,4,408,8445,3537,4381,527
27003001320,3663,2800,2246,92,177,72,192,0,554,11327,5158,5336,833
27003001215,3165,2434,1873,86,287,67,119,2,561,7908,3191,4144,573
27003001205,3000,2296,1787,100,213,66,114,4,509,8103,3532,3994,577
27003001210,3015,2340,1715,105,268,41,181,6,625,8224,3582,4039,603
27003001220,3418,2562,1791,198,371,66,144,4,771,7854,3067,4163,624
27003001005,3912,3172,2590,125,209,68,168,4,582,13182,6134,6394,654
27003001310,3255,2507,1984,48,264,52,134,6,523,8934,3949,4371,614
27003001305,2873,2227,1727,90,181,48,165,1,500,9011,4001,4455,555
27003001410,3207,2506,1995,105,209,66,131,1,511,9598,4278,4667,653
27003001115,3106,2351,1835,81,213,39,177,5,516,9960,4355,5007,598
27003001120,2154,1671,1393,62,104,35,62,1,278,6268,2810,2969,489
27003001405,2828,2203,1830,74,140,59,95,0,373,8402,3743,3978,681
27003001415,2227,1615,1151,56,227,52,114,1,464,5655,2241,2970,444
27003001420,1913,1384,905,74,305,19,77,0,479,4253,1548,2363,342
27003001010,3369,2635,2118,82,184,44,205,4,517,11422,5352,5449,621
27003001105,2943,2186,1675,61,240,16,173,1,511,9662,4286,4921,455
27003001425,2213,1812,1471,74,110,36,123,4,341,7749,3187,4097,465
27003001110,2023,1531,1236,56,114,40,98,0,295,6580,3077,3104,399
27003000505,3417,2500,1753,289,148,79,221,2,747,8019,3355,4006,658
27003000420,2509,1904,1414,83,165,43,205,2,490,7133,2814,3846,473
27003000405,2319,1820,1456,99,117,52,101,3,364,6739,2823,3389,527
27003000310,3228,2512,1822,232,181,58,215,2,690,8708,3370,4758,580
27003000305,2375,1918,1446,115,186,60,127,2,472,7278,2932,3928,418
27003000320,1681,1279,1071,70,64,29,43,2,208,4887,2247,2286,354
27003000315,2127,1694,1389,71,83,39,92,0,305,6513,2794,3225,494
27003000330,1951,1482,1201,31,68,28,146,2,281,6526,3166,2996,364
27003000325,4230,3034,2090,309,149,98,407,7,944,10534,4809,5020,705
27003000540,2658,1608,1258,32,101,21,175,1,350,6722,3272,3181,269
27003000340,2160,1640,1402,30,62,36,97,1,238,6571,3040,3063,468
27003000535,4867,3670,2923,78,254,50,311,11,747,14236,6239,7248,749
27003000530,6021,3950,3130,84,280,52,394,3,820,16606,7670,8170,766
27003000440,4617,3081,2476,81,119,31,368,0,605,14427,7348,6505,574
27003000435,1961,1465,1214,36,77,18,116,4,251,6408,3194,2891,323
27003000430,2214,1714,1330,33,81,9,254,1,384,7608,3647,3650,311
27003000510,2760,2179,1819,87,111,47,105,3,360,8282,3863,3870,549
27003000515,3156,2230,1581,76,252,37,287,2,649,7773,3232,4046,495
27003000425,2959,2191,1572,71,202,42,302,5,619,8766,3808,4525,433
27003000415,2702,2056,1541,157,172,51,127,1,515,7566,3172,3903,491
27003000525,3075,2192,1726,48,221,45,147,4,466,8269,3804,3955,510
27003000520,3034,2244,1778,69,145,48,182,0,466,9321,4376,4371,574
27003000410,2159,1620,1150,75,112,38,218,3,470,6340,2655,3285,400
27003000335,2042,1577,1238,76,55,26,166,3,339,6107,2692,3016,399
27003002105,2248,1712,1374,91,134,45,78,1,338,5690,2685,2529,476
27003000710,3068,2409,2062,60,109,31,122,0,347,10684,4129,5994,561
27003000705,1957,1508,1354,32,36,30,51,0,154,6309,2908,2929,472
27003003105,1795,1392,1049,78,130,40,95,2,343,4918,2095,2557,266
