GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
29001000002,2132,1577,1514,13,7,30,11,2,63,5650,4433,1065,152
29001000007,3597,2741,2579,31,9,68,34,1,162,9996,7191,2562,243
29001000006,2055,1614,1548,23,5,23,14,0,66,7054,5608,1256,190
29001000005,2343,1828,1547,46,125,49,60,2,281,6552,3895,2471,186
29001000004,1966,1468,1226,30,144,20,38,1,242,5045,3015,1884,146
29001000003,2768,2282,1811,89,246,91,56,4,471,5675,2673,2760,242
29001000008,3493,2766,2380,77,143,52,96,3,386,8530,4892,3359,279
29001000010,2494,2024,1689,57,106,64,91,1,335,4553,2514,1841,198
29001000009,2336,2040,1601,60,150,29,196,0,439,4674,1572,2921,181
29001000011,2130,2120,1739,73,154,3,156,3,381,2098,415,1580,103
29003000007,1944,1446,1359,21,12,28,23,0,87,5314,3655,1526,133
29003000006,1530,1175,1100,18,13,29,9,0,75,4914,3352,1431,131
29003000003,1848,1413,1255,41,63,34,12,0,158,5957,4057,1725,175
29003000002,45,28,27,1,0,0,0,0,1,134,91,40,3
29003000004,389,286,245,10,12,12,8,0,41,1347,1016,283,48
29003000005,456,347,338,4,2,4,2,0,9,1759,1342,371,46
29003000013,1834,1349,1253,26,14,39,3,4,96,5042,3420,1442,180
29003000009,1337,1008,958,13,8,9,4,0,50,3674,2477,1039,158
29003000008,1936,1462,1367,26,17,39,7,0,95,5172,3477,1481,214
29003000014,1794,1337,1253,22,10,35,10,2,84,4644,3155,1333,156
29003000021,236,182,175,1,0,3,0,0,7,775,634,139,2
29003000016,626,482,453,9,6,10,2,1,29,2007,1572,363,72
29003000011,1113,843,805,9,3,19,4,0,38,3622,2723,773,126
29003000020,400,300,284,6,0,8,3,1,16,1276,970,277,29
29003000017,592,431,409,6,0,9,5,0,22,1856,1393,396,67
29003000018,132,100,93,3,1,1,0,0,7,507,388,114,5
29003000019,362,270,257,2,1,9,0,0,13,1105,862,230,13
29003000015,289,216,206,2,0,5,2,0,10,1112,833,234,45
29003000012,713,574,542,7,3,19,1,0,32,2537,1910,558,69
29003000010,559,454,425,5,1,14,2,2,29,2031,1506,465,60
29005000007,359,298,282,5,1,5,3,0,16,1149,898,210,41
29005000004,1989,1536,1461,13,6,34,9,1,75,6043,4513,1356,174
29005000005,1697,1326,1270,14,6,19,6,2,56,4900,3792,928,180
29005000002,1066,852,800,10,4,30,6,1,52,3310,2478,752,80
29005000006,194,156,149,1,0,6,0,0,7,460,348,95,17
29007000513,4310,3541,3056,64,315,61,18,6,485,8375,5673,2457,245
29007000512,408,314,289,2,10,10,0,2,25,1355,906,389,60
29007000510,647,520,487,7,7,11,3,2,33,2111,1560,468,83
29007000545,1132,914,881,11,3,13,5,1,33,4099,3095,857,147
29007000508,2045,1585,1428,91,23,33,5,0,157,6021,4577,1258,186
29007000506,1363,1030,966,21,6,30,0,0,64,4144,3208,804,132
29007000657,764,584,554,3,5,15,4,0,30,2435,1901,478,56
29007000658,634,486,449,10,4,11,1,1,37,1795,1455,282,58
29007000667,778,603,566,15,4,14,6,0,37,2629,1992,527,110
29007000502,1534,895,866,14,1,6,0,0,29,2374,1865,446,63
29007000616,1238,940,780,21,90,34,12,1,160,2339,1337,855,147
29007000632,1958,1444,1166,42,157,50,14,3,278,3458,1995,1283,180
29007000633,2082,1648,1215,61,273,79,23,1,433,3671,2138,1379,154
29007000623,2050,1521,1368,35,65,39,8,1,153,5342,3411,1688,243
29007000641,1794,1321,1141,27,92,43,10,0,180,3937,2420,1333,184
29007000642,2225,1724,1495,31,115,48,15,2,229,6288,3926,2127,235
29009000007,803,645,601,21,0,25,3,1,44,2812,2315,432,65
29009000016,833,656,620,5,0,23,1,1,36,2946,2407,460,79
29009000010,763,606,541,20,4,30,9,2,65,2495,2019,413,63
29009000013,260,183,166,9,0,4,2,0,17,573,480,82,11
29009000012,242,202,185,6,1,6,2,0,17,568,431,110,27
29009000017,533,417,386,7,0,19,6,0,31,1675,1390,255,30
29009000011,925,736,626,73,5,25,8,1,110,3051,2481,481,89
29009000014,698,565,504,12,1,43,2,1,61,1566,1280,247,39
29009000006,3208,2417,2173,67,17,112,19,2,244,7095,5733,1191,171
29009000019,1327,1158,1051,26,5,62,4,0,107,4133,2944,1098,91
29009000021,2149,1918,1774,38,8,83,7,0,144,7487,5503,1809,175
29009000023,1843,1331,1118,45,5,63,85,13,213,4351,3508,700,143
29009000004,613,482,427,16,0,18,18,0,55,1770,1420,310,40
29009000015,6816,4966,3449,1029,27,257,227,22,1517,13950,9617,3800,533
29009000018,2432,1744,1304,299,7,97,37,0,440,6319,5104,1038,177
29009000003,1088,835,651,102,4,51,28,1,184,2692,2063,528,101
29009000020,1852,1431,1263,30,11,109,7,0,168,3907,2961,784,162
29009000022,1143,870,768,13,20,42,17,0,102,3097,2467,546,84
29009000002,793,601,529,13,2,46,2,0,72,2124,1676,373,75
29009000008,2117,1607,1366,55,22,85,67,0,241,5136,4225,773,138
29009000005,2896,2152,1888,90,12,119,16,4,264,6112,4725,1185,202
29009000009,1200,1064,961,19,4,50,5,0,103,4048,2958,998,92
29011000004,1402,1016,906,18,0,46,3,0,110,3587,3109,419,59
29011000016,1885,1453,1332,19,9,46,4,0,121,6579,5721,734,124
29011000015,1017,770,680,20,1,50,0,3,90,3082,2428,545,109
29011000011,1180,895,816,6,3,42,4,1,79,4192,3671,440,81
29011000010,1374,1032,970,8,4,40,3,1,62,4487,3741,640,106
29011000008,563,442,377,8,1,43,1,0,65,1743,1228,463,52
2901116-018,2628,1959,1810,35,10,79,5,0,149,7292,5867,1207,218
2901116-021,1588,1206,1061,34,13,59,11,0,145,3929,3083,732,114
29013002703,2113,1687,1602,13,8,49,1,2,85,6815,4844,1736,235
29013002705,1928,1429,1363,13,7,30,0,1,66,6027,4438,1383,206
29013002814,2315,1744,1538,57,78,40,14,2,206,6115,4272,1577,266
29013002801,571,450,428,7,2,8,2,1,22,1659,1186,399,74
29013002722,772,611,573,7,1,21,2,2,38,2749,2001,630,118
29013002850,1069,830,750,15,29,26,7,3,80,2514,1681,733,100
29013002847,352,287,278,0,2,6,2,0,9,1617,1349,229,39
29013002849,2132,1668,1577,22,13,42,8,2,91,5735,4003,1542,190
29013002767,600,478,446,7,4,15,2,0,32,2155,1525,535,95
29013002825,484,373,356,1,3,7,2,0,17,1583,1158,367,58
29013002868,630,474,433,6,4,16,9,2,41,2091,1575,436,80
29013002892,1373,1053,1001,15,6,27,1,4,52,3504,2567,787,150
29013002701,694,493,443,16,4,16,2,0,50,1991,1508,393,90
29013002904,803,628,594,9,9,14,0,0,34,2239,1684,496,59
29013002930,206,171,159,3,1,8,0,0,12,774,613,138,23
29015000002,3211,2456,2339,17,8,59,16,0,117,11103,8989,1742,372
29015000009,2369,1786,1684,21,7,56,18,4,102,7179,5718,1261,200
29015000005,2041,1769,1653,24,4,57,10,0,116,5745,4239,1339,167
290150012-6,4799,3922,3610,85,27,144,26,1,312,12644,8602,3590,452
29015000007,2254,1988,1866,19,7,64,4,1,122,7582,5016,2325,241
29015000008,2559,2173,1994,23,28,88,10,2,179,7929,5614,1999,316
29015000004,582,519,480,11,0,21,3,0,39,1707,1226,430,51
29015000001,1579,1303,1209,16,12,40,8,2,94,4747,3588,1013,146
29017000011,1044,820,763,9,7,27,1,0,57,3447,2780,597,70
29017000009,1663,1298,1206,17,7,51,4,0,92,5742,4709,938,95
29017000005,615,484,464,2,2,17,0,0,20,2109,1713,353,43
