
GEOID,NAME
29001000002,Brashear
29001000003,Northeast 4
29001000004,Northeast 5
29001000005,Northeast 6
29001000006,Novinger
29001000007,Rural Benton
29001000008,Southeast 2
29001000009,Southeast 3
29001000010,Southwest 1
29001000011,Truman State University
29003000002,John Glenn A
29003000003,Country Club
29003000004,Monroe East
29003000005,Monroe West
29003000006,John Glenn
29003000007,Beeler
29003000008,Savannah Southeast
29003000009,Savannah Southwest
29003000010,Helena
29003000011,Lincoln
29003000012,Rochester
29003000013,Savannah Northwest
29003000014,Savannah Northeast
29003000015,Empire East
29003000016,Fillmore
29003000017,Rosendale
29003000018,Platte East
29003000019,Platte West
29003000020,Bolckow
29003000021,Clay
29005000002,Fairfax
29005000004,Rock Port
29005000005,Tarkio
29005000006,Watson
29005000007,Westboro
29007000502,Friendship
29007000506,Thompson
29007000508,Community
29007000510,Laddonia
29007000512,Farber
29007000513,I E Cuivre
29007000545,South Fork
29007000616,Mexico No. 4
29007000623,Mexico No. 1
29007000632,Mexico No. 2
29007000633,Mexico No. 3
29007000641,Mexico No. 5
29007000642,Mexico No. 6
29007000657,Martinsburg
29007000658,Benton City
29007000667,Wilson/Salt River
29009000002,Ash
29009000003,Butterfield
29009000004,Capps Creek
29009000005,Cassville City
29009000006,Cassville Rural
29009000007,Crane Creek
29009000008,Exeter
29009000009,Golden
29009000010,Jenkins
29009000011,Kings Prairie
29009000012,McDonald
29009000013,McDowell
29009000014,Mineral
29009000015,Monett
29009000016,Ozark
29009000017,Pleasant Ridge
29009000018,Purdy
29009000019,Roaring River
29009000020,Seligman
29009000021,Shell Knob
29009000022,Washburn
29009000023,Wheaton
29011000004,Vote Center #5
29011000008,Vote Center #8
29011000010,Vote Center #1
29011000011,Vote Center #2
29011000015,Vote Center #6
29011000016,Vote Center #7
2901116-018,Vote Center #3
2901116-021,Vote Center #4
29013002701,Drexel
29013002703,Adrian South
29013002705,Adrian North
29013002722,Ballard
29013002767,Amsterdam
29013002801,Butler No. 1
29013002814,Butler No. 2
29013002825,Amoret
29013002847,Hudson
29013002849,Butler No. 3
29013002850,Butler No. 4
29013002868,Hume
29013002892,Rich Hill South
29013002904,Rich Hill North
29013002930,Rockville
29015000001,UNION
29015000002,WILLIAMS
29015000004,ALEXANDER
29015000005,COLE
29015000007,TOM
29015000008,FRISTOE
29015000009,WHITE
290150012-6,LINDSEY
29017000003,Drum-Dongola
29017000005,Hurricane
29017000006,Lutesville
29017000007,Marble Hill
29017000009,Patton
29017000010,Scopus
29017000011,Sedgewickville
29017000012,Sitze
29017000015,Zalma
29019000007,07
29019000008,08
29019000009,09
29019000010,10
29019000011,11
29019000012,12
29019000015,15
29019000016,16
29019000017,17
29019000018,18
29019000019,19
2901900001A,1A
2901900001B,1B
2901900001C,1C
2901900001D,1D
2901900001E,1E
2901900001F,1F
2901900001G,1G
2901900001I,1I
29019000020,20
29019000021,21
29019000022,22
29019000023,23
29019000024,24
29019000025,25
29019000026,26
29019000027,27
29019000028,28
29019000029,29
2901900002A,2A
2901900002B,2B
2901900002C,2C
2901900002D,2D
2901900002F,2F
2901900002G,2G
2901900002H,2H
2901900002I,2I
2901900002J,2J
2901900002K,2K
29019000030,30
29019000031,31
29019000032,32
29019000033,33
29019000034,34
29019000035,35
29019000036,36
29019000037,37
29019000038,38
29019000039,39
2901900003A,3A
2901900003B,3B
2901900003C,3C
2901900003D,3D
2901900003E,3E
2901900003F,3F
29019000040,40
29019000041,41
29019000042,42
2901900004A,4A
2901900004B,4B
2901900004C,4C
2901900004D,4D
2901900004E,4E
2901900004F,4F
2901900004G,4G
2901900004H,4H
2901900004I,4I
2901900004J,4J
2901900004K,4K
2901900004L,4L
2901900005A,5A
2901900005B,5B
2901900005C,5C
2901900005D,5D
2901900005E,5E
2901900005F,5F
2901900005G,5G
2901900005H,5H
2901900005I,5I
2901900005J,5J
2901900005K,5K
2901900005L,5L
2901900005M,5M
2901900006A,6A
2901900006B,6B
2901900006C,6C
2901900006D,6D
2901900006E,6E
2901900006F,6F
2901900006G,6G
2901900006H,6H
2901900006I,6I
2901916-01J,1J
2901916-01K,1K
2901916-01L,1L
2901916-01M,1M
2901916-02L,2L
2901916-03G,3G
2901916-03H,3H
2901916-03I,3I
2901916-03J,3J
2901916-03L,3L
2901916-03M,3M
2901916-03N,3N
2901916-043,43
2901916-044,44
2901916-045,45
2901916-04M,4M
2901916-05N,5N
2901916-05P,5P
2901916-06J,6J
2901916-06K,6K
2901916-06L,6L
2901916-06M,6M
29021000001,St. Peter Lutheran Church
29021000002,Savannah Avenue Baptist Church
29021000004,Central Assembly of God
29021000006,St. Joseph City Hall
29021000008,Wyatt Park Christian Church
29021000010,Brookdale Student Ministry
29021000011,Pony Express Museum
29021000012,Copeland Baptist Church
29021000014,Huffman United Methodist Church
29021000016,The Evolution United Methodist Church
29021000018,The Keys Christian Fellowship
29021000020,Faith United Church
29021000021,Ashland United Methodist Church
29021000022,Our Lady of Guadalupe Church
29021000023,Wesley United Methodist Church
29021000024,Bible Baptist Temple
29021000027,Agency Methodist Church
29021000028,DeKalb Community Center
29021000029,Willowbrook Community Center
29021000030,Faucett Lions Club
29021000031,St. Joseph Catholic Church
29021000032,Frazier Baptist Church
29021000033,Rushville Masonic Lodge
29021000034,Frederick Boulevard Baptist Church
29021000035,Grace Evangelical Church
29023000002,Broseley
29023000003,Cane Creek
29023000004,Coon Island
29023000005,Fagus
29023000006,Fisk
29023000007,Hendrickson
29023000008,Hill View
29023000009,Kinyon
29023000010,Lake Road
29023000011,Moark
29023000012,Neelyville
29023000013,Oak Brier
29023000014,Oak Grove
29023000015,Oglesville
29023000016,Poplar Bluff Ward 1
29023000017,Poplar Bluff Ward 2
29023000018,Poplar Bluff Ward 3
29023000019,Poplar Bluff Ward 4
29023000020,Poplar Bluff Ward 5
29023000021,Qulin
29023000022,Rombauer
29023000023,Sale Barn
29023000024,Twin Springs
29023000025,Walton Chapel
29023000026,Wappapello
29025000277,Kidder
29025000280,Gomer
29025000281,Breckenridge
29025000284,Hamilton
29025000353,Mirabile/Rockford
29025000356,New York
29025000357,Davis/Fairview
29025000358,Kingston
29025000389,Lincoln
29025000390,Grant
29027000826,Stephens
29027000828,Hatton
29027000839,Auxvasse
29027000842,Shamrock
29027000998,McCredie
29027001069,Millersburg
29027001081,Calwood
29027001083,Williamsburg
29027001189,West Fulton
29027001190,East Fulton
29027001271,Fulton No. 4
29027001272,Fulton No. 1
29027001292,Fulton No. 2
29027001297,Carrington/Guthrie
29027001306,Fulton No. 3
29027001350,Readsville
29027001351,Portland
29027001438,Hams Prairie
29027001543,Dixie
29027001584,New Bloomfield
29027001595,Mokane
29027001763,Tebbetts
29027001843,Holts Summit Rural/Cedar City
29027001989,Holts Summit No. 1
29027001991,Holts Summit No. 2
29029000002,Barnumton
29029000003,Camdenton 1
29029000004,Camdenton 2
29029000005,Camdenton 3
29029000006,Climax Springs
29029000007,Decaturville
29029000008,Freedom
29029000009,Greenview
29029000010,Ha Ha Tonka
29029000011,Hillhouse
29029000012,Horseshoe Bend
29029000013,Linn Creek
29029000014,Macks Creek
29029000015,Montreal
29029000016,Osage Beach 1
29029000017,Osage Beach 2
29029000018,Osage Beach 3
29029000019,Roach
29029000020,Stoutland
29029000021,Sunny Slope
29029000022,Sunrise Beach 1
29029000023,Sunrise Beach 2
29029000024,Sunrise Beach 3
29029000025,Wilson Bend
29031000002,Brown Owl
29031000003,Burfordville
29031000004,Byrd No. 1
29031000005,Byrd No. 2
29031000006,Byrd No. 3
29031000007,Byrd No. 4
29031000008,Byrd No. 5
29031000009,Byrd No. 6
29031000010,Campster/Pecan Grove
29031000011,Cape Girardeau Precinct 1
29031000012,Cape Girardeau Precinct 12
29031000013,Cape Girardeau Precinct 13
29031000014,Cape Girardeau Precinct 14
29031000015,Cape Girardeau Precinct 15
29031000016,Cape Girardeau Precinct 16
29031000017,Cape Girardeau Precinct 17
29031000018,Cape Girardeau Precinct 18
29031000019,Cape Girardeau Precinct 2
29031000020,Cape Girardeau Precinct 4
29031000021,Cape Girardeau Precinct 6
29031000022,Cape Girardeau Precinct 7
29031000023,Cape Girardeau Precinct 8
29031000024,Cape Girardeau Precinct 9
29031000025,Delta City No. 1
29031000026,Delta City No. 2
29031000027,Delta Out County
29031000028,Friedheim
29031000029,Fruitland
29031000030,Gordonville
29031000031,Hanover
29031000032,Millersville
29031000033,Neelys Landing/Oriole
29031000034,Nell Holcomb
29031000035,New Wells
29031000036,Oak Ridge
29031000037,Pocahontas
29031000038,Scott City
29031000039,Whitewater
29033000006,Combs/Eugene
29033000007,Dewitt
29033000009,Hurricane
29033000010,Leslie/Van Horn
29033000012,Ridge/Rockford
29033000013,Stokes Mound/Hill
29033000014,Trotter/Moss Creek/Wakenda/Sugartree
2903316-001,Carrollton Ward 1
2903316-003,Carrollton Ward 3
2903316-004,Carrollton Ward 4
2903316-016,Washington/Fairfield
2903316-017,Prarie/Egypt
2903316-019,Carrollton Ward 2
29035003611,Van Buren
29035003628,Fremont
29035003668,Colemansville
29035003694,Eastwood
29035003731,Ellsinore
29035003756,Hunter
29035003789,Grandin
29037000001,No. 1 - Sherman
29037000002,No. 2 - Dayton
29037000003,No. 3 - Garden City
29037000004,No. 4 - Austin
29037000005,No. 5 - Austin
29037000006,No. 6 - Everett
29037000007,No. 7 - Coldwater
29037000008,No. 8 - West Dolan
29037000009,No. 9 - Dolan
