
GEOID,NAME
30001000001,PRECINCT 01
30001000002,PRECINCT 02
30001000003,PRECINCT 03
30001000004,PRECINCT 04
30001000005,PRECINCT 05
30001000006,PRECINCT 06
30001000007,PRECINCT 07
30001000008,PRECINCT 08
30001000009,PRECINCT 09
30001000012,PRECINCT 12
30001000014,PRECINCT 14
30001000017,PRECINCT 17
30001000019,PRECINCT 19
30001000020,PRECINCT 20
30001000021,PRECINCT 21
30001000023,PRECINCT 23
30003000001,PRECINCT #1
30003000002,PRECINCT #2
30003000003,PRECINCT #3
30003000004,PRECINCT #4
30003000005,PRECINCT #5
30003000006,PRECINCT #6
30003000007,PRECINCT #7
30003000008,PRECINCT #8
30003000009,PRECINCT #9
30003000010,PRECINCT #10
30003000014,PRECINCT #14
30003000015,PRECINCT #15
30003000017,PRECINCT #17
30003000018,PRECINCT #18
30003000019,PRECINCT #19
30003000021,PRECINCT #21
30003000025,PRECINCT #25
30003000026,PRECINCT #26
3000300004N,PRECINCT #4N
30005000001,TURNER 1-33
30005000003,BELKNAP 3-32
30005000008,HARLEM 8-32
30005000009,HARLEM 9-32
30005000010,SO CHINOOK 10-32
30005000011,CHINOOK 11-33
30005000013,NO CHINOOK 13-33
30005000015,HAYS 15-32
30007000001,Precinct 1
30007000007,Precinct 7
30007000011,Precinct 11
30007000012,Precinct 12
30007000013,Precinct 13
30009000001,P 1
30009000002,P 2
30009000003,P 3
30009000004,P 4
30009000005,P 5
30009000006,P 6
30009000007,P 7
30009000008,P 8
30009000009,P 9
30009000010,P 10
30009000011,P 11
30009000015,P 15
30009000016,P 16
30011000001,PRECINCT #1 ALZADA
30011000003,PRECINCT #3 HAMMOND
30011000013,PRECINCT #13 EKALAKA
30011000014,PRECINCT #14 RURAL EKALAKA
30013000023,P23
30013000024,P24
30013000025,P25
30013000027,P27
30013000030,P30
3001300019C,P19C
3001300019D,P19D
3001300019E,P19E
3001300020A,P20A
3001300020B,P20B
3001300021A,P21A
3001300021B,P21B
3001300022A,P22A
3001300022B,P22B
3001300022C,P22C
3001300026A,P26A
3001300026B,P26B
300130019A1,P19A1
300130019A2,P19A2
300130019A3,P19A3
300130019A4,P19A4
300130019B1,P19B1
300130019B2,P19B2
30015000001,FORT BENTON 1
30015000002,FORT BENTON 2
30015000003,GERALDINE 3
30015000004,CARTER 4
30015000005,ROCKY BOY 5
30015000006,HIGHWOOD 6
30015000007,LOMA 7
30015000008,BIG SANDY 8
30015000009,BIG SANDY 9
30017000001,WASHINGTON SCH
30017000002,CCDHS
30017000003,HIGHLAND PARK SCH
30017000004,JEFFERSON SCH
30017000005,KIRCHER
30017000006,NAT'L GUARD
30017000007,KINSEY
30017000008,SHEFFIELD MOON
30017000009,S-H SCHOOL
30017000010,SY SCHOOL
30017000011,SPRING CREEK SCH
30017000012,RIVERVIEW SCHOOL
30017000013,KNOWLTON SCH
30017000014,ISMAY CHURCH
30019000002,PRECINCT #2
30019000003,PRECINCT #3
30019000005,PRECINCT #5
30019000006,PRECINCT #6
30021000001,PRECINCT 01
30021000002,PRECINCT 02
30021000003,PRECINCT 03
30021000004,PRECINCT 04
30021000005,PRECINCT 05
30021000006,PRECINCT 06
30021000007,PRECINCT 07
30023001-78,PRECINCT 1-78
30023002-78,PRECINCT 2-78
30023003-78,PRECINCT 3-78
30023004-77,PRECINCT 4-77
3002301-77E,PRECICNT 1-77E
3002301-77W,PRECINCT 1-77W
3002302-77E,PRECINCT 2-77E
3002302-77W,PRECINCT 2-77W
3002303-77E,PRECINCT 3-77E
3002303-77W,PRECINCT 3-77W
3002304-78E,PRECINCT 4-78E
3002304-78W,PRECINCT 4-78W
3002305-77N,PRECINCT 5-77N
3002305-77S,PRECINCT 5-77S
30025000001,PRECINCT 1
30027000002,PREC 2
30027000003,PREC 3
30027000004,PREC 4
30027000005,PREC 5
30027000006,PREC 6
30027000007,PREC 7
30027000008,PREC 8
30027000009,PREC 9
30027000010,PREC 10
30027000011,PREC 11
30027000012,PREC 12
30027000013,PREC 13
30027000014,PREC 14
30027000016,PREC 16
30027000017,PREC 17
30027000018,PREC 18
30029000001,PRECINCT 1
30029000002,PRECINCT 2
30029000003,PRECINCT 3
30029000004,PRECINCT 4
30029000005,PRECINCT 5
30029000006,PRECINCT 6
30029000007,PRECINCT 7
30029000008,PRECINCT 8
30029000011,PRECINCT 11
30029000013,PRECINCT 13
30029000014,PRECINCT 14
30029000015,PRECINCT 15
30029000016,PRECINCT 16
30029000017,PRECINCT 17
30029000018,PRECINCT 18
30029000019,PRECINCT 19
30029000020,PRECINCT 20
30029000021,PRECINCT 21
30029000023,PRECINCT 23
30029000024,PRECINCT 24
30029000025,PRECINCT 25
30029000026,PRECINCT 26
30029000029,PRECINCT 29
30029000031,PRECINCT 31
30029000032,PRECINCT 32
30029000033,PRECINCT 33
30029000034,PRECINCT 34
30029000035,PRECINCT 35
30029000036,PRECINCT 36
30029000037,PRECINCT 37
30029000038,PRECINCT 38
30029000039,PRECINCT 39
30029000041,PRECINCT 41
30029000042,PRECINCT 42
30029000043,PRECINCT 43
30029000044,PRECINCT 44
30029000045,PRECINCT 45
30029000047,PRECINCT 47
30029000048,PRECINCT 48
30029000049,PRECINCT 49
30029000050,PRECINCT 50
30029000089,PRECINCT 89
30029NAHD10,NA-HD10
30029NAHD15,NA-HD15
3003100059A,PCT 59A
3003100061A,PCT 61A
3003100061B,PCT 61B
3003100061C,PCT 61C
3003100061D,PCT 61D
3003100062A,PCT 62A
3003100062B,PCT 62B
3003100062C,PCT 62C
3003100062D,PCT 62D
3003100063A,PCT 63A
3003100063B,PCT 63B
3003100063C,PCT 63C
3003100064A,PCT 64A
3003100064B,PCT 64B
3003100064C,PCT 64C
3003100064D,PCT 64D
3003100065A,PCT 65A
3003100065B,PCT 65B
3003100065C,PCT 65C
3003100066A,PCT 66A
3003100066B,PCT 66B
3003100066C,PCT 66C
3003100067A,PCT 67A
3003100067B,PCT 67B
3003100067C,PCT 67C
3003100068A,PCT 68A
3003100068B,PCT 68B
3003100068C,PCT 68C
3003100069A,PCT 69A
3003100069B,PCT 69B
3003100069C,PCT 69C
3003100069D,PCT 69D
30033000001,PRECINCT 01
30033000007,PRECINCT 07
30033000014,PRECINCT 14
30033000019,PRECINCT 19
30035000001,PCT 01
30035000002,PCT 02
30035000003,PCT 03
30035000004,PCT 04
30035000005,PCT 05
30035000006,PCT 06
30035000007,PCT 07
30035000008,PCT 08
30035000009,PCT 09
30035000010,PCT 10
30035000011,PCT 11
30035000012,PCT 12
30035000013,PCT 13
30035000015,PCT 15
30035000019,PCT 19
3003500021C,PCT 21C
30037000001,RYEGATE
30037000002,LAVINA
30039000001,Precinct #1
30039000002,Precinct #2
30039000009,Precinct #9
30039000010,Precinct #10
30041000001,Precinct #01
30041000002,Precinct #02
30041000003,Precinct #03
30041000007,Precinct #07
30041000008,Precinct #08
30041000009,Precinct #09
30041000010,Precinct #10
30041000013,Precinct #13
30041000014,Precinct #14
30041000015,Precinct #15
30041000016,Precinct #16
30041000018,Precinct #18
30041000020,Precinct #20
30041000021,Precinct #21
30041000022,Precinct #22
30041000025,Precinct #25
30041000028,Precinct #28
30043001-71,01-71
30043002-75,02-75
30043003-75,03-75
30043004-75,04-75
30043005-75,05-75
30043006-75,06-75
30043007-75,07-75
30043008-75,08-75
30043009-75,09-75
30043010-75,10-75
30045000001,PRECINCT 1
30045000002,PRECINCT 2
30045000003,PRECINCT 3
30045000004,PRECINCT 4
300470000NA,NA
3004700ARL1,ARL 1 HD93
3004700BEA1,BEA 1 HD10
3004700BEA2,BEA 2 HD12
3004700CHA1,CHA 1 HD93
3004700DAY1,DAY 1 HD12
3004700FER1,FER 1 HD10
3004700PAB1,PAB 1_HD93
3004700PAB2,PAB 2_HD15
3004700POL1,POL 1 HD12
3004700POL2,POL 2 HD12
3004700POL3,POL 3 HD12
3004700POL4,POL 4 HD12
3004700POL5,POL 5 HD12
3004700POL6,POL 6 HD93
3004700POL7,POL 7 HD93
3004700POL8,POL 8 HD15
3004700RON1,RON 1 HD93
3004700RON2,RON 2 HD15
3004700STI1,STI 1 HD93
3004700STI2,STI 2 HD15
3004700SWA1,SWA 1 HD10
3004700SWA2,SWA 2 HD15
30049000001,PCT 01
30049000002,PCT 02
30049000003,PCT 03
30049000004,PCT 04
30049000005,PCT 05
30049000006,PCT 06
30049000007,PCT 07
30049000008,PCT 08
30049000009,PCT 09
30049000010,PCT 10
30049000011,PCT 11
30049000012,PCT 12
30049000013,PCT 13
30049000014,PCT 14
30049000015,PCT 15
30049000016,PCT 16
30049000017,PCT 17
30049000018,PCT 18
30049000019,PCT 19
30049000020,PCT 20
30049000021,PCT 21
30049000022,PCT 22
30049000023,PCT 23
30049000024,PCT 24
30049000025,PCT 25
30049000026,PCT 26
30049000027,PCT 27
30049000028,PCT 28
30049000029,PCT 29
30049000030,PCT 30
30049000031,PCT 31
30049000032,PCT 32
30049000033,PCT 33
30051000001,#1 Precinct - West
30051000002,#2 Precinct - North
30051000003,#3 Precinct - South
30051000004,#4 Precinct - Joplin
30053000001,FORTINE
30053000002,TREGO
30053000003,EUREKA RURAL
30053000004,TOWN OF EUREKA
30053000005,YAAK
30053000006,McCORMICK
30053000007,TROY COMBINED
30053000008,TROY RURAL
30053000009,CITY OF LIBBY
30053000010,LIBBY NORTH
30053000011,LIBBY EAST
30053000012,LIBBY WEST
30053000013,LIBBY/PLUMMER
30053000014,TROY NORTH
30055000004,PRECINCT 4
30055000008,PRECINCT 8
30055000027,PRECINCT 27
30057000005,SHERIDAN
30057000007,TWIN BRIDGES
30057000020,ENNIS - RURAL
30057000021,ENNIS - TOWN
300570001-1,VIRGINIA CITY - WARD 1
300570001-2,ALDER - WARD 2
300570015-1,JEFFERSON ISLAND - WARD 1
300570015-2,HARRISON - WARD 2
30059000005,Precinct 5
30061000022,ALBERTON
30061000024,SUPERIOR_24
30061000025,SUPERIOR_25
30061000026,ST. REGIS
30061000027,WEST END
30061000030,SUPERIOR_30
3006300014N,FRENCHTWN 14N
3006300014S,FRENCHTWN 14S
3006300089B,BONNER 89
3006300089C,CLINTON 89
3006300089L,LOLO 89
3006300089P,PAXSON 89
3006300090E,LEWIS CLK 90E
3006300090R,RUSSELL 90
3006300090W,LEWIS CLK 90W
3006300091L,LIBRARY 91
3006300092B,BONNER 92
3006300092C,CLINTON 92
3006300092P,POTOMAC 92
3006300094E,EVARO 94
3006300094F,FRENCHTWN 94
3006300094H,HELLGATE 94
3006300094L,LOWELL 94
3006300095L,LOWELL 95
3006300096E,HELLGATE 96E
3006300096F,FRENCHTWN 96
3006300096W,HELLGATE 96W
3006300097H,HELLGATE 97
3006300097L,LOLO 97
3006300098N,HAWTHORNE 98N
3006300098S,HAWTHORNE 98S
3006300100N,FRANKLIN 100N
3006300100S,FRANKLIN 100S
300630089CS,COLD SPRINGS 89
300630089LC,LEWIS CLK 89
300630089UC,UC CENTR 89
300630090CC,CHIEF CHARLO 90
300630091SC,SENIOR CIT 91
300630092EM,EAST MSLA 92
300630092Se,SEELEY LK 92
300630092Sw,SWAN 92
300630094SM,SPRING MDW 94
300630095Ha,HAWTHORNE 95
300630095He,HELLGATE 95
