GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
370210001.1,2982,2752,2056,116,496,46,38,4,696,9929,1273,8357,299
370210053.1,4491,3568,3211,159,75,75,25,5,357,14923,9526,5066,331
370210068.1,7502,5903,4738,666,264,144,84,18,1165,21743,11992,9151,600
370210022.2,2640,2273,2107,64,33,25,15,4,166,12047,2485,9347,215
370210027.2,953,830,785,9,11,7,11,0,45,4177,957,3150,70
370210058.1,2908,2422,2150,124,37,48,36,1,272,10254,4656,5335,263
370210059.1,4812,4014,3646,113,71,119,34,6,368,19055,8769,9833,453
37191000004,6559,4992,3723,277,818,93,112,10,1269,19741,14148,5184,409
37191000026,4017,3085,1207,652,1150,60,31,6,1878,9813,4122,5505,186
37191002530,5830,4645,2172,499,1918,89,21,7,2473,15094,7038,7812,244
3706100CALY,1212,903,590,159,130,32,10,2,313,3588,2495,1021,72
37191000028,6744,4866,2170,1607,999,143,33,7,2696,13671,7689,5727,255
37191000002,5146,4030,2946,259,712,64,62,4,1084,15336,10813,4238,285
370210066.1,2449,2057,1619,201,129,73,33,10,438,7815,3244,4353,218
37143BETHEL,3458,3001,2509,36,342,85,16,5,492,12447,8498,3726,223
370210044.1,7404,6208,5391,352,179,147,111,4,817,25686,11496,13527,663
370210024.1,3652,2810,2248,253,166,85,62,5,562,11466,4261,6819,386
370210048.1,6078,4780,3792,614,156,157,55,9,988,17764,10083,7179,502
370210038.3,4459,3509,3052,152,132,104,54,1,457,16083,9136,6545,402
370210036.1,3047,2634,2297,121,145,47,16,2,337,9572,4301,4941,330
37111FORT-1,1825,1500,1344,64,59,28,10,0,156,5838,3992,1662,184
37111FORT-2,2555,2073,1831,60,106,64,5,0,242,7299,4939,2172,188
370210060.2,1953,1631,1313,154,70,49,23,0,318,6251,2131,3910,210
37035000019,1798,1450,952,167,181,42,105,4,498,5032,3110,1784,138
37035000006,3365,2658,2235,95,188,53,89,3,423,11224,7911,3062,251
37035000002,3234,2570,2315,88,70,53,55,10,255,10460,8227,2030,203
370230029-B,1635,1312,1201,36,19,30,19,0,111,4803,3553,1138,112
370230029-A,1680,1339,1176,29,34,35,55,0,163,4929,3999,804,126
3710900NB35,5623,4432,4059,170,85,94,16,3,373,17446,13883,3188,375
37035000030,6482,5090,3573,613,507,125,289,10,1517,16556,9684,6357,515
37035000014,2188,1781,1501,89,106,54,40,5,280,7530,3984,3340,206
37035000032,4844,3782,2548,443,491,73,218,2,1234,13113,7875,4821,417
37035000001,4700,3775,3408,119,105,90,53,2,367,16041,13123,2592,326
370210002.1,4207,3339,2395,91,679,79,50,25,944,15037,957,13684,396
37035000017,3404,2609,1637,407,354,72,138,6,972,6903,3976,2679,248
37035000026,2414,1946,1690,75,107,39,39,1,256,8915,4900,3769,246
37035000024,5642,4388,3722,161,204,98,195,2,666,19019,13702,4840,477
37023000012,2484,2044,1928,26,8,38,38,0,116,8587,7438,1001,148
37023000013,4093,3258,2878,113,56,77,129,2,380,12517,10083,2149,285
37023000015,2311,1841,1521,121,48,27,104,2,320,6265,4772,1360,133
371350000SM,3133,2524,2119,142,183,45,37,4,405,12716,5875,6565,276
371350000CP,3603,2652,2139,93,287,30,82,5,513,14137,5294,8528,315
37063000044,8084,6408,4283,339,1386,101,265,7,2125,33664,12057,20824,783
371350000HE,2569,1988,1477,211,184,64,49,3,511,7517,2440,4906,171
37135000ENO,4369,3188,1969,889,204,106,75,4,1219,11675,5238,6180,257
37063000045,6643,5324,3487,435,1084,97,217,6,1837,26776,9140,16993,643
37063000050,5837,4834,2695,493,1066,116,500,12,2139,19580,3886,15152,542
37153000004,2794,2103,1156,214,610,130,9,5,947,6429,3197,3084,148
370210011.1,1924,1785,1236,65,430,30,28,3,549,6428,659,5564,205
370210045.1,6087,4792,3972,407,202,138,52,21,820,18246,9006,8627,613
370210039.2,2140,1691,1532,59,28,34,13,5,159,7819,3519,4076,224
370210039.3,3403,2737,2521,79,44,54,15,1,216,13045,6402,6298,345
370210037.1,2006,1637,1512,29,17,29,21,2,125,7106,3830,3058,218
370210003.1,2753,2409,2020,114,169,48,44,3,389,11234,836,10120,278
370210054.2,7290,5417,3315,1080,748,143,130,15,2102,16875,7200,9169,506
370210018.2,6719,5601,4687,299,240,104,231,8,914,24423,8881,14936,606
370890000FL,6262,4997,3979,438,316,86,152,5,1018,20638,10984,9076,578
370210052.1,5885,4661,4115,231,77,134,85,8,546,18383,11582,6264,537
37035000016,4587,3719,2546,449,533,77,143,5,1173,10927,5958,4591,378
37035000029,6691,5129,4010,610,192,168,192,6,1119,20020,14363,5160,497
37035000012,2513,1980,722,302,855,67,62,6,1258,6047,1416,4490,141
37035000023,5644,4358,3743,120,248,85,156,7,615,19799,13571,5730,498
