
GEOID,NAME
37001000001,PATTERSON
37001000002,COBLE
37001000004,MORTON
37001000005,FAUCETTE
37001000007,ALBRIGHT
37001000011,PLEASANT GROVE
37001000013,HAW RIVER
37001000035,BOONE 5
3700100003C,CENTRAL BOONE
3700100003N,NORTH BOONE
3700100003S,SOUTH BOONE
3700100003W,WEST BOONE
37001000063,GRAHAM 3
37001000064,GRAHAM 4
3700100006E,EAST GRAHAM
3700100006N,NORTH GRAHAM
3700100006S,SOUTH GRAHAM
3700100006W,WEST GRAHAM
3700100008N,NORTH NEWLIN
3700100008S,SOUTH NEWLIN
3700100009N,NORTH THOMPSON
3700100009S,SOUTH THOMPSON
37001000103,MELVILLE 3
3700100010N,NORTH MELVILLE
3700100010S,SOUTH MELVILLE
37001000124,BURLINGTON 4
37001000125,BURLINGTON 5
37001000126,BURLINGTON 6
37001000127,BURLINGTON 7
37001000128,BURLINGTON 8
37001000129,BURLINGTON 9
3700100012E,EAST BURLINGTON
3700100012N,NORTH BURLINGTON
3700100012S,SOUTH BURLINGTON
3700100012W,WEST BURLINGTON
370010003N2,NORTH BOONE 2
37001001210,BURLINGTON 10
3700300000E,ELLENDALE
3700300000M,MILLERS
3700300000W,WITTENBURG
370030000B1,BETHLEHEM 1
370030000B2,BETHLEHEM 2
3700300G1G2,GWALTNEY 1 2
3700300LRSL,LITTLE RIVER AND SUGAR LOAF
3700300S1S2,SHARPES 1 2
3700300T2T3,TAYLORSVILLE 2 3
37003T1T4T5,TAYLORSVILLE 1 4 5
37005000001,CHERRY LANE
37005000004,GLADE CREEK
3700500003A,GAP CIVIL
3700500006A,PRATHERS CREEK
370070000MM,MORVEN/MCFARLAN
370070000WS,WHITE STORE
37007000ANS,ANSONVILLE
3700700BURN,BURNSVILLE
3700700GULL,GULLEDGE
3700700LILE,LILESVILLE
3700700PEAC,PEACHLAND
3700700POLK,POLKTON
370070WADES,Wadesboro
37009000002,CLIFTON
37009000003,CRESTON
37009000004,ELK
37009000006,HELTON
37009000007,HORSE CREEK
37009000008,HURRICANE
37009000009,JEFFERSON
37009000010,LAUREL
37009000011,NEW RIVER
37009000012,NORTH FORK
37009000013,0BIDS
37009000014,OLD FIELDS
37009000015,PEAK CREEK
37009000016,PINE SWAMP
37009000017,PINEY CREEK
37009000018,POND MOUNTAIN
37009000020,WEST JEFFERSON
37011000001,ALTAMONT
37011000002,BANNER ELK
37011000003,BEECH MOUNTAIN
37011000004,CAREYS FLAT
37011000005,CRANBERRY
37011000006,ELK PARK
37011000007,FRANK
37011000008,HEATON
37011000009,HUGHES
37011000010,INGALLS
37011000011,LINVILLE
37011000012,MINNEAPOLIS
37011000013,MONTEZUMA
37011000014,NEWLAND 1
37011000015,NEWLAND 2
37011000016,PINEOLA
37011000017,PLUMTREE
37011000018,PYATTE
37011000019,ROARING CREEK
370130000HB,HUNTERS BRIDGE
3701300BLCK,BLOUNTS CREEK
3701300NCRK,NORTH CREEK
3701300OLDF,OLD FORD
3701300RVRD,RIVER ROAD
3701300TCRK,TRANTERS CREEK
3701300WDPD,WOODARDS POND
370130AUROR,AURORA
370130BEADM,BEAVER DAM
370130BELHV,BELHAVEN
370130CHOCO,CHOCOWINITY
370130EDWAR,EDWARD
370130GILEA,GILEAD
370130PANTE,PANTEGO
370130PINET,PINETOWN
370130PSJW3,P S JONES-WASH W3
370130SURBA,SURRY-BATH
370130WASH1,WASHINGTON WARD 1
370130WASH2,WASHINGTON WARD 2
370130WASH4,WASHINGTON WARD 4
370130WASHP,WASHINGTON PARK
370150000C1,COLERAIN 1
370150000C2,COLERAIN 2
370150000IW,INDIAN WOODS
370150000M1,MITCHELLS 1
370150000M2,MITCHELLS 2
370150000MH,MERRY HILL
370150000RX,ROXOBEL
370150000SN,SNAKEBITE
370150000W1,WINDSOR 1
370150000W2,WINDSOR 2
370150000WD,WOODVILLE
370150000WH,WHITES
37017000P10,ABBOTTS
37017000P15,BETHEL
37017000P25,BROWN MARSH
37017000P30,CARVERS CREEK
37017000P35,CENTRAL
37017000P40,COLLY
37017000P45,CYPRESS CREEK
37017000P55,FRENCHES CREEK
37017000P60,HOLLOW
37017000P65,LAKE CREEK
37017000P70,TURNBULL
37017000P75,WHITES CREEK
37017000P80,WHITE OAK
3701700P201,BLADENBORO 1
3701700P202,BLADENBORO 2
3701700P501,ELIZABETHTOWN 1
3701700P502,ELIZABETHTOWN 2
37019000001,HOOD CREEK
37019000002,LELAND
37019000003,WOODBURN
37019000005,TOWNCREEK
37019000006,BOLIVIA
37019000007,SOUTHPORT 1
37019000008,SOUTHPORT 2
37019000009,OAK ISLAND 1
37019000011,SUPPLY
37019000012,SECESSION 1
37019000013,SHALLOTTE
37019000014,FRYING PAN
37019000015,GRISSETTOWN
37019000016,SHINGLETREE 1
37019000017,LONGWOOD
37019000018,WACCAMAW
37019000019,SHINGLETREE 2
37019000020,SECESSION 2
37019000021,BOILING SPRING LAKES
37019000022,OAK ISLAND 2
37019000023,OAK ISLAND 3
3701900004A,BELVILLE 1
3701900010A,MOSQUITO 1
3701900010B,MOSQUITO 2
370190004B2,04C1_04B1
370210001.1,STEPHENS LEE COMMUNITY CENTER
370210002.1,MONTFORD COMMUNITY CENTER
370210003.1,ST MARKS LUTHERAN CHURCH
370210004.1,NORTH ASHEVILLE COMMUNITY CENTER
370210005.1,ST EUGENES CHURCH
370210006.1,TRINITY PRESBYTERIAN CHURCH
370210007.1,KENILWORTH PRESBYTERIAN CHURCH
370210008.2,SHILOH COMMUNITY CENTER
370210008.3,FAITH TABERNACLE CHRISTIAN CENTER
370210009.1,MURPHY-OAKLEY COMMUNITY CENTER
370210010.1,W C REID RECREATION CENTER
370210011.1,ASHEVILLE SENIOR OPPORTUNITY CENTER
370210012.1,HALL FLETCHER SCHOOL
370210013.1,WEST ASHEVILLE CHURCH OF GOD
370210014.2,ASHEVILLE PRE-SCHOOL
370210014.3,ELIADA HOME - PAUL AMOS REC CENTER
370210015.1,VANCE ELEMENTARY SCHOOL
370210016.2,WEST ASHEVILLE LIBRARY
370210017.1,BETH ISRAEL SYNAGOGUE
370210018.2,TC ROBERSON HIGH SCHOOL
370210019.1,SKYLAND FIRE DEPARTMENT
370210020.1,ASHEVILLE APOSTOLIC CHURCH
370210021.1,HAW CREEK ELEMENTARY SCHOOL
370210022.2,IRA B JONES SCHOOL AUDITORIUM
370210023.2,ASHEVILLE APOSTOLIC CHURCH
370210023.3,EVERGREEN CHARTER SCHOOL
370210024.1,CROSSROADS ASSEMBLY
370210025.1,CHARLES C BELL SCHOOL
370210026.1,ASHEVILLE SCHOOL ATHLETIC CENTER
370210027.2,BEAVERDAM COMMUNITY CENTER
370210028.1,COVENANT REFORMED PRESBYTERIAN
370210029.2,NEW HOPE PRESBYTERIAN
370210030.2,AVERYS CREEK ELEMENTARY SCHOOL
370210030.3,AVERYS CREEK COMMUNITY CENTER
370210031.1,BILTMORE FOREST TOWN HALL
370210032.1,BLACK MOUNTAIN 1 - OWEN MIDDLE SCHOOL
370210033.2,BLACK MOUNTAIN PRIMARY SCHOOL
370210033.3,BLACK MOUNTAIN ELEMENTARY SCHOOL
370210034.1,BLACK MOUNTAIN 3 - LAKE TOMAHAWK
370210035.1,BLACK MOUNTAIN 4 - CARVER COMMUNITY CENTER
370210036.1,BLACK MOUNTAIN 5 - MONTREAT CTR WALKUP BLDG
370210037.1,BROAD RIVER COMMUNITY CENTER
370210038.2,CANE CREEK MIDDLE SCHOOL
370210038.3,TRINITY OF FAIRVIEW CHURCH
370210039.2,FAIRVIEW VOLUNTEER FIRE DEPT
370210039.3,FAIRVIEW COMMUNITY CENTER
370210040.2,FLAT CREEK - NORTH BUNCOMBE ELEMENTARY
370210041.1,FRENCH BROAD FIRE DEPT
370210042.1,HAZEL 1 - EMMA ELEMENTARY SCHOOL
370210043.2,HAZEL 2 - JOHNSTON SCHOOL
370210044.1,LOWER HOMINY 1 - OAK FOREST PRESBYTERIAN
370210045.1,ENKA MIDDLE SCHOOL
370210046.1,LOWER HOMINY 3 - ARBORETUM MAIN BLDG ROOM 1
370210047.1,UPPER HOMINY 1 - PISGAH ELEMENTARY
370210048.1,HOMINY VALLEY ELEMENTARY
370210049.1,UPPER HOMINY 3 - POLE CREEK BAPTIST
370210050.1,IVY 1 - BARNARDSVILLE SCHOOL
370210051.2,NORTH WINDY RIDGE SCHOOL
370210052.1,LEICESTER 1 - LEICESTER SCHOOL
370210053.1,LEICESTER 2 - COMMUNITY CENTER
370210054.2,LUTHERAN CHURCH OF THE NATIVITY
370210055.1,LIMESTONE 2 - GLEN ARDEN SCHOOL
370210056.2,LIMESTONE 3 - ARDEN FIRST BAPTIST
370210057.1,LIMESTONE 4 - SKYLAND FIRE BISHOP SUBSTATION
370210058.1,NORTH BUNCOMBE - MIDDLE SCHOOL
370210059.1,REEMS CREEK FIRE DEPARTMENT
370210060.2,REYNOLDS FIRE DEPARTMENT
370210060.4,COVENANT COMMUNITY CHURCH
370210061.1,RICEVILLE 1 - RICEVILLE COMMUNITY CENTER
370210062.1,RICEVILLE 2 - GRASSY BRANCH BAPTIST
370210063.1,SANDY MUSH COMMUNITY CENTER
370210064.1,FIRST BAPTIST OF SWANNANOA
370210065.1,SWANNANOA 2 - WILLIAMS ELEMENTARY
370210066.1,SWANNANOA 3 - WWC - KITTRIDGE THEATRE
370210067.1,WEAVERVILLE TOWN HALL
370210068.1,WEST BUNCOMBE 1 - WEST BUNCOMBE SCHOOL
370210069.1,WEST BUNCOMBE 2 - FIRE TRAIN CENTER
370210070.1,WOODFIN COMMUNITY CENTER
370210071.1,WOODLAND HILLS - BAPTIST CHURCH
37023000001,DREXEL 01
