
GEOID,NAME
3100100001P,Kenesaw Precinct
3100100001W,1A
3100100002E,2E Precinct
3100100002P,Verona Precinct
3100100002W,1B
3100100003P,Juniata Precinct
3100100003W,1C
3100100004P,West Blue/Highland Precinct
3100100005P,Denver Precinct
3100100005W,2A
3100100006P,Blaine Precinct
3100100006W,2B
3100100007P,Holstein Precinct
3100100007W,2C
3100100008P,Roseland Precinct
3100100008W,2D
3100100009P,Ayr Precinct
3100100009W,3A
3100100010P,Pauline Precinct
3100100010W,3B
3100100011W,3C
3100100012W,3D
3100100013W,3E
3100100014W,4A
3100100015W,4B
3100100016W,4C
3100100017W,4D
3100300001P,Orchard Precinct
3100300001W,Tilden 1st Ward
3100300002P,Royal Precinct
3100300002W,Neligh City 2nd Ward
3100300003P,Brunswick Precinct
3100300003W,Neligh City 1st Ward
3100300004P,Clearwater Precinct
3100300004W,Elgin 1st Ward
3100300005P,Neligh Precinct
3100300005W,Elgin 2nd Ward
3100300006P,Elgin Precinct
3100300007P,Oakdale Precinct
3100300008P,Tilden Precinct
3100500001P,Arthur Precinct
3100700001P,Long Springs Precinct
31009000001,Blaine Precinct
3101100001P,Oakland Precinct
3101100002P,North Branch-Shell Creek Precinct
3101100003P,Dublin-Bonanza Precinct
3101100004P,North Manchester Precinct
3101100005P,Southwest Manchester Precinct
3101100006P,Southeast Manchester Precinct
3101100007P,Ceder Precinct
3101100008P,Boone Precinct
3101100009P,Beaver Precinct
31013001301,Voting Precinct 1
31013001302,Voting Precinct 2
31013001303,Voting Precinct 3
31013001304,Voting Precinct 4
31013001305,Voting Precinct 5
31013001306,Voting Precinct 6
31013001311,Voting Precinct 11
31013001312,Voting Precinct 12
31013001315,Voting Precinct 15
31015000001,Basin - McCulley - Butte Precinct
31015000002,Spencer - Morton Precinct
31015000003,Bristow - Mullen - Lynch - Bush Precinct
3101700001P,City of Ainsworth Precinct
3101700002P,Pines Precinct
3101700003P,Ainsworth Precinct
31019000001,Precinct 1
31019000002,Precinct 2
31019000003,Precinct 3
31019000004,Precinct 4
31019000005,Precinct 5
31019000006,Precinct 6
31019000007,Precint 7
31019000008,Precinct 8
31019000009,Precinct 9
31019000010,Precinct 10
31019000011,Precinct 11
31019000012,Precinct 12
31019000013,Precinct 13
31019000014,Precinct 14
31019000015,Precinct 15
31019000016,Precinct 16
31019000017,Precinct 17
31019000018,Precinct 18
31019000019,Precinct 19
31019000020,Precinct 20
31019000021,Precinct 21
31019000022,Precinct 22
31019000023,Precinct 23
31019000024,Precinct 24
31019000025,Precinct 25
31019000026,Precinct 26
31019000027,Precinct 27
31019000028,Precinct 28
31019000029,Precinct 29
31021000001,Arizona-Riverside
31021000002,BellCreek-Oakland-Pershing Precinct
31021000003,Craig Precinct
31021000004,Decatur-Quinbaugh Precinct
31021000005,Everett-Logan Precinct
31021000006,Lyons Precinct
31021000007,Oakland City 1
31021000008,Oakland City 2
31021000009,Silver Creek-Summit Precinct
31021000010,Tekamah 1
31021000011,Tekamah 2
3102300001W,David City Ward 1
3102300002P,Savannah-Alexis Precinct
3102300002W,David City Ward 2
3102300003W,David City Ward 3
3102300005P,Linwood-Skull Creek - Platte Precinct
3102300006P,Summit-Reading Precinct
3102300008P,Franklin-Bone Creek Precinct
3102300011P,Union-Olive Precinct
3102300013P,Oak Creek-Center Precinct
3102300014P,Read-Ulysses Precinct
3102300016P,Plum Creek-Richardson Precinct
3102500001P,Tipton Precinct
3102500001W,Weeping Water 2nd Ward
3102500002P,McKelverly Precinct
3102500002W,Weeping Water 1st Ward
31025000031,Buccaneer Bay
3102500003P,Salt Creek Precinct
3102500003W,Plattsmouth 1st Ward 1st Precinct
3102500004P,Stove Creek Precinct
3102500004W,Plattsmouth 1st Ward 2nd Precinct
3102500005P,Elmwood Precinct
3102500005W,Plattsmouth 2nd Ward 1st Precinct
3102500006P,South Bend Precinct
3102500006W,Plattsmouth 2nd Ward 2nd Precinct
3102500007W,Plattsmouth 4th Ward 1st Precinct
3102500008P,Center Precinct
3102500008W,Plattsmouth 3rd Ward 1st Precinct
3102500009P,East Louisville Precinct
3102500009W,Plattsmouth 4th Ward 2nd Precinct
3102500010P,West Louisville Precinct
3102500011P,Avoca Precinct
3102500012P,Mount Pleasant Precinct
3102500013P,Eight Mile Grove Precinct
3102500014P,Nehawka Precinct
3102500015P,Liberty Precinct
3102500016P,North Rock Bluff Precinct
3102500017P,West Rock Bluff Precinct
3102500018P,North Plattsmouth Precinct
3102500019P,South Plattsmouth Precinct
3102500020P,South Rock Bluff Precinct
310250003W2,Plattsmouth 3rd Ward 2nd Precinct
3102700001P,Precinct 1
3102700002P,Precinct 2
3102700003P,Precinct 3
3102700004P,Precinct 4
3102700005P,Precinct 8
3102700006P,Precinct 7
3102700007P,Precinct 6
3102700009P,Precinct 5
3102700013P,Precinct 9
3102700015P,Precinct 10
3102700016P,Precinct 11
3102700018P,Precinct 12
3102700020P,Precinct 13
3102900001P,Champion/Lamar Precinct
3102900002P,Imperial Rural Precinct
3102900003P,Wauneta Precinct
3102900007P,Imperial East Precinct
3102900008P,Imperial West Precinct
3103100001P,Merriman Precinct
3103100002P,Cody Precinct
3103100003P,Nenzel Precinct
3103100004P,Kilgore Precinct
3103100005P,Crookston Precinct
3103100006P,North Valentine Precinct
3103100007P,East Valentine Precinct
3103100008P,South Valentine Precinct
3103100009P,Russell Precinct
3103100010P,King Precinct
3103100011P,Barley Precinct
3103100012P,Gillaspie Precinct
3103100013P,Cleveland Precinct
3103100014P,Wood Lake Precinct
3103100015P,Kennedy Precinct
3103100016P,Mother Lake Precinct
3103100017P,Lackey Precinct
