GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
34007043046,1568,1294,792,232,76,11,184,6,502,3377,1310,2009,58
34007043036,1685,1278,865,27,29,8,337,0,413,3752,1192,2531,29
34007175001,1560,1301,1119,70,50,12,31,1,182,4264,2651,1518,95
34007175003,1302,1052,895,36,82,12,24,0,157,3414,1946,1382,86
34007040402,1704,1150,36,831,319,23,4,7,1114,1834,188,1614,32
34007135005,1118,894,518,198,134,21,45,4,376,2951,1035,1858,58
34007005005,1240,1012,855,43,61,13,34,3,157,3491,1353,2024,114
34007043022,1433,1083,944,46,39,3,46,5,139,4917,1853,2955,109
34007080014,820,669,588,38,23,5,14,0,81,2773,1013,1704,56
34007090007,1262,993,913,23,15,22,15,0,80,4096,1699,2319,78
34007020001,2204,1708,1088,123,40,29,418,1,620,4482,2210,2176,96
34007030003,2700,2172,1692,175,141,44,125,4,480,7153,3506,3526,121
34007180102,1972,1677,1238,160,240,17,26,1,439,3986,2632,1295,59
34007170018,2435,1985,893,112,243,26,707,1,1092,3489,693,2732,64
34007170004,2189,1986,1178,100,288,10,413,1,808,3452,894,2494,64
34007175008,854,702,640,19,27,14,7,0,62,1850,1162,659,29
34007175006,879,699,607,32,23,17,11,0,92,3772,2358,1359,55
34007040303,1976,1384,110,749,561,43,23,11,1274,1870,233,1605,32
34007135014,1642,1284,261,451,545,50,41,2,1023,3821,639,3140,42
34007135010,1341,1057,403,275,262,20,119,3,654,3223,955,2204,64
34007125002,1183,964,869,42,18,14,17,0,95,3602,1653,1869,80
34007055002,1331,1123,1014,39,31,5,39,0,109,4570,919,3532,119
34015120002,1775,1276,1063,29,107,21,46,0,213,4989,2837,2055,97
34015045001,1163,932,793,55,42,20,20,3,139,2818,1805,929,84
34033035001,1068,853,652,53,108,20,11,6,201,3112,1802,1236,74
34015045004,1425,1090,762,86,198,18,31,0,328,3994,1698,2220,76
34015120003,933,709,597,38,39,9,24,0,112,2796,1700,1042,54
34015050002,1251,996,892,37,17,15,31,0,104,4024,2023,1894,107
34015050004,1548,1319,1148,42,71,20,32,0,171,4124,1802,2228,94
34015075004,1386,1083,1023,20,23,7,12,0,60,4426,2338,1978,110
34015090011,1039,803,693,35,19,5,47,0,110,3435,1965,1401,69
34015070004,1062,817,603,70,124,13,15,0,214,2206,1076,1090,40
34015070005,998,768,527,68,136,21,12,1,241,1979,955,966,58
34015100001,1380,1098,842,55,142,14,46,1,256,3026,1319,1636,71
34015095003,571,444,419,9,2,5,7,0,25,2124,1005,1067,52
34007077302,1802,1405,1013,282,45,27,40,1,392,3250,1667,1521,62
34007180106,1248,960,456,94,370,28,30,0,504,2732,845,1844,43
34007180104,1706,1400,1028,85,214,26,49,2,372,5327,2518,2713,96
34007045001,1541,1270,561,143,530,25,20,2,709,3798,1140,2596,62
34007180202,1590,1276,800,97,324,33,50,1,476,3412,1572,1793,47
34007180105,1728,1371,1061,112,142,27,36,3,310,5062,2780,2215,67
34007180205,1312,1090,827,96,128,15,20,0,263,3479,2071,1354,54
34007180401,1143,966,713,88,147,20,20,2,253,3110,1511,1545,54
34007005007,885,698,633,23,17,4,21,0,65,2891,1295,1551,45
34007090002,799,656,579,19,14,10,24,3,77,2702,851,1797,54
34007110001,1894,1513,935,216,297,32,64,4,578,4014,1495,2437,82
34007110002,1908,1473,802,260,372,24,45,4,671,3812,1224,2482,106
34007140005,1963,1560,1110,132,248,33,47,3,450,4445,1996,2367,82
34007050001,1754,1378,741,199,364,44,57,3,637,3205,1216,1902,87
34007075028,2240,1727,692,161,773,34,116,1,1035,3733,1079,2600,54
34007075037,974,686,207,74,385,10,26,0,479,1630,191,1416,23
34007077101,1699,1182,789,172,140,35,52,3,393,1999,776,1183,40
34007077201,1196,824,600,92,80,16,34,0,224,1970,695,1234,41
34007077301,2087,1561,1152,170,156,33,57,6,409,2915,1191,1643,81
34007043027,1283,989,750,24,66,7,140,0,239,3853,1331,2459,63
34007043013,1269,959,852,31,14,8,46,1,107,4531,1987,2470,74
34007180306,1594,1171,286,67,717,15,96,2,885,3747,605,3094,48
34007180201,2341,1762,547,122,946,18,162,1,1215,6066,1306,4670,90
34007040106,2086,1440,111,540,832,50,8,9,1329,2471,139,2293,39
34007040110,2159,1492,121,585,809,41,11,1,1371,1913,166,1707,40
34007040109,2099,1391,75,437,921,28,6,2,1316,3263,240,2971,52
34007043026,2033,1578,1238,54,83,13,205,1,340,6015,2008,3925,82
34007043033,1789,1309,987,53,70,17,175,1,322,5495,1908,3507,80
34015025010,1634,1349,1143,78,91,29,13,2,206,4441,2807,1510,124
34015025002,1469,1142,987,41,83,15,15,1,155,4511,2652,1748,111
34015025011,1600,1264,1035,70,92,45,18,5,229,3988,2544,1372,72
34015055404,1059,794,624,64,69,19,24,3,170,2317,1367,898,52
34015055411,700,570,423,36,80,19,11,6,147,1772,981,756,35
34031075009,2454,2077,1810,142,37,10,58,5,267,7576,4090,3256,230
34031075012,2035,1740,1475,135,36,51,28,2,265,5818,3435,2227,156
34031010205,1921,1553,950,328,41,14,226,0,603,4804,2263,2402,139
34031010118,1744,1477,864,249,51,20,296,0,613,5189,2914,2159,116
34031010101,1339,1092,651,239,42,10,167,0,441,3155,1475,1584,96
34031005003,1280,1034,849,132,16,18,16,1,185,4061,2230,1699,132
34031005004,1748,1492,1224,184,13,14,52,2,268,4650,2655,1851,144
