
GEOID,NAME
34001005101,Absecon city ward 1 voting district 1
34001005102,Absecon city ward 1 voting district 2
34001005103,Absecon city ward 1 voting district 3
34001005201,Absecon city ward 2 voting district 1
34001005202,Absecon city ward 2 voting district 2
34001005203,Absecon city ward 2 voting district 3
34001010101,Atlantic City city ward 1 voting district 1
34001010102,Atlantic City city ward 1 voting district 2
34001010103,Atlantic City city ward 1 voting district 3
34001010104,Atlantic City city ward 1 voting district 4
34001010201,Atlantic City city ward 2 voting district 1
34001010202,Atlantic City city ward 2 voting district 2
34001010203,Atlantic City city ward 2 voting district 3
34001010301,Atlantic City city ward 3 voting district 1
34001010302,Atlantic City city ward 3 voting district 2
34001010303,Atlantic City city ward 3 voting district 3
34001010304,Atlantic City city ward 3 voting district 4
34001010401,Atlantic City city ward 4 voting district 1
34001010402,Atlantic City city ward 4 voting district 2
34001010403,Atlantic City city ward 4 voting district 3
34001010404,Atlantic City city ward 4 voting district 4
34001010501,Atlantic City city ward 5 voting district 1
34001010502,Atlantic City city ward 5 voting district 2
34001010601,Atlantic City city ward 6 voting district 1
34001010602,Atlantic City city ward 6 voting district 2
34001010603,Atlantic City city ward 6 voting district 3
34001010604,Atlantic City city ward 6 voting district 4
34001015101,Brigantine city ward 1 voting district 1
34001015201,Brigantine city ward 2 voting district 1
34001015301,Brigantine city ward 3 voting district 1
34001015401,Brigantine city ward 4 voting district 1
34001020001,Buena borough voting district 1
34001020002,Buena borough voting district 2
34001025001,Buena Vista township voting district 1
34001025002,Buena Vista township voting district 2
34001025003,Buena Vista township voting district 3
34001025004,Buena Vista township voting district 4
34001030101,Corbin City city ward 1 voting district 1
34001040001,Egg Harbor township voting district 1
34001040002,Egg Harbor township voting district 2
34001040003,Egg Harbor township voting district 3
34001040004,Egg Harbor township voting district 4
34001040005,Egg Harbor township voting district 5
34001040006,Egg Harbor township voting district 6
34001040007,Egg Harbor township voting district 7
34001040008,Egg Harbor township voting district 8
34001040009,Egg Harbor township voting district 9
34001040010,Egg Harbor township voting district 10
34001040011,Egg Harbor township voting district 11
34001040012,Egg Harbor township voting district 12
34001040013,Egg Harbor township voting district 13
34001040014,Egg Harbor township voting district 14
34001040015,Egg Harbor township voting district 15
34001040016,Egg Harbor township voting district 16
34001040017,Egg Harbor township voting district 17
34001040018,Egg Harbor township voting district 18
34001040019,Egg Harbor township voting district 19
34001040020,Egg Harbor township voting district 20
34001040021,Egg Harbor township voting district 21
34001040022,Egg Harbor township voting district 22
34001042101,Egg Harbor City city ward 1 voting district 1
34001042102,Egg Harbor City city ward 1 voting district 2
34001042103,Egg Harbor City city ward 1 voting district 3
34001042201,Egg Harbor City city ward 2 voting district 1
34001042202,Egg Harbor City city ward 2 voting district 2
34001042203,Egg Harbor City city ward 2 voting district 3
34001045001,Estell Manor city voting district 1
34001050001,Folsom borough voting district 1
34001055001,Galloway township voting district 1
34001055002,Galloway township voting district 2
34001055003,Galloway township voting district 3
34001055004,Galloway township voting district 4
34001055005,Galloway township voting district 5
34001055006,Galloway township voting district 6
34001055007,Galloway township voting district 7
34001055008,Galloway township voting district 8
34001055009,Galloway township voting district 9
34001055010,Galloway township voting district 10
34001055011,Galloway township voting district 11
34001055012,Galloway township voting district 12
34001055013,Galloway township voting district 13
34001055014,Galloway township voting district 14
34001055015,Galloway township voting district 15
34001055016,Galloway township voting district 16
34001055017,Galloway township voting district 17
34001060001,Hamilton township voting district 1
34001060002,Hamilton township voting district 2
34001060003,Hamilton township voting district 3
34001060004,Hamilton township voting district 4
34001060005,Hamilton township voting district 5
34001060006,Hamilton township voting district 6
34001060007,Hamilton township voting district 7
34001060008,Hamilton township voting district 8
34001060009,Hamilton township voting district 9
34001060010,Hamilton township voting district 10
34001060011,Hamilton township voting district 11
34001060012,Hamilton township voting district 12
34001060013,Hamilton township voting district 13
34001065001,Hammonton town voting district 1
34001065002,Hammonton town voting district 2
34001065003,Hammonton town voting district 3
34001065004,Hammonton town voting district 4
34001065005,Hammonton town voting district 5
34001065006,Hammonton town voting district 6
34001065007,Hammonton town voting district 7
34001070101,Linwood city ward 1 voting district 1
34001070102,Linwood city ward 1 voting district 2
34001070201,Linwood city ward 2 voting district 1
34001070202,Linwood city ward 2 voting district 2
34001070203,Linwood city ward 2 voting district 3
34001075001,Longport borough voting district 1
34001080001,Margate City city voting district 1
34001080002,Margate City city voting district 2
34001080003,Margate City city voting district 3
34001080004,Margate City city voting district 4
34001085101,Mullica township ward 1 voting district 1
34001085201,Mullica township ward 2 voting district 1
34001085301,Mullica township ward 3 voting district 1
34001090101,Northfield city ward 1 voting district 1
34001090102,Northfield city ward 1 voting district 2
34001090103,Northfield city ward 1 voting district 3
34001090104,Northfield city ward 1 voting district 4
34001090201,Northfield city ward 2 voting district 1
34001090202,Northfield city ward 2 voting district 2
34001090203,Northfield city ward 2 voting district 3
34001090204,Northfield city ward 2 voting district 4
34001095101,Pleasantville city ward 1 voting district 1
