GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
35009000036,400,300,184,99,3,15,1,0,116,933,749,122,62
35009000028,789,573,149,399,19,16,3,0,424,849,392,386,71
35009000035,1068,808,631,130,18,15,9,1,177,2926,2419,372,135
35045000030,1395,1020,683,150,12,146,32,4,337,3354,2270,895,189
35045000109,1402,1029,254,251,48,465,11,2,775,2233,1367,716,150
35006000022,532,422,3,9,0,404,0,1,419,1023,146,794,83
35006000021,804,581,0,12,2,514,0,0,581,1020,146,752,122
35006000020,1285,944,5,34,4,892,3,7,939,2011,307,1538,166
35006000004,662,539,320,115,2,108,5,1,219,1478,1023,342,113
35006000006,316,247,145,55,8,45,1,0,102,713,423,224,66
35006000014,1086,809,344,324,11,149,5,7,465,2310,1469,711,130
35006000017,2112,1540,5,23,4,1515,4,0,1535,2274,202,1898,174
35006000029,1123,802,21,30,5,764,5,1,781,1297,107,1043,147
35009000041,1029,756,246,432,59,15,11,0,510,1014,589,363,62
35009000021,1089,807,348,377,47,30,25,2,459,1070,612,371,87
35009000009,2190,1554,360,1020,131,49,36,0,1194,2150,954,1039,157
35009000018,2470,1772,1081,399,138,45,109,10,691,3692,2720,821,151
35009000038,854,599,410,94,43,16,46,1,189,1775,1301,396,78
35009000039,885,699,520,118,12,13,32,1,179,2380,1751,531,98
35009000010,863,663,447,175,15,31,11,1,216,1781,1402,304,75
35009000004,900,691,547,102,3,35,6,1,144,2219,1881,128,210
35041000006,530,400,300,90,2,8,1,0,100,1492,1261,97,134
35035000017,1462,1216,761,300,71,38,46,3,455,2050,1228,678,144
35035000047,1422,1076,487,420,81,69,48,4,589,2060,1122,818,120
35035000059,2262,1610,860,304,244,69,108,33,750,614,320,228,66
35035000056,2009,1302,38,141,10,1199,4,1,1264,1343,249,967,127
35035000011,2013,1417,42,131,4,1324,5,3,1375,1697,299,1272,126
35035000022,714,543,287,178,41,22,14,4,256,1476,825,580,71
35035000028,696,530,332,141,16,24,18,1,198,1756,1129,515,112
35035000051,1478,1147,677,334,84,46,32,6,470,2702,1596,950,156
35035000030,815,607,347,189,36,27,9,4,260,1749,902,691,156
35045000016,1689,1286,15,31,4,1256,3,0,1271,3515,1169,1920,426
35045000018,1505,1046,8,17,2,1035,1,0,1038,3549,1332,1894,323
35045000014,466,385,18,8,1,361,4,0,367,1163,277,769,117
35045000077,948,682,358,230,5,90,3,0,324,2251,1713,431,107
35045000051,1917,1397,426,493,16,472,9,0,971,2843,1720,961,162
35045000011,857,648,10,7,3,614,20,0,638,1983,470,1310,203
35045000010,794,647,3,10,0,638,0,2,644,2058,444,1413,201
35045000044,1456,1097,474,283,13,332,14,2,623,3728,2589,910,229
35045000057,1402,1088,806,166,5,103,3,1,282,4030,3187,612,231
35045000103,1381,1027,669,216,19,113,15,1,358,3458,2482,781,195
35045000102,639,473,234,108,3,140,3,0,239,1879,1370,390,119
35045000090,1043,766,466,189,8,100,9,2,300,2197,1680,384,133
35045000017,219,163,0,1,0,160,2,0,163,781,235,491,55
35045000013,1208,925,7,15,3,910,3,0,918,2742,472,2017,253
35045000036,935,720,385,176,8,160,4,4,335,2174,1523,533,118
35045000027,1989,1320,281,181,15,861,12,2,1039,1747,857,770,120
35045000110,1730,1118,70,199,16,846,11,1,1048,2599,1274,1143,182
35009000031,1830,1418,812,374,130,35,59,6,606,1103,705,308,90
35037000001,232,188,171,10,1,4,0,1,17,646,537,13,96
35009000026,1242,900,233,555,85,37,8,2,667,940,431,428,81
35045000006,493,400,5,3,0,394,0,0,395,1314,350,820,144
35045000015,937,661,4,16,2,655,0,1,657,2044,566,1297,181
35045000021,1624,1156,408,72,9,673,14,0,748,3633,2260,1178,195
35045000059,1166,884,624,111,10,136,6,7,260,2999,2253,541,205
35045000003,1244,932,9,9,4,918,1,0,923,2764,744,1753,267
35009000015,1810,1270,507,552,152,55,44,4,763,2240,1344,738,158
35009000023,751,608,416,140,31,20,11,0,192,2203,1742,333,128
35009000034,154,115,96,17,3,1,1,0,19,513,463,24,26
35025000061,1884,1274,216,970,55,30,4,3,1058,1709,916,707,86
35025000036,2087,1434,264,1077,59,54,5,0,1170,1650,1008,538,104
35025000015,1272,870,411,411,13,20,12,0,459,2333,1898,333,102
35025000009,1222,853,369,442,23,14,16,2,484,2379,1936,365,78
35025000013,2540,1747,568,1112,26,47,7,2,1179,3856,2838,813,205
35015000042,99,69,45,20,1,4,0,0,24,183,166,5,12
35025000062,618,452,242,192,8,10,1,0,210,1278,1059,161,58
35025000071,1659,1162,505,582,24,49,8,4,657,2502,1953,402,147
35025000073,1436,1060,401,612,17,24,1,0,659,2231,1723,331,177
