GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
36005000141,1948,1532,47,1158,411,42,145,7,1485,2055,196,1842,17
36005000126,2623,1952,89,1379,507,59,136,12,1863,2410,196,2181,33
36005000142,2562,1893,52,1495,351,77,136,4,1841,2532,203,2297,32
36005000643,1494,1172,18,180,958,18,36,9,1154,2689,98,2575,16
36005000943,2407,1832,118,1013,341,54,439,15,1714,2746,319,2382,45
36005000962,1622,1187,60,620,220,64,332,19,1127,1802,256,1524,22
36005000475,2410,1812,145,974,333,70,462,6,1667,2744,258,2443,43
36005000476,688,537,55,271,101,13,142,5,482,821,135,678,8
36005000418,1687,1367,693,354,195,31,178,3,674,4066,606,3362,98
36005000422,1072,884,444,237,176,14,54,7,440,2564,392,2105,67
36005000847,2261,1622,3,1403,340,51,30,1,1619,2372,144,2205,23
36005000850,2535,1803,25,1132,750,68,24,11,1778,2319,115,2183,21
36005000673,1675,1163,54,591,622,74,54,12,1109,3808,157,3613,38
36005000672,827,639,35,446,233,21,14,4,604,1082,76,991,15
36005000675,1752,1363,250,601,573,47,49,0,1113,2723,135,2537,51
36005000295,1538,1163,132,487,505,23,81,14,1031,1819,124,1667,28
36005000303,2237,1800,127,827,717,34,228,12,1673,3043,376,2630,37
36005000296,1481,1133,274,490,298,28,146,1,859,1749,337,1394,18
36005000300,2276,1746,186,933,615,48,105,1,1560,2972,222,2725,25
36005000507,1062,956,654,205,77,5,45,2,302,2817,1085,1686,46
36099000020,1703,1348,1168,67,44,54,23,4,180,3849,1936,1736,177
36099000006,1388,1009,942,23,5,24,8,0,67,2803,1823,856,124
36099000013,1162,942,839,25,28,24,21,2,103,2698,1052,1542,104
36099000015,764,632,563,18,24,14,14,1,69,1763,692,994,77
36005000780,1128,845,12,588,320,27,10,1,833,1428,90,1317,21
36005000453,1447,1207,448,608,169,6,49,1,759,2653,903,1726,24
36005000381,2220,1758,546,897,299,45,161,9,1212,3654,617,2928,109
36005000430,788,672,430,113,79,5,45,0,242,2520,315,2124,81
36005000018,4117,3155,91,1724,1665,101,45,12,3064,5281,264,4971,46
36005000019,1985,1499,27,1053,645,46,13,7,1472,2566,152,2385,29
36005000513,10250,8612,383,2145,6345,154,165,17,8229,26111,1321,24540,250
36005000557,0,0,0,0,0,0,0,0,0,0,0,0,0
36005000946,3168,2573,60,834,1312,46,544,4,2513,3675,246,3370,59
36005000959,969,780,10,280,453,37,96,2,770,2176,100,2043,33
36005000997,910,711,27,196,400,21,133,0,684,1567,77,1471,19
36005000949,3515,2813,79,981,1304,59,599,8,2734,7305,473,6746,86
36005000957,1669,1326,28,396,694,32,294,0,1298,3108,156,2914,38
36005000948,1068,862,28,279,549,36,76,6,834,2574,125,2423,26
36005000955,3275,2484,82,872,1033,65,631,2,2402,5939,353,5531,55
36005000958,1779,1412,38,434,799,13,230,4,1374,3445,189,3215,41
36005000676,3626,2660,82,1594,1285,48,40,6,2578,4115,218,3838,59
36005000749,4095,2941,57,1742,1298,107,74,6,2884,4878,295,4547,36
36005000764,1172,995,12,449,596,29,18,6,983,3033,95,2902,36
36005000765,3729,2920,51,1774,1385,62,44,6,2869,7155,391,6697,67
36005000255,2009,1503,426,694,287,54,182,5,1077,2068,405,1637,26
36005000121,3723,3605,2446,479,263,57,399,9,1159,1290,192,1059,39
36005000091,1721,1260,99,709,484,45,44,7,1161,1913,130,1751,32
36005000144,2547,1843,264,1208,369,107,97,10,1579,1662,170,1450,42
36005000794,2249,1643,24,1118,608,44,40,6,1619,2920,261,2615,44
36005000231,1775,1321,14,740,694,37,27,0,1307,2371,156,2185,30
36005000178,1539,1119,12,534,667,27,16,2,1107,1960,111,1819,30
36005000179,2113,1527,27,845,815,34,13,6,1500,2414,123,2275,16
36103000494,2508,1927,1148,525,106,42,158,0,779,5945,2379,3424,142
36103000506,1044,839,737,57,3,13,23,0,102,3358,1589,1674,95
36103000186,1057,966,851,62,23,11,14,0,115,3132,1785,1309,38
36103000446,2725,2044,1622,275,95,35,32,1,422,5540,3164,2278,98
36103000051,1602,1323,1113,134,22,7,49,0,210,4101,2256,1760,85
36005000807,2509,1836,18,1124,587,115,109,7,1818,2205,111,2062,32
36005000776,2301,1526,37,794,858,65,25,7,1489,1893,115,1761,17
36005000649,1867,1480,21,287,1165,26,52,10,1459,2687,132,2543,12
36005000362,2050,1508,42,508,1001,32,36,0,1466,2379,84,2258,37
36005000567,3914,3154,119,717,2393,49,89,14,3035,5456,218,5174,64
36005000574,89,80,0,15,72,2,0,0,80,60,1,59,0
36005000282,1000,773,340,202,79,9,163,2,433,1444,476,950,18
36005000302,977,749,38,416,311,27,63,1,711,1309,113,1177,19
36005000187,3310,2344,19,1286,1294,47,13,7,2325,4637,246,4369,22
36005000188,3582,2475,35,1368,1417,45,13,10,2440,4659,210,4419,30
36005000183,2598,1938,48,1266,799,68,24,4,1890,3024,183,2814,27
36005000182,2601,1950,44,1105,991,41,18,7,1906,2820,143,2654,23
36005000614,2107,1534,51,566,965,32,24,7,1483,2283,91,2179,13
36005000494,1457,1151,752,304,75,16,48,1,399,2382,1256,1069,57
36005000631,1406,1121,11,141,956,16,27,6,1110,2065,59,1994,12
36005000342,2471,1837,94,1198,292,51,424,8,1743,2544,303,2219,22
36005000119,167,155,11,66,35,6,46,0,144,64,13,51,0
36005000140,0,0,0,0,0,0,0,0,0,0,0,0,0
