GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
39061031AKJ,1234,1098,419,36,597,8,22,4,679,2835,612,2141,82
39061031ABK,1505,1207,1052,31,62,22,35,2,155,4453,1811,2534,108
39061031BAE,1040,760,663,18,43,18,19,1,97,3237,1882,1300,55
39061031AEK,1241,929,818,26,33,21,39,0,111,3783,1490,2193,100
39061031BKQ,1722,1291,633,36,524,12,75,0,658,5024,1718,3192,114
39061031BLU,1617,1277,648,56,530,16,38,1,629,4746,1649,3009,88
39061031BMA,1501,1195,896,21,180,29,61,0,299,5726,2484,3130,112
39061031AYG,1738,1217,840,20,303,9,41,1,377,5915,1779,3994,142
39061031AOO,2028,1464,1115,42,273,24,11,3,349,4585,2320,2122,143
39061031BQN,1815,1636,1157,61,312,23,81,5,479,2985,521,2357,107
39061031AHE,1837,1620,1117,70,292,30,95,2,503,4419,737,3536,146
39167084ABR,1133,870,801,4,35,29,4,1,69,2968,2156,733,79
39167084ACY,952,747,607,6,98,50,2,0,140,2252,1449,744,59
39167084ACM,547,421,405,4,3,7,1,0,16,1599,1142,422,35
39061031BNQ,1398,1017,858,25,43,16,63,1,159,4983,2860,2043,80
39061031BKN,1720,1300,612,72,555,20,42,6,688,4489,1626,2780,83
39061031ABE,899,775,652,16,67,12,27,0,123,2746,1023,1656,67
39061031AFB,1276,1222,943,73,83,10,108,4,279,1516,504,979,33
39061031BQM,1997,1945,1168,44,602,15,110,5,777,4585,1592,2886,107
39061031AFA,1853,1789,1205,95,311,13,143,2,584,5291,1414,3750,127
39061031AJP,1260,857,75,25,723,17,21,1,782,2385,123,2225,37
39061031AVB,1296,1130,939,48,75,26,40,0,191,3692,1741,1847,104
39061031AFD,1738,1441,1005,22,349,21,45,2,436,4717,674,3920,123
39061031AFC,1406,1252,776,64,325,22,65,1,476,4446,691,3647,108
39061031AWL,1076,844,657,16,133,23,11,1,187,2939,1563,1293,83
39061031ANR,1916,1490,595,71,774,33,28,3,895,4830,853,3847,130
39061031BDM,1108,835,643,28,82,15,40,0,192,3166,1424,1653,89
39061031BDT,1768,1348,1195,43,40,28,36,3,153,5150,2751,2276,123
39061031BAQ,1003,750,696,21,9,12,11,1,54,2464,1634,778,52
39061031AZK,1685,1257,1148,43,10,22,22,1,109,6443,3753,2588,102
39061031BHE,1632,1319,1176,7,78,11,42,1,143,5055,3430,1491,134
39061031BOM,2367,2039,731,75,1113,10,106,0,1308,5375,696,4549,130
39061031AKY,2056,1604,1261,45,230,31,43,10,343,3805,2181,1503,121
39061031AJA,1954,1574,824,103,576,30,55,7,750,5184,998,4054,132
39061031ACB,2285,2112,1442,112,360,35,158,4,670,6190,1937,4071,182
39061031AJN,1956,1648,1195,60,304,30,56,2,453,5958,616,5165,177
39061031BEY,1816,1457,1247,22,111,27,24,1,210,4357,3148,1131,78
39061031BFB,1482,1176,1077,11,29,22,30,0,99,4930,3484,1357,89
39061031BOI,2158,1645,1515,23,52,26,11,0,130,4958,3781,1061,116
