
GEOID,NAME
39001001AAA,BRATTON TOWNSHIP
39001001AAB,BRUSH CREEK TOWNSHIP
39001001AAD,LOCUST GROVE
39001001AAE,GREEN TOWNSHIP
39001001AAG,JEFFERSON TOWNSHIP
39001001AAI,LIBERTY TOWNSHIP
39001001AAK,MANCHESTER UNITED TOWNSHIP
39001001AAN,MEIGS TOWNSHIP
39001001AAP,PEEBLES VILLAGE
39001001AAR,MONROE TOWNSHIP
39001001AAS,OLIVER TOWNSHIP
39001001AAT,SCOTT TOWNSHIP
39001001AAU,SEAMAN VILLAGE
39001001AAW,SPRIGG TOWNSHIP
39001001AAY,TIFFIN EAST
39001001AAZ,TIFFIN WEST
39001001ABA,WEST UNION A
39001001ABC,WEST UNION B
39001001ABE,WAYNE TOWNSHIP
39001001ABG,WINCHESTER TOWNSHIP
39001001ABH,WINCHESTER VILLAGE
39003002AAA,DELPHOS 1A
39003002AAC,DELPHOS 1B
39003002AAE,DELPHOS 2A
39003002AAG,DELPHOS 2B
39003002AAH,LIMA 1A
39003002AAJ,LIMA 1B
39003002AAK,LIMA 1C
39003002AAO,LIMA 2A
39003002AAP,LIMA 2B
39003002AAQ,LIMA 2C
39003002AAW,LIMA 3A
39003002AAX,LIMA 3B
39003002AAY,LIMA 3C
39003002ABE,LIMA 4A
39003002ABF,LIMA 4B
39003002ABH,LIMA 4C
39003002ABI,LIMA 4D
39003002ABP,LIMA 5A
39003002ABQ,LIMA 5B
39003002ABR,LIMA 5C
39003002ABT,LIMA 5D
39003002ABW,LIMA 6A
39003002ABX,LIMA 6B
39003002ABZ,LIMA 6C
39003002ACD,LIMA 7A
39003002ACE,LIMA 7B
39003002ACG,LIMA 7C
39003002ACT,AMANDA E
39003002ACU,AMANDA N
39003002ACW,AMERICAN A
39003002ACX,AMERICAN B
39003002ACY,AMERICAN C
39003002ACZ,AMERICAN D
39003002ADA,AMERICAN E
39003002ADB,AMERICAN F
39003002ADC,AMERICAN G
39003002ADD,AMERICAN H
39003002ADE,AMERICAN I
39003002ADF,AMERICAN J
39003002ADG,AMERICAN K
39003002ADI,AMERICAN L
39003002ADQ,ELIDA A
39003002ADR,ELIDA B
39003002ADT,AUGLAIZE A
39003002ADU,HARROD
39003002ADW,AUGLAIZE B
39003002ADY,BATH A
39003002ADZ,BATH B
39003002AEA,BATH C
39003002AEB,BATH D
39003002AEC,BATH E
39003002AED,BATH F
39003002AEE,BATH G
39003002AEF,BATH H
39003002AEG,BATH I
39003002AEN,JACKSON A
39003002AEO,LAFAYETTE
39003002AEQ,JACKSON B
39003002AES,MARION A
39003002AET,MARION B
39003002AEW,CAIRO
39003002AEX,MONROE E
39003002AEY,MONROE W
39003002AEZ,PERRY C
39003002AFB,PERRY A
39003002AFC,PERRY B
39003002AFE,BEAVERDAM
39003002AFF,RICHLAND A
39003002AFG,RICHLAND B
39003002AFI,BLUFFTON A
39003002AFJ,BLUFFTON B
39003002AFK,BLUFFTON C
39003002AFN,SHAWNEE A
39003002AFO,SHAWNEE B
39003002AFP,SHAWNEE C
39003002AFQ,SHAWNEE D
39003002AFR,SHAWNEE E
39003002AFS,SHAWNEE F
39003002AFT,SHAWNEE G
39003002AFU,SHAWNEE H
39003002AFV,SHAWNEE I
39003002AGB,SHAWNEE J
39003002AGC,SHAWNEE K
39003002AGD,SHAWNEE L
39003002AGI,SPENCER A
39003002AGK,SPENCERVILLE A
39003002AGL,SPENCERVILLE B
39003002AGN,SUGAR CREEK
39005003AAA,ASHLAND CITY 1-A
39005003AAB,ASHLAND CITY 1-B
39005003AAD,ASHLAND CITY 1-C
39005003AAF,ASHLAND CITY 1-D
39005003AAG,ASHLAND CITY 2-A
39005003AAH,ASHLAND CITY 2-B
39005003AAJ,ASHLAND CITY 2-C
39005003AAQ,ASHLAND CITY 3-A
39005003AAS,ASHLAND CITY 3-B
39005003AAU,ASHLAND CITY 3-C
39005003AAV,ASHLAND CITY 3-D
39005003AAZ,ASHLAND CITY 4-A
39005003ABB,ASHLAND CITY 4-B
39005003ABC,ASHLAND CITY 4-C
39005003ABG,CLEAR CREEK
39005003ABI,GREEN TWP #1
39005003ABJ,GREEN TWP #2
39005003ABN,LOUDONVILLE #2
39005003ABO,LOUDONVILLE #1
39005003ABS,JACKSON #1
39005003ABT,JACKSON #2
39005003ABV,LAKE TWP
39005003ABZ,MILTON TWP #1
39005003ACA,MILTON TWP #3
39005003ACB,JEROMESVILLE
39005003ACC,MOHICAN TWP
39005003ACE,MONTGOMERY TWP #1
39005003ACF,MONTGOMERY TWP #2
39005003ACH,MONTGOMERY TWP #3
39005003ACI,ORANGE TWP #1
39005003ACJ,ORANGE TWP #2
39005003ACM,PERRY TWP #1
39005003ACN,RUGGLES TWP
39005003ACO,SULLIVAN TWP #1
39005003ACP,SULLIVAN TWP #2
39005003ACQ,TROY TWP
39005003ACS,VERMILLION TWP #1
39005003ACT,VERMILLION TWP #2
39005003ACV,MIFFLIN TWP
39007004AAA,ASHTABULA 1-A
39007004AAB,ASHTABULA 1-B
39007004AAC,ASHTABULA 1-C
39007004AAE,ASHTABULA 1-D
39007004AAH,ASHTABULA 2-A
39007004AAI,ASHTABULA 2-B
39007004AAJ,ASHTABULA 2-C
39007004AAM,ASHTABULA 2-D
39007004AAN,ASHTABULA 3-A
39007004AAO,ASHTABULA 3-B
39007004AAP,ASHTABULA 3-C
39007004AAQ,ASHTABULA 3-D
39007004AAR,ASHTABULA 4-A
39007004AAS,ASHTABULA 4-B
39007004AAT,ASHTABULA 4-C
39007004AAU,ASHTABULA 4-D
39007004AAW,ASHTABULA 5-A
39007004AAX,ASHTABULA 5-B
39007004AAY,ASHTABULA 5-C
39007004ABA,ASHTABULA 5-D
39007004ABB,CONNEAUT 1-A
39007004ABC,CONNEAUT 1-B
39007004ABD,CONNEAUT 1-C
39007004ABF,CONNEAUT 2-A
39007004ABG,CONNEAUT 2-B
39007004ABI,CONNEAUT 2-C
39007004ABJ,CONNEAUT 3-A
39007004ABK,CONNEAUT 3-B
39007004ABL,CONNEAUT 3-C
39007004ABM,CONNEAUT 3-D
39007004ABN,CONNEAUT 4-A
39007004ABO,CONNEAUT 4-B
39007004ABQ,CONNEAUT 4-C
39007004ABR,GENEVA 1
39007004ABS,GENEVA 2
39007004ABT,GENEVA 3
39007004ABV,GENEVA 4
39007004ABW,GENEVA 5
39007004ABX,GENEVA 6
39007004ABY,GENEVA 7
39007004ABZ,ANDOVER TWP. 1
39007004ACA,ANDOVER TWP. 2
39007004ACB,ANDOVER VILLAGE
39007004ACD,ASHTABULA TWP. 1
39007004ACG,ASHTABULA TWP. 2
39007004ACH,ASHTABULA TWP. 3
39007004ACI,ASHTABULA TWP. 4
39007004ACJ,ASHTABULA TWP. 5
39007004ACM,ASHTABULA TWP. 6
39007004ACO,AUSTINBURG TWP. 1
39007004ACP,AUSTINBURG TWP. 2
39007004ACQ,Cherry Valley
39007004ACR,COLEBROOK TWP.
39007004ACS,DENMARK TWP.
39007004ACT,DORSET TWP.
39007004ACU,GENEVA TWP. 1
39007004ACW,GENEVA TWP. 2
39007004ACX,GENEVA TWP. 3
39007004ACY,GEN ON LAKE VILL
39007004ADA,HARPERSFLD TWP 1
39007004ADB,HARPERSFLD TWP 2
39007004ADC,HARPERSFLD TWP 3
39007004ADD,Hartsgrove Twp
39007004ADF,JEFFERSON TWP. 1
39007004ADG,JEFFERSON TWP. 2
39007004ADH,JEFFERSON TWP 3
39007004ADI,JEFF VILL 1
39007004ADJ,JEFF VILL 2
39007004ADL,JEFF VILL 3
39007004ADM,KINGSVILLE TWP. 1
39007004ADN,KINGSVILLE TWP. 2
39007004ADO,LENOX TWP. 1
39007004ADP,LENOX TWP. 2
39007004ADQ,MONROE TWP. 1
39007004ADR,MONROE TWP. 2
39007004ADS,ROCK CREEK VILLAGE
39007004ADT,MORGAN TWP.
39007004ADU,NEW LYME TWP.
39007004ADV,N KINGS VILL 1
39007004ADW,N KINGS VILL 2
39007004ADX,N KINGS VILL 3
39007004ADZ,ORWELL TWP.
39007004AEA,ORWELL VILLAGE
39007004AEB,PIERPONT TWP.
39007004AEC,PLYMOUTH TWP. 1
39007004AED,PLYMOUTH TWP. 2
39007004AEF,RICHMOND TWP.
39007004AEG,ROME TWP.
39007004AEH,SAYBROOK TWP. 1
39007004AEI,SAYBROOK TWP. 2
39007004AEJ,SAYBROOK TWP. 3
39007004AEK,SAYBROOK TWP. 4
39007004AEL,SAYBROOK TWP. 5
39007004AEM,SAYBROOK TWP. 6
39007004AEO,SAYBROOK TWP. 7
39007004AEP,SAYBROOK TWP. 8
39007004AEQ,SHEFFIELD TWP. 1
39007004AER,SHEFFIELD TWP. 2
39007004AES,TRUMBULL TWP.
39007004AEU,WAYNE TWP.
39007004AEV,WMSFLD TWP 1
39007004AEW,WMSFLD TWP 2
39007004AEX,WINDSOR TWP.
39007004AEZ,ROAMING SHORES VILLAGE
39007ZZZZZZ,Voting Districts Not Defined
39009005AAA,ATHENS 1-1
39009005AAB,ATHENS 1-2
39009005AAD,ATHENS 1-3
39009005AAE,ATHENS 1-4
39009005AAF,ATHENS 1-5
39009005AAG,ATHENS 2-1
39009005AAH,ATHENS 2-2
39009005AAI,ATHENS 2-3
39009005AAJ,ATHENS 2-4
39009005AAK,ATHENS 3-1
39009005AAL,ATHENS 3-2
39009005AAM,ATHENS 3-3
39009005AAN,ATHENS 3-4
39009005AAP,ATHENS 3-5
39009005AAQ,ATHENS 3-6
39009005AAS,ATHENS 4-1
39009005AAU,ATHENS 4-2
39009005AAV,ATHENS 4-3
39009005AAW,ATHENS 4-4
39009005AAX,NELSONVILLE 1
39009005AAZ,NELSONVILLE 2
39009005ABB,NELSONVILLE 3
39009005ABD,NELSONVILLE 4
39009005ABF,ALEXANDER EAST
39009005ABG,ALEXANDER WEST
39009005ABH,AMES TOWNSHIP
39009005ABI,AMESVILLE VLG
39009005ABJ,ATHENS BAKER
39009005ABK,ATHENS EAST
39009005ABL,ATHENS SOUTH
39009005ABM,PLAINS 1
39009005ABN,PLAINS 2
39009005ABO,BERN TOWNSHIP
39009005ABP,CANAAN TOWNSHIP
39009005ABR,CARTHAGE TOWNSHIP
39009005ABS,CHAUNCEY VLG
39009005ABT,CIRCLE HILL
39009005ABU,MILLFIELD
39009005ABV,SUGAR CREEK
39009005ABW,ALBANY VILLAGE
39009005ABX,LEE TOWNSHIP
39009005ABY,LODI TOWNSHIP
39009005ABZ,ROME TOWNSHIP
39009005ACB,JACKSONVILLE
39009005ACC,TRIMBLE TOWNSHIP
39009005ACD,TRIMBLE VILLAGE
39009005ACE,GLOUSTER VILLAGE
39009005ACI,COOLVILLE VILLAGE
39009005ACJ,TROY EAST
39009005ACK,TROY WEST
39009005ACL,NEW MARSHFIELD
39009005ACM,WATERLOO
39009005ACO,BUCHTEL VLG
39009005ACP,YORK TOWNSHIP
39009005ACR,ATHENS 2-5
39009005ACS,ATHENS 4-5
39011006AAA,ST. MARYS 1A
39011006AAB,ST. MARYS 1B
39011006AAC,ST. MARYS 2A
39011006AAD,ST. MARYS 2B
39011006AAE,ST. MARYS 3A
39011006AAF,ST. MARYS 4A
39011006AAG,WAPAKONETA 1A
39011006AAH,WAPAKONETA 1B
39011006AAI,WAPAKONETA 2A
39011006AAJ,WAPAKONETA 2B
39011006AAK,WAPAKONETA 3A
39011006AAL,WAPAKONETA 3B
39011006AAM,WAPAKONETA 4A
39011006AAN,WAPAKONETA 4B
39011006AAO,CLAY
39011006AAP,DUCHOUQUET E
39011006AAR,DUCHOUQUET W
39011006AAS,CRIDERSVILLE E
39011006AAU,GERMAN
39011006AAV,NEW BREMEN E
39011006AAW,NEW BREMEN W
39011006AAX,GOSHEN
39011006AAY,JACKSON
39011006AAZ,MINSTER N
39011006ABA,MINSTER S
39011006ABB,BUCKLAND
39011006ABC,LOGAN
39011006ABD,MOULTON
39011006ABF,NOBLE
39011006ABG,PUSHETA
39011006ABH,ST. MARYS E
39011006ABJ,ST. MARYS W
39011006ABK,SALEM
39011006ABL,UNION
39011006ABN,NEW KNOXVILLE
39011006ABO,WASHINGTON
39011006ABP,WAYNE
39011006ABQ,WAYNESFIELD
39011006ABR,CRIDERSVILLE W
39013007AAA,BELLAIRE VILLAGE 1
39013007AAB,BELLAIRE VILLAGE 2
39013007AAE,BELLAIRE VILLAGE 3
39013007AAF,MARTINS FERRY 1-A
39013007AAH,MARTINS FERRY 2-A
39013007AAJ,MARTINS FERRY 3-A
39013007AAK,MARTINS FERRY 3-B
39013007AAL,MARTINS FERRY 4-A
39013007AAN,ST CLAIRSVILLE 1-A
39013007AAO,ST CLAIRSVILLE 2-A
39013007AAP,ST CLAIRSVILLE 2-B
39013007AAQ,ST CLAIRSVILLE 3-A
