
GEOID,NAME
42001000010,ABBOTTSTOWN
42001000020,ARENDTSVILLE
42001000030,BENDERSVILLE
42001000040,BERWICK
42001000050,BIGLERVILLE
42001000060,BONNEAUVILLE
42001000070,BUTLER
42001000078,CARROLL VALLEY DISTRICT 01
42001000082,CARROLL VALLEY DISTRICT 02
42001000090,CONEWAGO DISTRICT 01
42001000100,CONEWAGO DISTRICT 02
42001000110,CUMBERLAND DISTRICT 01
42001000120,CUMBERLAND DISTRICT 02
42001000130,CUMBERLAND DISTRICT 03
42001000140,CUMBERLAND DISTRICT 04
42001000150,EAST BERLIN
42001000160,FAIRFIELD
42001000170,FRANKLIN DISTRICT 01
42001000180,FRANKLIN DISTRICT 02
42001000190,FREEDOM
42001000200,GERMANY
42001000210,GETTYSBURG WARD 01 PRECINCT 01
42001000230,GETTYSBURG WARD 02
42001000240,GETTYSBURG WARD 03 PRECINCT 01
42001000260,HAMILTON
42001000270,HAMILTONBAN
42001000280,HIGHLAND
42001000290,HUNTINGTON DISTRICT 01
42001000310,LATIMORE
42001000320,LIBERTY
42001000330,LITTLESTOWN WARD 01
42001000340,LITTLESTOWN WARD 02
42001000350,MCSHERRYSTOWN DISTRICT 01
42001000360,MCSHERRYSTOWN DISTRICT 02
42001000370,MENALLEN
42001000380,MOUNT JOY DISTRICT 01
42001000385,MOUNT JOY DISTRICT 02
42001000390,MOUNT PLEASANT DISTRICT 01
42001000400,MOUNT PLEASANT DISTRICT 02
42001000410,NEW OXFORD
42001000425,OXFORD DISTRICT 01
42001000427,OXFORD DISTRICT 02
42001000432,READING DISTRICT 01
42001000434,READING DISTRICT 02
42001000436,READING DISTRICT 03
42001000440,STRABAN DISTRICT 01
42001000450,STRABAN DISTRICT 02
42001000460,TYRONE
42001000480,UNION
42001000490,YORK SPRINGS
42003000010,ALEPPO
42003000021,ASPINWALL DISTRICT 01
42003000031,ASPINWALL DISTRICT 02
42003000050,ASPINWALL DISTRICT 03
42003000061,AVALON WARD 01
42003000081,AVALON WARD 02 DISTRICT 01
42003000091,AVALON WARD 02 DISTRICT 02
42003000101,AVALON WARD 03 DISTRICT 01
42003000111,AVALON WARD 03 DISTRICT 02
42003000121,AVALON WARD 03 DISTRICT 03
42003000130,BALDWIN DISTRICT 01
42003000140,BALDWIN DISTRICT 02
42003000151,BALDWIN DISTRICT 01
42003000161,BALDWIN DISTRICT 02
42003000171,BALDWIN DISTRICT 03
42003000181,BALDWIN DISTRICT 04
42003000191,BALDWIN DISTRICT 05
42003000201,BALDWIN DISTRICT 06
42003000211,BALDWIN DISTRICT 07
42003000221,BALDWIN DISTRICT 08
42003000225,BALDWIN DISTRICT 10
42003000231,BALDWIN DISTRICT 09
42003000235,BALDWIN DISTRICT 11
42003000261,BALDWIN DISTRICT 12
42003000271,BALDWIN DISTRICT 13
42003000281,BALDWIN DISTRICT 14
42003000291,BALDWIN DISTRICT 15
42003000295,BALDWIN DISTRICT 16
42003000301,BALDWIN DISTRICT 17
42003000305,BALDWIN DISTRICT 18
42003000310,BELL ACRES
42003000321,BELLEVUE WARD 01 DISTRICT 01
42003000331,BELLEVUE WARD 01 DISTRICT 02
42003000351,BELLEVUE WARD 02 DISTRICT 01
42003000361,BELLEVUE WARD 02 DISTRICT 02
42003000371,BELLEVUE WARD 03 DISTRICT 01
42003000381,BELLEVUE WARD 03 DISTRICT 02
42003000400,BEN AVON DISTRICT 01
42003000411,BEN AVON DISTRICT 02
42003000430,BEN AVON HEIGHTS
42003000441,BETHEL PARK WARD 01 DISTRICT 01
42003000446,BETHEL PARK WARD 01 DISTRICT 02
42003000452,BETHEL PARK WARD 01 DISTRICT 03
42003000461,BETHEL PARK WARD 02 DISTRICT 01
42003000466,BETHEL PARK WARD 02 DISTRICT 02
42003000472,BETHEL PARK WARD 02 DISTRICT 03
42003000481,BETHEL PARK WARD 03 DISTRICT 01
42003000486,BETHEL PARK WARD 03 DISTRICT 02
42003000493,BETHEL PARK WARD 03 DISTRICT 03
42003000501,BETHEL PARK WARD 04 DISTRICT 01
42003000511,BETHEL PARK WARD 04 DISTRICT 02
42003000522,BETHEL PARK WARD 04 DISTRICT 03
42003000530,BETHEL PARK WARD 05 DISTRICT 01
42003000540,BETHEL PARK WARD 05 DISTRICT 02
42003000542,BETHEL PARK WARD 05 DISTRICT 03
42003000551,BETHEL PARK WARD 06 DISTRICT 01
42003000562,BETHEL PARK WARD 06 DISTRICT 02
42003000565,BETHEL PARK WARD 06 DISTRICT 03
42003000571,BETHEL PARK WARD 07 DISTRICT 01
42003000576,BETHEL PARK WARD 07 DISTRICT 02
42003000582,BETHEL PARK WARD 07 DISTRICT 03
42003000591,BETHEL PARK WARD 08 DISTRICT 01
42003000596,BETHEL PARK WARD 08 DISTRICT 02
42003000602,BETHEL PARK WARD 08 DISTRICT 04
42003000603,BETHEL PARK WARD 08 DISTRICT 03
42003000623,BETHEL PARK WARD 09 DISTRICT 01
42003000624,BETHEL PARK WARD 09 DISTRICT 03
42003000625,BETHEL PARK WARD 09 DISTRICT 02
42003000631,BLAWNOX DISTRICT 01
42003000650,BRACKENRIDGE WARD 01
42003000660,BRACKENRIDGE WARD 02
42003000670,BRACKENRIDGE WARD 03
42003000711,BRADDOCK WARD 01
42003000720,BRADDOCK WARD 02
42003000721,BRADDOCK WARD 03
42003000750,BRADDOCK HILLS DISTRICT 01
42003000760,BRADDOCK HILLS DISTRICT 02
42003000770,BRADFORD WOODS
42003000781,BRENTWOOD DISTRICT 01
42003000791,BRENTWOOD DISTRICT 02
42003000801,BRENTWOOD DISTRICT 03
42003000811,BRENTWOOD DISTRICT 04
42003000821,BRENTWOOD DISTRICT 05
42003000831,BRENTWOOD DISTRICT 06
42003000841,BRENTWOOD DISTRICT 07
42003000851,BRENTWOOD DISTRICT 08
42003000861,BRENTWOOD DISTRICT 09
42003000865,BRENTWOOD DISTRICT 10
42003000871,BRIDGEVILLE DISTRICT 01
42003000881,BRIDGEVILLE DISTRICT 02
42003000891,BRIDGEVILLE DISTRICT 03
42003000901,BRIDGEVILLE DISTRICT 04
42003000920,CARNEGIE WARD 01 DISTRICT 01
42003000930,CARNEGIE WARD 01 DISTRICT 02
42003000940,CARNEGIE WARD 01 DISTRICT 03
42003000950,CARNEGIE WARD 01 DISTRICT 04
42003000961,CARNEGIE WARD 02 DISTRICT 01
42003000980,CARNEGIE WARD 02 DISTRICT 02
42003000990,CARNEGIE WARD 02 DISTRICT 03
42003001000,CARNEGIE WARD 02 DISTRICT 04
42003001011,CASTLE SHANNON DISTRICT 01
42003001021,CASTLE SHANNON DISTRICT 02
42003001031,CASTLE SHANNON DISTRICT 03
42003001041,CASTLE SHANNON DISTRICT 04
42003001051,CASTLE SHANNON DISTRICT 05
42003001061,CASTLE SHANNON DISTRICT 06
42003001068,CASTLE SHANNON DISTRICT 07
42003001073,CASTLE SHANNON DISTRICT 08
42003001080,CHALFANT
42003001091,CHESWICK DISTRICT 01
42003001101,CHESWICK DISTRICT 02
42003001110,CHURCHILL DISTRICT 01
42003001120,CHURCHILL DISTRICT 02
42003001130,CHURCHILL DISTRICT 03
42003001140,CHURCHILL DISTRICT 04
42003001150,CLAIRTON WARD 01 DISTRICT 01
42003001160,CLAIRTON WARD 01 DISTRICT 02
42003001170,CLAIRTON WARD 01 DISTRICT 03
42003001180,CLAIRTON WARD 02 DISTRICT 01
42003001190,CLAIRTON WARD 02 DISTRICT 02
42003001200,CLAIRTON WARD 02 DISTRICT 03
42003001210,CLAIRTON WARD 03 DISTRICT 01
42003001220,CLAIRTON WARD 03 DISTRICT 02
42003001230,CLAIRTON WARD 03 DISTRICT 03
42003001240,CLAIRTON WARD 04 DISTRICT 01
42003001250,CLAIRTON WARD 04 DISTRICT 02
42003001260,CLAIRTON WARD 04 DISTRICT 03
42003001282,COLLIER WARD 01
42003001292,COLLIER WARD 02
42003001302,COLLIER WARD 03
42003001322,COLLIER WARD 04
42003001324,COLLIER WARD 05
42003001326,COLLIER WARD 06
42003001331,CORAOPOLIS WARD 01 DISTRICT 01
42003001341,CORAOPOLIS WARD 01 DISTRICT 02
42003001351,CORAOPOLIS WARD 02
42003001371,CORAOPOLIS WARD 03 DISTRICT 01
42003001381,CORAOPOLIS WARD 03 DISTRICT 02
42003001390,CORAOPOLIS WARD 04 DISTRICT 01
42003001400,CORAOPOLIS WARD 04 DISTRICT 02
42003001411,CRAFTON WARD 01 DISTRICT 01
42003001420,CRAFTON WARD 01 DISTRICT 02
42003001440,CRAFTON WARD 02 DISTRICT 01
42003001451,CRAFTON WARD 02 DISTRICT 02
42003001471,CRAFTON WARD 03 DISTRICT 01
42003001490,CRAFTON WARD 03 DISTRICT 02
42003001500,CRESCENT WARD 01
42003001510,CRESCENT WARD 02
42003001520,DORMONT DISTRICT 01
42003001541,DORMONT DISTRICT 03
42003001550,DORMONT DISTRICT 04
42003001561,DORMONT DISTRICT 05
42003001570,DORMONT DISTRICT 06
42003001580,DORMONT DISTRICT 07
42003001590,DORMONT DISTRICT 08
42003001600,DORMONT DISTRICT 09
42003001610,DORMONT DISTRICT 10
42003001630,DORMONT DISTRICT 02
42003001641,DRAVOSBURG DISTRICT 01
42003001660,DRAVOSBURG DISTRICT 03
42003001670,DRAVOSBURG DISTRICT 02
42003001680,DUQUESNE WARD 01 DISTRICT 01
42003001690,DUQUESNE WARD 01 DISTRICT 02
42003001700,DUQUESNE WARD 01 DISTRICT 03
42003001710,DUQUESNE WARD 01 DISTRICT 04
42003001730,DUQUESNE WARD 02 DISTRICT 01
42003001740,DUQUESNE WARD 02 DISTRICT 02
42003001750,DUQUESNE WARD 02 DISTRICT 03
42003001770,DUQUESNE WARD 03 DISTRICT 01
42003001780,DUQUESNE WARD 03 DISTRICT 02
42003001790,DUQUESNE WARD 03 DISTRICT 03
42003001811,EAST DEER WARD 01
42003001831,EAST DEER WARD 02
42003001850,EAST MCKEESPORT DISTRICT 01
42003001860,EAST MCKEESPORT DISTRICT 02
42003001870,EAST MCKEESPORT DISTRICT 03
42003001880,EAST PITTSBURGH WARD 01
42003001890,EAST PITTSBURGH WARD 02
42003001901,EAST PITTSBURGH WARD 03
42003001921,EDGEWOOD DISTRICT 01
42003001931,EDGEWOOD DISTRICT 02
42003001941,EDGEWOOD DISTRICT 03
42003001960,EDGEWORTH DISTRICT 01
42003001970,EDGEWORTH DISTRICT 02
42003001980,ELIZABETH WARD 01 DISTRICT 01
42003001981,ELIZABETH WARD 01 DISTRICT 02
42003001990,ELIZABETH WARD 02
42003001998,ELIZABETH WARD 03
42003002010,ELIZABETH WARD 04 DISTRICT 01
42003002011,ELIZABETH WARD 04 DISTRICT 02
42003002022,ELIZABETH WARD 05 DISTRICT 01
42003002025,ELIZABETH WARD 05 DISTRICT 02
42003002032,ELIZABETH WARD 06 DISTRICT 01
42003002035,ELIZABETH WARD 06 DISTRICT 02
42003002043,ELIZABETH WARD 07
42003002071,ELIZABETH
42003002090,EMSWORTH DISTRICT 01
42003002100,EMSWORTH DISTRICT 02
42003002111,ETNA WARD 01
42003002131,ETNA WARD 02
42003002150,ETNA WARD 03
42003002160,FAWN DISTRICT 01
42003002170,FAWN DISTRICT 02
42003002180,FINDLAY DISTRICT 01
42003002190,FINDLAY DISTRICT 02
42003002200,FINDLAY DISTRICT 03
42003002211,FOREST HILLS DISTRICT 01
42003002221,FOREST HILLS DISTRICT 02
42003002231,FOREST HILLS DISTRICT 03
42003002240,FOREST HILLS DISTRICT 04
