
GEOID,NAME
44001440101,Barrington 1
44001440102,Barrington 2
44001440103,Barrington 3
44001440104,Barrington 4
44001440105,Barrington 5
44001440201,Bristol 1
44001440202,Bristol 2
44001440203,Bristol 3
44001440204,Bristol 4
44001440205,Bristol 5
44001440206,Bristol 6
44001440207,Bristol 7
44001440208,Bristol 8
44001440209,Bristol 9
44001443401,Warren 1
44001443402,Warren 2
44001443403,Warren 3
44003440601,Coventry 1
44003440602,Coventry 2
44003440603,Coventry 3
44003440604,Coventry 4
44003440605,Coventry 5
44003440606,Coventry 6
44003440607,Coventry 7
44003440608,Coventry 8
44003440609,Coventry 9
44003440610,Coventry 10
44003440611,Coventry 11
44003440612,Coventry 12
44003440613,Coventry 13
44003440614,Coventry 14
44003440615,Coventry 15
44003440616,Coventry 16
44003440617,Coventry 17
44003440618,Coventry 18
44003440901,East Greenwich 1
44003440902,East Greenwich 2
44003440903,East Greenwich 3
44003440904,East Greenwich 4
44003440905,East Greenwich 5
44003443501,Warwick 1
44003443502,Warwick 2
44003443503,Warwick 3
44003443504,Warwick 4
44003443505,Warwick 5
44003443506,Warwick 6
44003443507,Warwick 7
44003443508,Warwick 8
44003443509,Warwick 9
44003443510,Warwick 10
44003443511,Warwick 11
44003443512,Warwick 12
44003443513,Warwick 13
44003443514,Warwick 14
44003443515,Warwick 15
44003443516,Warwick 16
44003443517,Warwick 17
44003443518,Warwick 18
44003443519,Warwick 19
44003443520,Warwick 20
44003443521,Warwick 21
44003443522,Warwick 22
44003443523,Warwick 23
44003443524,Warwick 24
44003443525,Warwick 25
44003443526,Warwick 26
44003443527,Warwick 27
44003443528,Warwick 28
44003443529,Warwick 29
44003443530,Warwick 30
44003443531,Warwick 31
44003443532,Warwick 32
44003443533,Warwick 33
44003443701,West Greenwich 1
44003443702,West Greenwich 2
44003443703,West Greenwich 3
44003443704,West Greenwich 4
44003443801,West Warwick 1
44003443802,West Warwick 2
44003443803,West Warwick 3
44003443804,West Warwick 4
44003443805,West Warwick 5
44003443806,West Warwick 6
44003443807,West Warwick 7
44003443808,West Warwick 8
44003443809,West Warwick 9
44003443810,West Warwick 10
44005441501,JAMESTOWN 1
44005441502,JAMESTOWN 2
44005441801,LITTLE COMPTON 1
44005441901,MIDDLETOWN 1
44005441902,MIDDLETOWN 2
44005441903,MIDDLETOWN 3
44005441904,MIDDLETOWN 4
44005441905,MIDDLETOWN 5
44005442101,NEWPORT 1
44005442102,NEWPORT 2
44005442103,NEWPORT 3
44005442104,NEWPORT 4
44005442105,NEWPORT 5
44005442106,NEWPORT 6
44005442107,NEWPORT 7
44005442108,NEWPORT 8
44005442109,NEWPORT 9
44005442701,PORTSMOUTH 1
44005442702,PORTSMOUTH 2
44005442703,PORTSMOUTH 3
44005442704,PORTSMOUTH 4
44005442705,PORTSMOUTH 5
44005442706,PORTSMOUTH 6
44005442707,PORTSMOUTH 7
44005442708,PORTSMOUTH 8
44005443301,TIVERTON 1
44005443302,TIVERTON 2
44005443303,TIVERTON 3
44005443304,TIVERTON 4
44005443305,TIVERTON 5
44005443306,TIVERTON 6
44005443307,TIVERTON 7
44005ZZZZZZ,Voting Districts Not Defined
44007440301,Burrillville 1
44007440302,Burrillville 2
44007440303,Burrillville 3
44007440304,Burrillville 4
44007440305,Burrillville 5
44007440306,Burrillville 6
44007440401,Central Falls 1
44007440402,Central Falls 2
44007440403,Central Falls 3
44007440404,Central Falls 4
44007440405,Central Falls 5
44007440406,Central Falls 6
44007440407,Central Falls 7
44007440408,Central Falls 8
44007440701,Cranston 1
44007440702,Cranston 2
44007440703,Cranston 3
44007440704,Cranston 4
44007440705,Cranston 5
44007440706,Cranston 6
44007440707,Cranston 7
44007440708,Cranston 8
44007440709,Cranston 9
44007440710,Cranston 10
44007440711,Cranston 11
44007440712,Cranston 12
44007440713,Cranston 13
44007440714,Cranston 14
44007440715,Cranston 15
44007440716,Cranston 16
44007440717,Cranston 17
44007440718,Cranston 18
44007440719,Cranston 19
44007440720,Cranston 20
44007440721,Cranston 21
44007440722,Cranston 22
44007440723,Cranston 23
44007440724,Cranston 24
44007440725,Cranston 25
44007440726,Cranston 26
44007440727,Cranston 27
44007440728,Cranston 28
44007440729,Cranston 29
44007440730,Cranston 30
44007440731,Cranston 31
44007440801,Cumberland 1
44007440802,Cumberland 2
44007440803,Cumberland 3
44007440804,Cumberland 4
44007440805,Cumberland 5
44007440806,Cumberland 6
44007440807,Cumberland 7
44007440808,Cumberland 8
44007440809,Cumberland 9
44007440810,Cumberland 10
44007440811,Cumberland 11
44007440812,Cumberland 12
44007440813,Cumberland 13
44007441001,East Providence 1
44007441002,East Providence 2
44007441003,East Providence 3
44007441004,East Providence 4
44007441005,East Providence 5
44007441006,East Providence 6
44007441007,East Providence 7
44007441008,East Providence 8
44007441009,East Providence 9
44007441010,East Providence 10
44007441011,East Providence 11
44007441012,East Providence 12
44007441013,East Providence 13
44007441014,East Providence 14
44007441015,East Providence 15
44007441016,East Providence 16
44007441017,East Providence 17
44007441018,East Providence 18
44007441201,Foster 1
44007441202,Foster 2
44007441301,Glocester 1
44007441302,Glocester 2
44007441303,Glocester 3
44007441304,Glocester 4
44007441601,Johnston 1
44007441602,Johnston 2
44007441603,Johnston 3
44007441604,Johnston 4
44007441605,Johnston 5
44007441606,Johnston 6
44007441607,Johnston 7
44007441608,Johnston 8
44007441609,Johnston 9
44007441610,Johnston 10
44007441611,Johnston 11
44007441612,Johnston 12
44007441613,Johnston 13
44007441701,Lincoln 1
44007441702,Lincoln 2
44007441703,Lincoln 3
44007441704,Lincoln 4
44007441705,Lincoln 5
44007441706,Lincoln 6
44007441707,Lincoln 7
44007441708,Lincoln 8
44007441709,Lincoln 9
44007441710,Lincoln 10
44007441711,Lincoln 11
44007442401,North Providence 1
44007442402,North Providence 2
44007442403,North Providence 3
44007442404,North Providence 4
44007442405,North Providence 5
44007442406,North Providence 6
44007442407,North Providence 7
44007442408,North Providence 8
44007442409,North Providence 9
44007442410,North Providence 10
44007442411,North Providence 11
44007442412,North Providence 12
44007442413,North Providence 13
44007442414,North Providence 14
44007442415,North Providence 15
44007442416,North Providence 16
44007442501,North Smithfield 1
44007442502,North Smithfield 2
44007442503,North Smithfield 3
44007442504,North Smithfield 4
44007442505,North Smithfield 5
44007442601,Pawtucket 1
44007442602,Pawtucket 2
44007442603,Pawtucket 3
44007442604,Pawtucket 4
44007442605,Pawtucket 5
44007442606,Pawtucket 6
44007442607,Pawtucket 7
44007442608,Pawtucket 8
44007442609,Pawtucket 9
44007442610,Pawtucket 10
44007442611,Pawtucket 11
44007442612,Pawtucket 12
44007442613,Pawtucket 13
44007442614,Pawtucket 14
44007442615,Pawtucket 15
44007442616,Pawtucket 16
44007442617,Pawtucket 17
44007442618,Pawtucket 18
44007442619,Pawtucket 19
44007442620,Pawtucket 20
44007442621,Pawtucket 21
44007442622,Pawtucket 22
44007442623,Pawtucket 23
44007442624,Pawtucket 24
44007442625,Pawtucket 25
44007442626,Pawtucket 26
44007442627,Pawtucket 27
44007442628,Pawtucket 28
44007442629,Pawtucket 29
44007442630,Pawtucket 30
44007442631,Pawtucket 31
44007442801,Providence 1
44007442802,Providence 2
44007442803,Providence 3
44007442804,Providence 4
44007442805,Providence 5
44007442806,Providence 6
44007442807,Providence 7
44007442808,Providence 8
44007442809,Providence 9
44007442810,Providence 10
44007442811,Providence 11
44007442812,Providence 12
44007442813,Providence 13
44007442814,Providence 14
44007442815,Providence 15
44007442816,Providence 16
44007442817,Providence 17
44007442818,Providence 18
44007442819,Providence 19
44007442820,Providence 20
44007442821,Providence 21
44007442822,Providence 22
44007442823,Providence 23
44007442824,Providence 24
44007442825,Providence 25
44007442826,Providence 26
44007442827,Providence 27
44007442828,Providence 28
44007442829,Providence 29
44007442830,Providence 30
44007442831,Providence 31
44007442832,Providence 32
44007442833,Providence 33
44007442834,Providence 34
44007442835,Providence 35
44007442836,Providence 36
44007442837,Providence 37
44007442838,Providence 38
44007442839,Providence 39
