GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
45079000401,944,584,31,2,547,5,0,0,553,1898,68,1807,23
45079000132,1205,985,34,15,935,11,9,1,951,3105,82,2984,39
45079000458,3678,3167,539,179,2449,29,3,5,2628,7714,251,7359,104
45079000446,2846,2241,270,229,1747,27,53,4,1971,4943,358,4503,82
45079000426,4466,3567,777,357,2426,64,55,8,2790,10830,1819,8841,170
45079000129,2030,1631,224,36,1356,14,15,8,1407,4912,273,4544,95
45071000005,857,652,112,51,482,19,4,0,540,1873,273,1585,15
45071000020,934,729,433,100,171,33,5,0,296,2143,1370,718,55
45071000001,724,532,249,60,216,21,3,2,283,1488,666,791,31
45071000034,157,126,109,2,12,2,0,0,17,626,445,162,19
45071000040,1083,875,776,15,62,14,2,0,99,3563,2894,581,88
45071000015,2076,1761,1581,31,107,27,5,0,180,7443,5805,1495,143
45079000448,3420,2457,1124,110,1133,46,68,8,1333,8511,3210,5159,142
45079000126,10666,8494,3891,1891,2191,120,491,71,4603,5500,1721,3617,162
45079000483,4592,3524,1647,265,1405,53,177,12,1877,9734,4080,5499,155
45079000484,3436,2545,1182,155,934,50,234,4,1363,7865,3424,4281,160
45071000002,2330,2120,1540,257,296,23,11,0,580,3906,2389,1406,111
45071000019,679,548,399,19,114,15,0,0,149,2033,1450,563,20
45071000042,1504,1160,789,88,269,12,1,0,371,4488,2842,1550,96
45071000027,2131,1599,649,290,636,19,13,4,950,4496,1983,2426,87
45079000480,2522,1896,312,71,1484,31,21,2,1584,5665,501,5085,79
45079000479,1810,1326,165,52,1101,10,12,2,1161,4240,328,3831,81
45079000102,2394,2333,1565,133,462,26,158,1,768,2525,427,2048,50
45079000455,2531,2070,851,62,1098,33,41,1,1219,7402,2080,5185,137
45079000507,2530,1928,727,145,974,32,70,3,1201,5191,1597,3501,93
45079000442,2151,1738,279,46,1406,22,7,2,1459,5946,772,5092,82
45079000441,1825,1482,234,26,1210,4,6,3,1248,5219,542,4636,41
45079000403,2585,2119,1739,74,177,34,93,3,380,7802,5584,2072,146
45079000402,2309,1723,1213,71,241,37,162,0,510,6387,3820,2368,199
45079000431,2515,1867,1059,79,643,40,56,3,808,7068,2809,4031,228
45079000420,1931,1402,967,42,277,26,84,2,435,6030,3056,2800,174
45079000478,2726,2050,443,110,1415,54,54,4,1607,6122,688,5342,92
45079000413,3169,2239,553,100,1504,20,74,7,1686,8777,1833,6827,117
45079000474,3503,2603,788,145,1586,46,95,4,1815,9311,2243,6881,187
45079000452,2980,2262,83,80,2086,24,9,0,2179,7855,203,7579,73
45079000440,1865,1536,703,82,719,27,21,2,833,5307,1648,3531,128
45079000492,1883,1502,983,41,434,16,30,1,519,6208,2824,3245,139
45079000493,1954,1494,965,57,334,26,115,1,529,6443,3520,2820,103
45079000491,1567,1143,907,20,145,20,46,3,236,5247,3371,1747,129
45079000109,1379,1233,119,34,1059,18,21,4,1114,3158,126,2970,62
45079000449,4335,3200,962,165,1966,70,105,9,2238,9683,2569,6932,182
45079000408,3818,2876,1291,119,1387,31,65,3,1585,10748,4295,6235,218
45079000501,3572,2677,2358,70,113,69,55,3,319,10404,8146,2065,193
45079000421,3596,2456,1903,91,304,37,120,0,553,10372,6575,3551,246
45079000400,2200,1725,1016,67,539,23,76,5,709,6422,2619,3637,166
45079000513,3325,2611,544,109,1880,48,70,1,2067,5791,634,5051,106
45071000007,1297,884,111,88,678,22,2,0,773,2147,253,1860,34
45071000008,1998,1522,810,105,579,24,21,1,712,4055,2059,1910,86
45079000123,1308,1040,806,17,170,13,33,0,234,4300,1394,2791,115
45079000457,2326,1840,1336,65,352,40,49,5,504,7287,3681,3435,171
45079000417,1696,1312,589,68,577,23,55,5,723,4768,1772,2802,194
45079000118,2026,1669,478,83,1073,18,13,4,1191,4649,591,3972,86
45079000464,4509,3472,1418,160,1734,80,137,11,2054,11256,4085,6950,221
45079000508,3719,2875,1404,368,908,62,172,14,1471,9429,4083,5123,223
45079000514,3982,3350,2018,130,904,44,270,6,1332,11133,5330,5589,214
45079000463,1758,1387,639,59,617,24,55,8,748,5421,1971,3339,111
45079000465,2863,2255,570,143,1468,53,55,2,1685,8291,1461,6661,169
45079000114,2026,1670,1474,48,101,12,29,1,196,7362,2693,4466,203
45079000467,1120,821,563,19,204,24,9,1,258,3355,1804,1473,78
45079000466,1871,1358,886,62,310,50,73,1,472,5971,2884,2921,166
45079000468,1532,1120,647,57,374,15,35,0,473,4745,2009,2604,132
45071000039,1027,833,578,52,193,7,2,1,255,3061,1960,1040,61
45071000013,889,779,590,11,161,15,0,0,189,2929,1899,969,61
45071000036,1099,838,481,31,307,10,6,0,357,3186,1742,1364,80
45071000051,1632,1282,810,42,404,22,6,0,472,3808,2227,1507,74
45071000028,1504,1207,915,23,245,13,10,2,292,4692,3220,1379,93
45079000462,2478,2028,871,81,1032,37,20,4,1157,6813,2662,4026,125
45079000113,2788,2332,1962,94,173,35,64,10,370,9097,2892,5970,235
45079000494,3706,2931,1584,116,1106,54,67,14,1347,11713,4349,7104,260
45079000450,4179,3211,660,83,2408,33,55,12,2551,10932,1499,9286,147
45079000459,1070,927,503,28,374,5,17,2,424,3325,1285,1989,51
45079000406,2980,2377,1672,92,493,48,84,11,705,8474,5248,3059,167
45079000430,1995,1652,1396,39,165,25,38,8,256,6941,3796,3027,118
45079000131,1728,1494,236,45,1200,20,13,0,1258,3355,113,3183,59
45079000103,2011,1654,1074,41,475,27,48,8,580,6286,1663,4421,202
45079000405,3208,2668,240,83,2340,37,19,2,2428,7467,296,7111,60
45079000415,2288,1695,85,73,1523,23,14,0,1610,5359,202,5078,79
45079000427,1046,885,12,18,860,16,1,0,873,3231,70,3127,34
45079000122,2175,1727,169,68,1487,11,8,6,1558,5800,260,5457,83
45079000439,3481,2811,1238,124,1337,45,78,16,1573,8358,2240,5890,228
45079000472,1784,1276,574,56,586,25,40,4,702,3200,1152,1971,77
45079000125,2579,1965,1660,121,146,20,17,1,305,7643,5020,2450,173
45023000001,2059,1568,810,29,699,26,5,0,758,3805,1421,2306,78
45023000003,1237,1018,672,11,315,13,3,5,346,4183,2156,1959,68
45023000011,2436,1867,1268,46,492,42,16,3,599,6144,3647,2415,82
45079000497,4584,3231,682,175,2196,66,176,14,2549,11653,2131,9337,185
45079000454,2991,2011,277,109,1544,28,71,16,1734,7290,805,6403,82
45079000509,5427,4054,674,189,3067,43,115,6,3380,11929,1445,10293,191
45027000016,1615,1469,559,45,866,11,1,0,910,2258,1351,893,14
45027000019,349,284,96,15,170,3,1,0,188,1753,533,1219,1
45027000006,2116,1812,1051,51,677,38,12,1,761,7036,3770,3192,74
45027000020,2784,2431,1533,45,775,51,19,5,898,8073,4567,3421,85
