GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
47135006954,823,636,599,4,25,8,0,0,37,1483,1188,273,22
47135006952,1119,828,787,7,5,21,1,1,41,1579,1238,301,40
47071003705,2799,2169,1932,37,116,57,15,1,237,6319,4798,1425,96
47157008171,3199,2419,36,50,2322,34,6,5,2383,4614,118,4350,146
47157008195,7119,5116,280,641,4074,33,136,0,4836,10255,794,9239,222
47099005174,692,515,495,3,7,9,2,2,20,1359,1199,146,14
47099005163,2368,1846,1769,16,25,30,11,1,77,4743,4005,668,70
47099005162,1714,1156,1095,13,7,26,8,3,61,2449,2018,383,48
47099005164,2410,1755,1614,38,67,29,6,0,141,3308,2512,743,53
47099005165,2617,1966,1785,24,67,53,19,2,181,4989,4060,867,62
47099005167,2510,1944,1722,54,84,59,20,2,222,3793,2831,901,61
47099005159,1213,916,836,25,17,27,5,0,80,2264,1773,458,33
47099005173,1521,1090,1000,14,11,48,6,0,90,2434,1931,458,45
47017000819,441,350,297,12,22,18,1,1,53,701,548,144,9
47017000803,1837,1424,1254,18,90,51,10,2,170,2974,2247,674,53
47043002267,4569,3460,2627,331,358,100,35,2,833,6009,3578,2261,170
47043002256,2266,1775,1576,54,81,50,8,2,199,4160,3064,1007,89
47043002255,4401,3340,2886,131,143,102,75,0,454,7903,5468,2214,221
47101005251,1336,1023,949,24,31,8,4,1,74,2647,2133,473,41
47083004304,1218,933,857,25,11,36,2,0,76,2324,1683,590,51
47079004112,2847,2515,2365,34,18,56,19,10,150,6996,5405,1483,108
47079004110,2673,2015,1440,44,454,56,18,2,575,3871,1968,1797,106
47079004106,2289,1738,1560,28,58,60,11,0,178,4395,3348,952,95
47157008190,4999,3690,451,119,3080,46,22,1,3239,8277,896,7160,221
47157008170,4610,3415,51,43,3295,37,16,4,3364,5660,166,5336,158
47071003702,1388,1079,965,23,46,24,17,0,114,1994,1598,347,49
47071003703,2551,1919,1641,40,147,57,16,3,278,3081,2394,587,100
47071003704,2768,2127,1863,35,135,67,29,4,264,4461,3305,1044,112
47071003707,1292,1003,920,30,20,27,9,1,83,2269,1827,398,44
47071003716,511,410,376,10,14,6,4,1,34,837,616,194,27
47071003712,1254,925,867,5,13,28,5,0,58,2061,1792,241,28
47071003718,787,670,559,18,56,30,5,0,111,1831,1353,424,54
47157008079,6720,5322,2367,414,2302,92,182,8,2955,13088,5537,7267,284
47157008237,6863,5168,1694,699,2438,131,241,12,3474,8583,2722,5593,268
47157008110,7654,6164,964,263,4627,82,284,2,5200,9833,648,8844,341
47157008231,7802,5955,1437,328,4034,61,96,5,4518,13580,2792,10420,368
47157008064,5393,3967,1334,226,2233,66,104,5,2633,9655,2865,6569,221
47157008250,11095,7612,388,874,6289,114,72,4,7224,12797,904,11586,307
47157008070,5327,3969,3365,137,213,83,152,1,604,13365,9996,3049,320
47157008168,7889,5702,555,511,4600,37,29,4,5147,10989,644,10040,305
47157008131,4380,3214,27,47,3117,37,5,2,3187,6890,227,6451,212
47157008233,8138,5981,1370,384,4058,64,137,2,4611,9549,1758,7499,292
47157008182,4361,3115,716,179,2193,53,13,1,2399,3765,761,2902,102
47157008184,6459,4118,371,105,3627,50,12,1,3747,6036,623,5193,220
47085004406,2692,2094,1987,14,22,47,12,1,107,5043,3611,1311,121
47085004405,2798,2067,1938,25,31,47,12,2,129,4858,3356,1415,87
47085004407,2838,2183,2030,50,20,59,11,3,153,5492,4041,1338,113
47085004404,2011,1623,1510,31,19,40,8,3,113,4156,3048,1022,86
47085004401,2658,2085,1859,38,130,33,8,0,226,5385,3516,1759,110
47085004403,2705,2089,1835,63,146,31,15,0,254,3698,2187,1406,105
47049002559,605,488,463,7,3,10,2,1,25,1376,1092,267,17
47049002557,1786,1465,1391,25,3,43,5,0,74,3123,2634,423,66
47049002551,771,633,616,0,1,16,0,0,17,2023,1694,311,18
47049002562,2239,1679,1590,35,4,39,15,0,89,4206,3541,592,73
47049002553,1657,1300,1263,4,1,28,3,0,37,3760,2970,735,55
47049002561,1492,1178,1146,16,2,13,4,0,32,3237,2681,493,63
47049002552,1804,1387,1316,28,1,26,5,0,71,3345,2744,513,88
47083004302,1232,972,919,17,10,15,1,0,53,2481,1721,691,69
47083004303,1091,848,748,9,75,15,4,0,100,1809,1111,624,74
47083004306,1250,1035,940,11,50,23,3,5,95,2267,1524,683,60
47099005160,2845,1933,1868,24,6,25,4,0,65,4097,3250,749,98
47099005161,2409,1805,1741,14,8,30,6,1,64,4352,3461,821,70
47099005151,2410,1834,1730,36,12,49,5,0,104,4624,3345,1202,77
47079004101,2583,2085,1909,56,59,54,7,1,176,5213,3965,1118,130
47101005252,1405,1062,995,17,16,20,10,3,67,2765,2200,515,50
47101005253,1453,1125,1054,21,19,26,4,0,71,2708,2184,480,44
47101005257,1475,1062,978,28,14,26,11,2,84,2600,2140,430,30
