
GEOID,NAME
47001000001,Andersonville
47001000002,Briceville
47001000003,Bull Run
47001000004,Claxton
47001000005,Clinton
47001000006,Clinton High
47001000007,Clinton Middle School
47001000008,Dutch Valley
47001000009,Emory Valley
47001000010,Fairview
47001000011,Glen Alpine
47001000012,Glenwood
47001000013,Hendrix Creek
47001000014,Highland View
47001000015,Lake City
47001000016,Lake City Middle School
47001000017,Marlow
47001000018,Norris
47001000019,North Clinton
47001000020,Norwood
47001000021,Oak Ridge City Hall
47001000022,Pine Valley
47001000023,Robertsville
47001000024,Rosedale
47001000025,South Clinton
47001000026,West Hills
47001000027,Woodland
47003000101,101 Wartrace Baptist Church
47003000102,102 Bell Buckle/Webb School
47003000103,203 Fairhaven Baptist Church
47003000104,303 Uniounville Fire Hall
47003000105,403 Bedford Community Center
47003000106,502 Flat Creek Community Center
47003000107,505 Normandy Baptist Church
47003000108,601 East Side School
47003000109,701 Deery Eakin School
47003000110,801 Thomas School
47003000111,902 Southside School
47005000201,2 Camden High School
47005000202,4 Camden Elementary School
47005000203,3 Benton Co. Courthouse
47005000204,1 Holladay School
47005000205,5 Benton Co. Courthouse
47005000206,6 Big Sandy School
47007000301,Bellview
47007000302,Brayton
47007000303,Cold Springs
47007000304,Dill
47007000305,Griffith
47007000306,Lee Station
47007000307,Luminary
47007000308,Lusk
47007000309,Mt.Crest
47007000310,Nine Mile
47007000311,Pikeville
47007000312,Rigsby
47009000401,Townsend
47009000402,Oak View
47009000403,Blount County Board of Education
47009000404,Maryville Junior High
47009000405,Prospect
47009000406,Rockford
47009000407,Middlesettlements
47009000408,Alcoa High School
47009000409,Mentor
47009000410,Beech Grove
47009000411,Martin Luther King
47009000412,Oak Street
47009000413,Everett
47009000414,Maryville Municipal
47009000415,Big Springs
47009000416,Friendsville
47009000417,William Blount High
47009000418,Lanier
47009000419,William Blount Academy
47009000420,Maryville High School
47009000421,Miser Station
47009000423,Louisville
47009000424,Heritage
47009000425,Chilhowee View
47009000426,Walland
47009000427,Montvale
47009000429,Porter
47009000430,John Sevier
47009000431,Eagleton Cafeteria
47009000432,Maryville College
47009000433,Fairview
47009000434,Carpenters
47009000435,Happy Valley
47009000436,Pellissippi Campus
47011000501,101 McDonald Ruritan
47011000502,701 Stuart School
47011000503,604 Black Fox School
47011000504,201 E.L. Ross School
47011000505,202 Walker Valley High
47011000506,302 Senior Center
47011000507,702 Cleveland High
47011000508,402 Michigan Ave School
47011000509,301 Lee University
47011000510,502 5 Points Museum
47011000511,601 Valley View School
47011000512,401 Oak Grove School
47011000513,603 Waterville School
47011000514,501 Blythe/Bower School
47011000515,602 Blue Springs School
47011000516,102 Prospect School
47011000517,103 Hopewell School
47013000601,College Hill
47013000602,Caryville
47013000603,West LaFollette
47013000604,Valley View
47013000605,Elk Valley
47013000607,LaFollette Elementary School
47013000608,East LaFollette
47013000609,Jacksboro
47013000610,Campbell County High School
47013000611,Jacksboro Station
47013000612,Pinecrest
47013000613,Ridgewood
47013000614,Clinchmore
47013000615,Demory
47013000616,Alder Springs
47013000617,Well Springs
47013000618,Habersham
47013000619,White Oak
47013000620,Newcomb
47013000621,Jellico
47015000701,Westside
47015000702,Gassaway
47015000703,Woodland
47015000704,Eastside
47015000705,Woodbury
47015000706,Auburntown
47015000707,Pleasant Ridge
47015000708,2 Short Mountain
47015000709,4 Short Mountain
47017000801,2 Trezevant
47017000802,7 Macedonia
47017000803,12 Bruceton
47017000804,5 Cedar Grove
47017000805,8 Civic Center
47017000806,19 Concord
47017000807,9 Huntingdon Police Station
47017000808,17 Senior Citizens
47017000809,21 Bethel
47017000810,4 McLemoresville
47017000811,14 Vale
47017000812,6 Clarksburg
47017000813,20 Westport
47017000814,18 Cannon
47017000815,13 Hollow Rock
47017000816,1 Lavinia
47017000817,16 Atwood
47017000818,22 McKenzie City hall
47017000819,11 Buena Vista
47019000901,Happy Valley
47019000902,Central
47019000903,Range
47019000904,Westside
47019000905,High School
47019000906,Court House
47019000907,Keenburg
47019000908,Hunter
47019000909,Siam
47019000910,Eastside
47019000911,Valley Forge
47019000912,Harold McCormick
47019000913,Little Milligan
47019000914,Elk Mills
47019000915,Roan Mountain
47019000916,Hampton
47019000917,Gap Creek
47019000918,Tiger Valley
47019000919,Unaka
47019000920,Watauga
47019000921,Midway
47019000922,National Guard Armory
47021001001,2-1 East Cheatham Elementary
47021001002,4-1 West Cheatham Elementary
47021001003,3-1 Pleasant View First Baptist Church
47021001004,1-1 Cheatham Co Library
47021001005,5-1 Greenbrier Church of Christ
47021001006,6-1 Harpeth High School
47021001007,5-2 Pegram City Hall
47021001008,4-3 Sycamore Middle School
47023001101,2-2 Friendship
47023001102,4-1 West Chester School
47023001103,3-2 Montezuma
47023001104,1-5 Sweet Lips
47023001105,5-1 East Chester School
47023001106,6-1 City Hall
47023001107,2-1 Jacks Creek
47023001108,1-2 Enville
47023001109,1-6 Harmony
47023001110,3-6 Deanburg
47023001111,3-4 Masseyville
47025001201,7-1 Arthur
47025001202,9-1 Clairfield
47025001203,5-1 Big Spring Union
47025001204,6-1 Harrogate
47025001205,2-2 Goin
47025001206,3-2 New Tazewell
47025001207,3-1 Lone Mountain
47025001208,8-2 Vanbebber Springs
47025001209,7-2 Cumberland Gap
47025001210,1-1 Tazewell
47025001211,2-3 Sandlick
47025001212,4-1 Gibson Hall
47025001213,2-1 Clouds
47025001214,4-2 Howard's Quarter
47025001215,4-4 Springdale
47025001216,4-3 Liberty
47025001217,8-1 Rogers Mill
47027001301,4-1 Maple Grove
47027001302,5-1 Arcot/Beech Bethany
47027001303,1 Dentons Cross Roads
47027001304,5-2 Pea Ridge
47027001305,3 Celina
47027001306,4-2 Butlers Landing
47027001307,2 Hermitage Springs
47029001401,Long Creek
47029001402,Cocke County High School
47029001403,Centerview
47029001404,Del Rio
47029001405,Smoky Mountain
47029001406,Newport Grammar School
47029001407,Northport
47029001408,Grassy Fork
47029001409,Edwina
47029001410,Cosby
47029001411,Armory
47029001412,Edgemont
47029001413,Rankin
47029001414,Forest Hill
47029001415,West End
47029001416,Central
47029001417,Bridgeport
47029001418,Houston Valley
47029001419,Parrottsville
47031001501,01 Ada Right Center
47031001502,02 Saint Paul United Methodist Church
47031001503,03 Trinity Baptist Church
47031001504,04 First Baptist Church
47031001505,05 Hillsboro Community Center
47031001506,06 Tennessee Vocational Center
47031001507,07 Forrest Mill Church of Christ Activity Center
47031001508,08 New Union Fire Hall
47031001509,10 Mt. Ararat Baptist Church
47031001510,11 Freedonia Community Center
47031001511,12 North Coffee Elementary School
47031001512,13-1 Blanton's Chapel Community Center
47031001513,13-2 Grace Baptist Center
47031001514,14 Hickerson Fire Hall
47031001515,15 Grace Baptist Church
47031001516,16 Lions Club
47031001517,17 National Guard Armory
47031001518,18 First Christian Church
47031001519,19 CD Stamps Center
47031001520,20 Coffee County Senior Citizens
47031001521,21 Wilson Avenue Church of Christ
47031001522,9-1 Pocahontas Community Center
47031001523,9-2 Summitville Community Center
47033001601,4
47033001602,1
47033001603,2
47033001604,9
47033001605,10
47033001606,11
47033001607,12
47033001608,5
47033001609,3
47033001610,7
47033001611,8
47033001612,6
47035001701,Bakers
47035001702,Big Lick
47035001703,Chestnut Hill
47035001704,Complex 2
47035001705,Cornerstone Baptist Church
47035001706,Crab Orchard Town Hall
47035001707,Dorton
47035001708,Fairfield Glade North
47035001709,Fairfield Glade South
47035001710,Grassy Cove
47035001711,Homestead
47035001712,Lantana
47035001713,Linary
47035001714,Mayland
47035001715,Midway
47035001716,Oak Hill
47035001717,Ozone-Pineview
47035001718,Pleasant Hill
47035001719,Pomona
47035001720,Rinnie
47035001721,Tabor
47035001722,Tansi
47035001723,Vandever
47035001724,Woody
47037001801,1-1
47037001802,1-2
47037001803,1-3
47037001804,1-4
47037001805,1-5
47037001806,2-1
47037001807,2-2
47037001808,2-3
47037001809,2-4
47037001810,2-5
47037001811,3-1
47037001812,3-2
47037001813,3-3
47037001814,3-4
47037001815,3-5
47037001816,3-6
47037001817,4-1
47037001818,4-2
47037001819,4-3
47037001820,4-4
47037001821,5-1
47037001822,5-2
47037001823,5-3
47037001824,5-4
47037001825,5-5
47037001826,6-1
47037001827,6-2
47037001828,6-3
47037001829,6-4
47037001830,6-5
47037001831,7-1
47037001832,7-2
47037001833,7-3
47037001834,7-4
47037001835,7-5
47037001836,7-6
47037001837,8-1
47037001838,8-2
47037001839,8-3
47037001840,8-4
47037001841,9-1
47037001842,9-2
47037001843,9-3
47037001844,10-1
47037001845,10-2
47037001846,10-3
47037001847,10-4
47037001848,10-5
47037001849,10-6
47037001850,11-1
47037001851,11-2
47037001852,11-3
47037001853,11-4
47037001854,12-1
47037001855,12-2
47037001856,12-3
47037001857,12-4
47037001858,12-5
47037001859,13-1
47037001860,13-2
47037001861,13-3
47037001862,13-4
47037001863,14-1
47037001864,14-2
47037001865,14-3
47037001866,14-4
47037001867,14-5
47037001868,15-1
47037001869,15-2
47037001870,15-3
47037001871,15-4
47037001872,15-5
47037001873,16-1
47037001874,16-2
47037001875,16-3
47037001876,16-4
47037001877,16-5
47037001878,17-1
47037001879,17-2
47037001880,17-3
47037001881,17-4
47037001882,17-5
47037001883,17-6
47037001884,17-7
47037001885,18-1
47037001886,18-2
47037001887,18-3
47037001888,18-4
47037001889,18-5
47037001890,19-1
47037001891,19-2
47037001892,19-3
47037001893,19-4
47037001894,19-5
47037001895,19-6
47037001896,20-1
47037001897,20-2
47037001898,20-3
47037001899,21-1
47037001900,21-2
47037001901,21-3
47037001902,21-4
47037001903,22-1
47037001905,22-3
47037001906,22-4
47037001907,23-1
47037001908,23-2
47037001909,23-3
47037001910,23-4
47037001911,23-5
47037001912,24-1
47037001913,24-2
47037001914,24-3
47037001915,24-4
47037001916,24-5
47037001917,24-6
47037001918,25-1
47037001919,25-2
47037001920,25-3
47037001921,25-4
47037001922,26-1
47037001923,26-2
47037001924,26-3
47037001925,26-4
47037001926,27-1
47037001927,27-2
47037001928,27-3
47037001929,28-1
47037001930,28-2
47037001931,28-3
47037001932,29-1
47037001933,29-2
47037001934,29-3
47037001935,29-4
47037001936,30-1
47037001937,30-2
47037001938,30-3
47037001939,30-4
47037001940,31-1
47037001941,31-2
47037001942,31-3
47037001943,31-4
47037001944,32-1
47037001945,32-2
47037001946,32-3
47037001947,32-4
47037001948,33-1
47037001949,33-2
47037001950,33-3
47037001951,33-4
47037001953,34-1
47037001954,34-2
47037001955,34-3
47037001956,34-4
47037001957,34-5
47037001958,35-1
47037001959,35-2
47037001960,35-3
47037001961,35-4
47039002051,Scotts Hill
47039002052,4th Decaturville
47039002053,3rd Decaturville
47039002054,Dunbar
47039002055,5th Parsons
47039002056,6th Parsons
47039002057,7-1 Jeanette
47039002058,8th Parsons
47039002059,9-2 Hydro
47039002060,Liberty
47039002061,9th Beacon
47039002062,Perryville
47039002063,3rd Beacon
47041002151,1-3 Edgar Evins State Park
47041002152,2-1 Liberty
47041002153,3 Church of God
47041002154,6-3 Blue Springs
47041002155,4-3 Courthouse
47041002156,7 Church of Christ Annex
47041002157,5-2 County Complex
47041002158,1-1 Alexandria
47041002159,1-2 Temperence Hall
47041002160,2-2 Dowelltown
47041002161,2-3 Snows Hill
47041002162,4-2 Rock Castle
47041002164,5-1 Johnson Chapel
47041002165,6-2 Keltonburg
47041002166,6-1 Belk
47043002251,6-2 Porter Community Center
47043002252,6-1 Burns Church of Christ
47043002253,12-2 Greater Things Baptist Church
47043002254,12-1 White Bluff Community Center
47043002255,7-1 Pomona Baptist Church
47043002256,2-1 Eno Community Center
47043002257,2-2 TN City Fire Hall
47043002258,3-1 Calvary Chapel
47043002259,3-2 Vanleer Town Hall
47043002260,4-1 Jackson Chapel
47043002261,5-1 White Bluff Civic Center
47043002262,1-2 Sylvia Baptist Church
47043002263,1-1 Charlotte Fagan UMC
47043002264,9-1 Restoration Church
47043002265,10-1 First Baptist Church
47043002266,11-1 Tennsco Community Center
47043002267,8-1 Senior Citizens
47045002351,A - Bonicord
47045002352,A - Fowlkes
47045002353,B - Newbern
47045002354,C-Tatumville
47045002355,C - Roellen
47045002356,C - Trimble
47045002357,D-Bogota
47045002358,D - Millsfield
47045002359,E - Finley
47045002360,E - Lenox
47045002361,F - Dyer County Central
47045002362,G - Courthouse
47045002363,H - E. Dyersburg
47045002364,I - Community Center
47045002365,I - Hurricane Hill
47045002366,J-N Dyersburg
47047002451,6 Oakland
47047002452,7 Hickory White
47047002453,8 Elba
47047002454,9 Piperton
47047002455,10 Rossville
47047002456,11 Macon
47047002457,13 Moscow
47047002458,12 Williston
47047002459,15 La Grange
47047002460,14 Parks
47047002461,2 Fayette Corner
47047002462,4 Braden
47047002463,5 Gallaway
47047002464,3 Garnett
47047002465,1 Somerville
47049002551,Armathwaite
47049002552,Banner
47049002553,Allardt
47049002554,Courthouse
47049002555,Pine Haven
47049002556,Clarkrange
47049002557,Community Center
47049002558,Crossroad
47049002559,Pall Mall
47049002560,West Fentress
47049002561,Tinchtown
47049002562,Grimsley
47049002563,East Jamestown
47051002651,1-1 FC Annex
47051002652,2-1 Clark Memorial
47051002653,3-1 Broadview
47051002654,3-2 Huntland
47051002655,3-3 Walnut Grove
47051002656,4-1 Belvidere
47051002657,4-2 Cowan
47051002658,4-3 Liberty
47051002659,5-1 Keith Springs
47051002660,5-2 Sewanee
47051002661,5-3 Sherwood
47051002662,6-1 Alto/Oak Grove
47051002663,6-2 Capitol Hill
47051002664,6-3 UTSI
47051002665,7-1 North Lake
47051002666,7-2 Winchester Springs & Center Grove
47051002667,8-1 Decherd
47051002668,8-2 Estill Springs
47051005757,Monteagle
47051005764,South Pittsburg
47053002751,01 Medina
47053002752,02 Sitka Community Center
47053002753,04 Gibson
47053002754,06 Humboldt Ch of Chr
47053002755,07 Humboldt Park
47053002756,08 St. James Baptist Church
47053002757,09 Humboldt Lane Chapel
47053002758,10 Humboldt High School
47053002759,13 Fruitland
47053002760,12 Edison
47053002761,14 Brazil
47053002762,20 CourtHouse
47053002763,22 Agri Plex
47053002764,24 Moore's Chapel
47053002765,26 Union Central
47053002766,27 Skullbone
47053002767,28 Cumberland Presbyterian Church
47053002768,29 Milan Polk Clark
47053002769,30 Milan Assembly/God
47053002770,31 Milan Muni Bldg
47053002771,17 Yorkville
47053002772,18 Kenton
47053002773,40 Rutherford
47053002774,32 Bradford
47053002775,34 Laneview
47053002776,37 Good Luck
47053002777,38 Dyer
47053002778,39 Currie
47055002851,1B Prospect
47055002852,2B Airport
47055002853,2A Minor Hill
47055002854,1A Ardmore
47055002855,3A Richland Trace Market
47055002856,3B Campbellsville
47055002857,4A Lynnville
47055002858,4B Odds Fellows Hall
47055002859,5A TCAT
47055002860,5B Agri-Park
47055002861,6A MMC Martin Methodist College
47055002862,6B BMS Bridgeforth Middle School
47055002863,7A GCHS Giles County High School
47055002864,7B Recreation Center
47057002951,4-2 Washburn Ele. School
47057002952,1-2 Old Central Point School
47057002953,1-1 Rutledge Middle School
47057002954,3-2 Indian Ridge Comm. Blg.
47057002955,3-1 Blaine City Hall
47057002956,4-1 Thorn Hill Comm. Blg.
47057002957,2-1 Bean Station Ele. School
47057002958,2-2 Grainger High School
47057002959,5-2 Senior Citizens Center
47057002960,5-1 Bean Station Library
47059003052,Camp Creek
47059003053,Nolachuckey
47059003054,McDonald
47059003059,Debusk
47059003061,High School
47059003063,Tusculum View
47059003065,Court House
47059003066,Middle School
47059003067,Baileyton
47059003069,Doak
47059003072,Chuckey Doak
47059003073,Chuckey
47059003076,West Pines
47059003077,South Greene
47059003080,Ottway
47059003082,Mosheim
47059003084,Glenwood
47061003152,Beersheba
47061003153,Altamont
47061003154,Collins
47061003155,Central
47061003156,Tracy
47061003157,Cross Roads
