
GEOID,NAME
49001BEA4UN,Beaver 4 U N
49001BEV1I-,Beaver 1
49001BEV2I-,Beaver 2
49001BEV3I-,Beaver 3 I
49001BEV3UE,Beaver 3 U E
49001BEV3UN,Beaver 3 U N
49001BEV3US,Beaver 3 U S
49001BEV3UW,Beaver 3 U W
49001BEV4UE,Beaver 4 U E
49001BEV4US,Beaver 4 U S
49001GRN1UN,Greenville 1 U N
49001GRN1US,Greenville 1 U S
49001MIL1I-,Milford 1 I
49001MIL2I-,Milford 2 I
49001MIL2UN,Milford 2 U N
49001MIL2UW,Milford 2 U W
49001MIL2WW,Milford 2 U WW
49001MIL3UE,Milford 3 U E
49001MIL3UN,Milford 3 U N
49001MIL3US,Milford 3 U S
49001MNV1I-,Minersville 1 I
49001MNV1UE,Minersville 1 U E
49001MNV1UW,Minersville 1 U W
49003BC0001,Brigham City 1
49003BC0002,Brigham City 2
49003BC0003,Brigham City 3
49003BC0004,Brigham City 4
49003BC0005,Brigham City 5
49003BC0006,Brigham City 6
49003BC0007,Brigham City 7
49003BC0008,Brigham City 8
49003BC0009,Brigham City 9
49003BC0010,Brigham City 10
49003BC0011,Brigham City 11
49003BC0012,Brigham City 12
49003BC0013,Brigham City 13
49003BC0014,Brigham City 14
49003BC0015,Brigham City 15
49003BC00UN,Brigham City U N
49003BDC000,Beaver Dam / Collinston
49003BEAR0E,Bear River East
49003BEAR0I,Bear River City I
49003BEARUN,Bear River City U N
49003BEARUS,Bear River City U S
49003CC0000,Clear Creek
49003COR002,Corinne 2
49003COR01I,Corinne 1 I
49003COR1UN,Corinne 1 U N
49003COR1US,Corinne 1 U S
49003DEWY0I,Dewyville I
49003DEWY0U,Dewyville U
49003ELWD0I,Elwood I
49003ELWD0U,Elwood U
49003FLD01I,Fielding 1 I
49003FLD2UE,Fielding 2 U E
49003FLD2UW,Fielding 2 U W
49003GAR01I,Garland 1 I
49003GAR02I,Garland 2 I
49003GAR02U,Garland 2 U
49003GAR0UE,Garland U E
49003GAR1UE,Garland 1 U E
49003GAR1UN,Garland 1 U N
49003GC0000,Grouse Creek
49003HONEYI,Honeyville I
49003HONEYU,Honeyville U
49003HOWL0I,Howell I
49003HOWLUE,Howell U E
49003HOWLUN,Howell U N
49003HOWLUW,Howell U W
49003LAKE00,Lake
49003MANT0I,Mantua I
49003MANTUN,Mantua U N
49003MANTUS,Mantua U S
49003PARK00,Park Valley
49003PER002,Perry 2
49003PER003,Perry 3
49003PER01I,Perry 1 I
49003PER01U,Perry 1 U
49003PER04I,Perry 4 I
49003PER04U,Perry 4 U
49003PLYM0I,Plymouth I
49003PLYMUC,Plymouth U C
49003PLYMUE,Plymouth U E
