GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
51117000901,377,305,278,0,24,1,0,0,27,1256,1092,161,3
51117000601,1407,1165,800,33,320,20,7,0,365,3200,2083,1087,30
51117000201,1012,819,428,13,372,5,9,1,391,2410,1207,1176,27
51117000803,1283,1052,627,15,395,8,6,0,425,3216,1837,1347,32
51117000702,1339,1426,739,32,645,13,3,2,687,3259,2056,1181,22
51053000201,2055,1482,738,176,538,29,20,3,744,4185,1655,2488,42
51053000202,4049,3181,2148,110,811,56,45,3,1033,9760,5860,3822,78
51053000502,4398,3281,1395,113,1691,67,30,0,1886,10458,3208,7136,114
51053000102,1812,1458,1138,27,243,42,3,0,320,4593,3343,1210,40
51053000402,1822,1406,944,27,392,38,11,0,462,4523,2464,2011,48
51053000403,1010,819,437,14,353,18,4,1,382,3234,1495,1711,28
51147000601,2608,2040,998,37,979,33,16,4,1042,7256,3155,3998,103
51147000501,1339,1053,715,16,303,15,6,1,338,3936,2391,1501,44
51163000203,987,929,795,29,60,17,23,2,134,1869,847,982,40
51147000302,976,722,319,12,370,13,4,4,403,2813,1078,1688,47
51147000301,1838,1451,828,23,562,26,14,3,623,4638,2184,2387,67
51163000503,748,611,591,4,7,10,0,0,20,2752,1583,1130,39
51117000802,1622,1376,993,28,345,8,3,0,383,4093,2812,1254,27
51163000501,928,719,679,9,6,11,4,0,40,2179,1720,434,25
51163000301,1648,1259,1053,29,137,32,11,1,206,3890,2192,1652,46
51009000303,957,766,653,3,87,12,0,0,113,3127,2145,939,43
51005005701,2088,1649,1338,28,236,32,7,2,311,3892,1901,1910,81
51005005601,2233,1843,1636,22,153,18,7,2,207,5483,3005,2401,77
51079000401,5392,4156,3262,258,335,84,215,5,894,14092,8165,5519,408
51079000201,5609,4324,3247,334,474,83,145,6,1077,13871,8051,5468,352
51113000003,1244,936,788,31,92,17,9,0,148,3573,2375,1146,52
51137000101,3244,2660,2191,119,282,54,21,3,469,9941,6022,3775,144
51003000603,4050,3189,2892,70,104,53,59,1,297,15352,6859,8212,281
51079000101,1896,1466,1363,32,23,36,15,0,103,5597,3835,1661,101
51079000301,4791,3754,3216,110,312,50,38,8,538,11621,7403,3978,240
51113000006,1354,1094,996,9,63,16,10,1,98,4313,2583,1639,91
51700000302,4924,3775,1028,465,2184,117,79,24,2747,7956,1540,6301,115
51700000108,10176,7406,3034,1051,2906,191,416,72,4372,11125,2515,8419,191
51700000106,8776,6452,2076,987,3029,192,363,34,4376,15894,4178,11403,313
51700000311,4351,3488,1128,108,2167,79,52,8,2360,9996,2243,7620,133
51700000102,8073,5644,1289,573,3504,143,258,32,4355,13953,2324,11391,238
51700000314,2424,1964,921,81,880,44,55,6,1043,5466,1975,3356,135
51163000202,2679,2252,2094,33,36,39,49,2,158,6834,4141,2569,124
