GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
53001000122,256,198,187,3,2,2,3,1,11,888,740,135,13
53001000121,216,170,158,4,0,6,0,1,12,972,725,192,55
53001000123,381,257,241,9,1,7,3,2,16,654,559,76,19
53001000111,401,330,261,37,0,23,11,3,69,845,561,257,27
53001000321,158,130,111,2,1,9,1,1,19,452,306,113,33
53001000115,332,262,248,4,1,7,2,1,14,1106,732,359,15
53001000222,54,33,31,0,0,0,0,0,2,237,205,22,10
53001000323,374,240,223,12,2,5,1,0,17,330,275,41,14
53001000113,343,276,245,10,3,12,5,0,31,1150,704,422,24
53001000112,320,238,210,12,1,18,4,1,28,743,506,230,7
53001000114,371,300,247,26,5,11,3,0,53,1061,670,371,20
53001000311,535,396,326,42,2,16,8,2,70,1390,922,452,16
53001000325,68,47,27,19,0,2,1,0,20,93,43,35,15
53001000322,71,54,42,6,0,1,4,0,12,181,142,32,7
53001000221,126,103,94,3,2,1,3,2,9,457,357,67,33
53001000324,115,78,48,25,2,5,2,0,30,251,225,16,10
53001000313,79,53,21,30,0,0,0,0,32,146,116,25,5
53001000211,71,51,41,8,1,1,0,0,10,195,148,44,3
53001000212,211,159,146,5,1,4,1,2,13,626,439,159,28
53001000516,1015,678,293,366,4,34,7,2,385,1499,1193,265,41
53001000515,956,613,197,399,1,53,8,5,416,1059,727,305,27
53001000416,2012,1202,192,982,5,40,19,1,1010,1608,826,740,42
53001000514,973,645,216,412,1,29,6,2,429,1459,958,490,11
53001000512,1642,971,156,805,1,48,4,2,815,1095,655,424,16
53001000511,1208,814,77,734,2,25,0,0,737,795,293,480,22
53001000411,384,255,91,147,1,14,14,1,164,325,177,138,10
53001000513,1788,1097,301,781,2,43,6,4,796,1923,1263,642,18
53001000414,1109,752,238,484,5,23,17,8,514,1677,902,736,39
53001000412,1770,1140,229,892,5,21,8,3,911,1802,756,1008,38
53001000415,1384,903,233,630,13,40,24,6,670,1514,822,657,35
53001000413,1890,1185,171,986,5,23,18,0,1014,1741,743,968,30
53003000101,600,443,390,13,6,20,1,7,53,1567,861,671,35
53003000102,604,476,439,7,3,16,1,3,37,1788,1109,645,34
53003000001,601,490,463,9,2,8,1,3,27,1648,1225,385,38
53003000004,448,370,358,2,0,8,1,0,12,1382,1006,365,11
53003000003,88,74,61,4,2,3,0,0,13,885,641,224,20
53003000305,1330,1023,947,17,1,29,12,0,76,4401,2889,1420,92
53003000005,883,731,650,16,9,33,10,5,81,3320,1930,1341,49
53003000304,682,559,502,21,5,16,7,0,57,2225,1256,919,50
53003000302,1405,1136,1041,26,3,30,17,0,95,4045,2408,1558,79
53003000303,269,226,201,1,3,11,6,3,25,916,557,340,19
53003000306,1241,1055,979,15,4,30,7,0,76,3749,2104,1588,57
53003000501,1098,895,785,28,8,54,11,2,110,2557,1283,1208,66
53003000503,1096,924,846,22,13,16,9,9,78,2849,1501,1285,63
53003000307,819,634,563,18,5,15,23,0,71,2815,1600,1150,65
53003000201,738,586,507,33,12,17,7,1,79,1590,780,760,50
53003000207,855,646,582,24,13,15,4,0,64,1585,722,815,48
53003000208,1254,941,785,56,7,52,27,3,156,2107,1105,954,48
53003000202,1040,817,718,25,11,40,16,3,99,2239,1123,1044,72
53003000203,672,512,437,21,5,33,15,2,75,1840,895,900,45
53003000401,842,694,611,14,5,39,8,2,83,2178,1246,887,45
53003000204,829,664,600,22,9,19,9,4,64,2175,1171,960,44
53003000205,697,575,514,12,8,28,9,0,61,1456,733,690,33
53003000206,1076,836,735,34,12,32,16,3,101,2169,1088,1013,68
53003000502,1136,858,741,60,5,23,12,8,117,2325,1206,1057,62
53003000301,982,767,705,31,4,27,4,0,62,2619,1559,1024,36
53003000402,1000,797,723,15,4,23,13,0,74,2711,1498,1153,60
53005006145,714,584,491,27,7,11,31,1,93,2958,1382,1526,50
53005006160,940,740,596,79,7,14,37,3,144,2980,1308,1602,70
53005006190,711,578,498,32,6,18,12,7,80,2635,1239,1312,84
53005006235,759,550,413,74,16,22,18,1,137,1729,874,804,51
53005006120,688,571,433,42,25,7,54,0,138,2410,1113,1241,56
53005006115,636,510,376,39,3,5,82,1,134,1946,759,1141,46
53005006135,471,361,317,10,1,9,17,0,44,2000,866,1086,48
53005006130,519,417,358,10,3,4,42,0,59,2076,821,1204,51
53005006170,1278,940,684,167,23,38,30,4,256,2656,1435,1133,88
53005006155,874,674,551,60,16,35,26,6,123,3249,1728,1428,93
53005006175,1110,824,688,58,17,24,38,0,136,3868,2234,1547,87
53005006205,1001,664,512,83,27,40,12,5,152,2093,1027,985,81
53005006105,1174,884,556,211,19,40,51,5,328,2125,1189,901,35
53005006151,1680,1357,1060,54,32,13,173,5,297,5078,2640,2347,91
