
GEOID,NAME
53001000111,RITZVILLE WARD 1
53001000112,RITZVILLE WARD 2
53001000113,RITZVILLE WARD 3
53001000114,RITZVILLE WARD 4
53001000115,RITZVILLE WARD 5
53001000121,RITZVILLE RURAL NORTHWEST
53001000122,RITZVILLE RURAL SOUTHEAST
53001000123,BATUM
53001000211,BENGE
53001000212,WASHTUCNA
53001000221,WASHTUCNA RURAL
53001000222,RALSTON
53001000311,LIND
53001000313,HATTON
53001000321,LIND RURAL
53001000322,FAIRVIEW
53001000323,SCHRAG
53001000324,HATTON RURAL
53001000325,CUNNINGHAM
53001000411,OTHELLO 1
53001000412,OTHELLO 2
53001000413,OTHELLO 3
53001000414,OTHELLO 4
53001000415,OTHELLO 5
53001000416,OTHELLO 6
53001000511,OTHELLO RURAL 1
53001000512,OTHELLO RURAL 2
53001000513,OTHELLO RURAL 3
53001000514,OTHELLO RURAL 4
53001000515,OTHELLO RURAL 5
53001000516,OTHELLO RURAL 6
53003000001,ANATONE
53003000003,RURAL ASOTIN
53003000004,WEST ASOTIN
53003000005,SWALLOWS NEST
53003000101,ASOTIN 1
53003000102,ASOTIN 2
53003000201,CLARKSTON 1
53003000202,CLARKSTON 2
53003000203,CLARKSTON 3
53003000204,CLARKSTON 4
53003000205,CLARKSTON 5
53003000206,CLARKSTON 6
53003000207,CLARKSTON 7
53003000208,CLARKSTON 8
53003000301,CLARKSTON HEIGHTS 1
53003000302,CLARKSTON HEIGHTS 2
53003000303,CLARKSTON HEIGHTS 3
53003000304,CLARKSTON HEIGHTS 4
53003000305,CLARKSTON HEIGHTS 5
53003000306,CLARKSTON HEIGHTS 6
53003000307,CLARKSTON HEIGHTS 7
53003000401,SOUTH CLARKSTON 1
53003000402,SOUTH CLARKSTON 2
53003000501,WEST CLARKSTON 1
53003000502,WEST CLARKSTON 2
53003000503,WEST CLARKSTON 3
53005000096,96
53005000097,97
53005000098,98
53005000099,99
53005000450,450
53005000455,455
53005000460,460
53005000465,465
53005000470,470
53005001020,1020
53005001021,1021
53005001022,1022
53005001023,1023
53005001060,1060
53005001061,1061
53005001090,1090
53005001091,1091
53005001240,1240
53005001241,1241
53005001290,1290
53005001291,1291
53005001292,1292
53005001360,1360
53005001362,1362
53005001363,1363
53005001364,1364
53005001365,1365
53005001400,1400
53005001402,1402
53005001403,1403
53005001404,1404
53005001406,1406
53005001407,1407
53005001408,1408
53005001409,1409
53005001412,1412
53005001413,1413
53005001414,1414
53005001420,1420
53005001422,1422
53005001645,1645
53005001646,1646
53005001650,1650
53005001651,1651
53005001655,1655
53005001656,1656
53005001657,1657
53005001660,1660
53005001663,1663
53005001664,1664
53005001665,1665
53005001667,1667
53005001668,1668
53005001669,1669
53005001670,1670
53005001674,1674
53005001675,1675
53005001676,1676
53005001680,1680
53005001681,1681
53005001682,1682
53005001683,1683
53005001685,1685
53005001686,1686
53005001690,1690
53005001691,1691
53005002401,2401
53005002403,2403
53005002404,2404
53005002405,2405
53005002406,2406
53005002407,2407
53005002408,2408
53005002409,2409
53005002560,2560
53005002565,2565
53005002570,2570
53005002574,2574
53005002575,2575
53005002580,2580
53005002585,2585
53005002590,2590
53005002595,2595
53005002600,2600
53005002601,2601
53005002605,2605
53005002610,2610
53005002615,2615
53005002620,2620
53005002625,2625
53005002626,2626
53005002630,2630
53005002632,2632
53005002633,2633
53005002634,2634
53005002635,2635
53005002636,2636
53005002637,2637
53005002638,2638
53005002639,2639
53005002640,2640
53005002641,2641
53005003001,3001
53005003002,3002
53005003003,3003
53005003101,3101
53005003102,3102
53005003104,3104
53005003105,3105
53005003106,3106
53005003107,3107
53005003500,3500
53005003505,3505
53005003510,3510
53005003511,3511
53005003515,3515
53005003516,3516
53005003520,3520
53005003525,3525
53005003530,3530
53005003535,3535
53005003540,3540
53005003545,3545
53005003550,3550
53005003551,3551
53005003552,3552
53005003553,3553
53005003555,3555
53005003556,3556
53005003557,3557
53005003558,3558
53005003559,3559
53005003560,3560
53005004001,4001
53005004002,4002
53005004003,4003
53005004004,4004
53005004005,4005
53005004006,4006
53005004007,4007
53005004008,4008
53005004009,4009
53005004010,4010
53005004011,4011
53005004012,4012
53005004013,4013
53005004014,4014
53005004015,4015
53005004016,4016
53005004017,4017
53005004018,4018
53005004101,4101
53005004102,4102
53005004103,4103
53005005602,5602
53005005603,5603
53005005606,5606
53005005608,5608
53005005609,5609
53005005613,5613
53005005615,5615
53005005619,5619
53005005621,5621
53005005622,5622
53005005623,5623
53005005624,5624
53005005625,5625
53005005626,5626
53005005627,5627
53005005628,5628
53005005629,5629
53005005630,5630
53005005631,5631
53005005632,5632
53005005633,5633
53005005634,5634
53005005635,5635
53005005636,5636
53005005637,5637
53005005638,5638
53005005639,5639
53005006105,6105
53005006110,6110
53005006115,6115
53005006120,6120
53005006125,6125
53005006130,6130
53005006135,6135
53005006140,6140
53005006145,6145
53005006150,6150
53005006151,6151
53005006155,6155
53005006160,6160
53005006165,6165
53005006170,6170
53005006175,6175
53005006180,6180
53005006185,6185
53005006186,6186
53005006190,6190
53005006195,6195
53005006200,6200
53005006205,6205
53005006210,6210
53005006215,6215
53005006220,6220
53005006225,6225
53005006230,6230
53005006235,6235
53005006240,6240
53005006245,6245
53005006250,6250
53005006255,6255
53005006260,6260
53005006265,6265
53005006270,6270
53005006271,6271
53005006275,6275
53005006278,6278
53005006279,6279
53005006280,6280
53005006281,6281
53005006282,6282
53005006283,6283
53005006284,6284
53005006285,6285
53005006286,6286
53005006287,6287
53005006288,6288
53005006289,6289
53005006290,6290
53005006291,6291
53005006292,6292
53005006293,6293
53005006295,6295
53005006300,6300
53005006301,6301
53005006305,6305
53005006310,6310
53005006311,6311
53005006315,6315
53005006316,6316
53005006320,6320
53007000100,100
53007000110,110
53007000111,111
53007000112,112
53007000113,113
53007000114,114
53007000115,115
53007000116,116
53007000120,120
53007000121,121
