GEOID,TOTAL_POP,TOTAL_VAP,WHITE_VAP,HISPANIC_VAP,BLACK_VAP,NATIVE_VAP,ASIAN_VAP,PACIFIC_VAP,MINORITY_VAP,TOT_VOTES,REP_VOTES,DEM_VOTES,OTH_VOTES
55099004857,797,712,673,10,4,6,10,2,39,3021,1768,1177,76
55099004862,488,427,405,2,0,6,3,0,22,1748,1117,585,46
55099004865,220,173,168,0,1,0,0,0,5,768,486,262,20
55099004863,172,129,128,0,0,0,1,0,1,508,342,158,8
55099004858,163,129,126,0,0,1,1,1,3,605,356,238,11
55099004859,308,253,241,6,0,5,1,0,12,1082,623,443,16
55099004889,481,389,382,0,1,1,3,0,7,1835,1166,629,40
55099004884,563,425,393,8,0,17,3,0,32,1648,1045,544,59
55099004872,727,609,591,8,3,3,1,0,18,2298,1549,695,54
55099004882,499,366,331,6,5,5,6,10,35,1181,609,539,33
55099004887,544,457,444,1,0,5,0,2,13,1962,1254,675,33
55099004880,423,338,304,12,0,12,4,1,34,961,494,435,32
55099004870,441,407,395,1,0,4,1,0,12,1574,854,696,24
55099004871,665,559,540,5,0,9,3,1,19,2333,1257,1030,46
55099004856,184,165,150,1,0,10,0,0,15,633,350,269,14
55099004855,441,370,355,1,0,8,0,1,15,1420,790,605,25
55135006989,384,302,280,12,0,5,4,0,22,1123,771,329,23
55135006943,642,486,438,25,6,15,1,0,48,1383,694,637,52
55135006990,516,420,393,15,5,5,2,1,27,1440,984,420,36
55135006963,675,531,504,4,1,8,5,0,27,2114,1432,617,65
55017000595,902,704,625,24,4,12,32,1,79,2861,1524,1257,80
55017000593,544,394,357,9,2,14,9,0,37,1255,671,553,31
55017000580,882,678,624,8,3,12,23,0,54,2813,1494,1231,88
55017000588,911,738,684,8,3,11,10,2,54,2487,1317,1086,84
55017000587,1403,1083,1009,11,8,19,26,0,74,2861,1526,1258,77
55127006278,587,489,432,31,2,6,6,0,57,2100,1179,883,38
55127006268,90,68,51,16,0,0,0,0,17,318,171,134,13
55127006277,1936,1518,1235,178,51,13,47,1,283,4733,1947,2614,172
