
GEOID,NAME
55001000001,Adams - C 0001
55001000002,Adams - C 0002
55001000003,Adams - C 0003
55001000004,Adams - C 0004
55001000005,ADAMS - T 0001
55001000006,ADAMS - T 0002
55001000007,ADAMS - T 0003
55001000008,BIG FLATS - T 0001
55001000009,BIG FLATS - T 0002
55001000010,COLBURN - T 0001
55001000011,DELL PRAIRIE - T 0001
55001000012,DELL PRAIRIE - T 0003
55001000013,EASTON - T 0001
55001000014,EASTON - T 0002
55001000015,Friendship - V 0001
55001000016,JACKSON - T 0001
55001000017,JACKSON - T 0002
55001000018,LEOLA - T 0001
55001000019,LINCOLN - T 0001
55001000020,MONROE - T 0001
55001000021,NEW CHESTER - T 0001
55001000022,NEW CHESTER - T 0002
55001000023,NEW CHESTER - T 0003
55001000024,NEW HAVEN - T 0001
55001000025,PRESTON - T 0001
55001000026,PRESTON - T 0002
55001000027,QUINCY - T 0001
55001000028,QUINCY - T 0002
55001000029,QUINCY - T 0003
55001000030,RICHFIELD - T 0001
55001000031,ROME - T 0001
55001000032,ROME - T 0002
55001000033,ROME - T 0003
55001000034,ROME - T 0004
55001000035,ROME - T 0005
55001000036,SPRINGVILLE - T 0001
55001000037,SPRINGVILLE - T 0002
55001000038,STRONGS PRAIRIE - T 0003
55001000039,Wisconsin Dells - C 0005
55001000040,Wisconsin Dells - C 0005
55001000041,Wisconsin Dells - C 0009
55001000042,STRONGS PRAIRIE - T 0001
55001000043,STRONGS PRAIRIE - T 0002
55001000044,DELL PRAIRIE - T 0002
55003000045,AGENDA - T 0001
55003000046,Ashland - C 0001
55003000047,Ashland - C 0002
55003000048,Ashland - C 0003
55003000049,Ashland - C 0004
55003000050,Ashland - C 0005
55003000051,Ashland - C 0006
55003000052,Ashland - C 0007
55003000053,Ashland - C 0008
55003000054,Ashland - C 0009
55003000055,Ashland - C 0010
55003000056,Ashland - C 0011
55003000057,ASHLAND - T 0001
55003000058,Butternut - V 0001
55003000059,Butternut - V 0002
55003000060,CHIPPEWA - T 0001
55003000061,GINGLES - T 0001
55003000062,GORDON - T 0001
55003000063,GORDON - T 0002
55003000064,JACOBS - T 0001
55003000065,LA POINTE - T 0001
55003000066,MARENGO - T 0001
55003000067,MARENGO - T 0002
55003000068,Mellen - C 0001
55003000069,MORSE - T 0001
55003000070,MORSE - T 0002
55003000071,MORSE - T 0003
55003000072,PEEKSVILLE - T 0001
55003000073,PEEKSVILLE - T 0002
55003000074,SANBORN - T 0001
55003000075,SANBORN - T 0002
55003000076,SHANAGOLDEN - T 0001
55003000077,WHITE RIVER - T 0001
55003000078,WHITE RIVER - T 0002
55005000079,MAPLE PLAIN - T 0001
55005000080,LAKELAND - T 0001
55005000081,BEAR LAKE - T 0001
55005000082,Haugen - V 0001
55005000083,OAK GROVE - T 0002
55005000084,OAK GROVE - T 0001
55005000085,CEDAR LAKE - T 0001
55005000086,CRYSTAL LAKE - T 0001
55005000087,STANFOLD - T 0001
55005000088,RICE LAKE - T 0001
55005000089,RICE LAKE - T 0002
55005000090,DOYLE - T 0002
55005000091,DOYLE - T 0001
55005000092,SUMNER - T 0001
55005000093,CHETEK - T 0002
55005000094,CHETEK - T 0001
55005000095,DOVRE - T 0001
55005000096,SIOUX CREEK - T 0001
55005000097,Dallas - V 0001
55005000098,DALLAS - T 0001
55005000099,PRAIRIE FARM - T 0001
55005000100,PRAIRIE FARM - T 0002
55005000101,Prairie Farm - V 0001
55005000102,VANCE CREEK - T 0001
55005000103,TURTLE LAKE - T 0001
55005000104,ARLAND - T 0001
55005000105,MAPLE GROVE - T 0001
55005000106,MAPLE GROVE - T 0002
55005000107,PRAIRIE LAKE - T 0002
55005000108,PRAIRIE LAKE - T 0001
55005000109,CLINTON - T 0001
55005000110,BARRON - T 0001
55005000111,BARRON - T 0002
55005000112,ALMENA - T 0002
55005000113,ALMENA - T 0001
55005000114,Turtle Lake - V 0001
55005000115,Almena - V 0001
55005000116,New Auburn - V 0002
55005000117,Chetek - C 0001
55005000118,Chetek - C 0002
55005000119,Chetek - C 0004
55005000120,Chetek - C 0003
55005000121,Barron - C 0001
55005000122,Barron - C 0002
55005000123,Barron - C 0003
55005000124,Barron - C 0004
55005000125,Barron - C 0005
55005000126,Barron - C 0006
55005000127,Barron - C 0007
55005000128,STANLEY - T 0003
55005000129,STANLEY - T 0004
55005000130,STANLEY - T 0002
55005000131,STANLEY - T 0001
55005000132,Cameron - V 0001
55005000133,Cameron - V 0002
55005000134,Cameron - V 0003
55005000135,Rice Lake - C 0013
55005000136,RICE LAKE - T 0003
55005000137,RICE LAKE - T 0004
55005000138,Rice Lake - C 0005
55005000139,Rice Lake - C 0003
55005000140,Rice Lake - C 0006
55005000141,Rice Lake - C 0010
55005000142,Rice Lake - C 0009
55005000143,Rice Lake - C 0002
55005000144,Rice Lake - C 0004
55005000145,Rice Lake - C 0011
55005000146,Rice Lake - C 0012
55005000147,Rice Lake - C 0008
55005000148,Rice Lake - C 0007
55005000149,Rice Lake - C 0001
55005000150,Cumberland - C 0002
55005000151,Cumberland - C 0001
55005000152,Cumberland - C 0003
55005000153,Cumberland - C 0004
55005000154,New Auburn - V 0003
55005000155,LAKELAND - T 0002
55005000156,CUMBERLAND - T 0001
55007000157,KELLY - T 0001
55007000158,PORT WING - T 0001
55007000159,Ashland - C 0012
55007000160,RUSSELL - T 0001
55007000161,MASON - T 0001
55007000162,RUSSELL - T 0002
55007000163,LINCOLN - T 0001
55007000164,HUGHES - T 0001
55007000165,OULU - T 0001
55007000166,CABLE - T 0001
55007000167,BAYVIEW - T 0001
55007000168,BAYFIELD - T 0001
55007000169,DRUMMOND - T 0001
55007000170,GRANDVIEW - T 0001
55007000171,TRIPP - T 0001
55007000172,PILSEN - T 0001
55007000173,IRON RIVER - T 0002
55007000174,ORIENTA - T 0001
55007000175,IRON RIVER - T 0001
55007000176,WASHBURN - T 0001
55007000177,CLOVER - T 0001
55007000178,Mason - V 0001
55007000179,DELTA - T 0001
55007000180,KEYSTONE - T 0001
55007000181,BARNES - T 0001
55007000182,EILEEN - T 0001
55007000183,NAMAKAGON - T 0001
55007000184,BARKSDALE - T 0001
55007000185,BELL - T 0001
55007000186,EILEEN - T 0002
55007000187,Washburn - C 0003
55007000188,Washburn - C 0001
55007000189,Bayfield - C 0003
55007000190,Bayfield - C 0004
55007000191,Bayfield - C 0001
55007000192,Washburn - C 0004
55007000193,Bayfield - C 0002
55007000194,Washburn - C 0002
55009000195,SCOTT - T 0001
55009000196,Howard - V 0008
55009000197,Ashwaubenon - V 0008
55009000198,Green Bay - C 0013
55009000199,Howard - V 0007
55009000200,Ashwaubenon - V 0006
55009000201,LEDGEVIEW - T 0004
55009000202,Hobart - V 0005
55009000203,Green Bay - C 0032
55009000204,LEDGEVIEW - T 0010
55009000205,MORRISON - T 0001
55009000206,Green Bay - C 0014
55009000207,Green Bay - C 0041
55009000208,De Pere - C 0013
55009000209,Allouez - V 0009
55009000210,Ashwaubenon - V 0002
55009000211,Ashwaubenon - V 0004
55009000212,LEDGEVIEW - T 0001
55009000213,LEDGEVIEW - T 0002
55009000214,SCOTT - T 0003
55009000215,Suamico - V 0005
55009000216,Green Bay - C 0025
55009000217,Green Bay - C 0011
55009000218,Bellevue - V 0008
55009000219,De Pere - C 0001
55009000220,Green Bay - C 0026
55009000221,De Pere - C 0002
55009000222,Pulaski - V 0002
55009000223,Green Bay - C 0045
55009000224,Green Bay - C 0044
55009000225,LEDGEVIEW - T 0007
55009000226,HUMBOLDT - T 0002
55009000227,Green Bay - C 0019
55009000228,LAWRENCE - T 0005
55009000229,Howard - V 0009
55009000230,Green Bay - C 0001
55009000231,Green Bay - C 0012
55009000232,Allouez - V 0007
55009000233,Green Bay - C 0002
55009000234,Green Bay - C 0017
55009000235,NEW DENMARK - T 0002
55009000236,De Pere - C 0004
55009000237,Green Bay - C 0023
55009000238,Denmark - V 0003
55009000239,GREEN BAY - T 0002
55009000240,EATON - T 0001
55009000241,Howard - V 0018
55009000242,Green Bay - C 0040
55009000243,Howard - V 0010
55009000244,Green Bay - C 0008
55009000245,Green Bay - C 0018
55009000246,Howard - V 0013
55009000247,Bellevue - V 0009
55009000248,Howard - V 0014
55009000249,Green Bay - C 0022
55009000250,Suamico - V 0006
55009000251,Suamico - V 0002
55009000252,Green Bay - C 0036
55009000253,De Pere - C 0010
55009000254,Green Bay - C 0010
55009000255,LEDGEVIEW - T 0005
55009000256,Howard - V 0015
55009000257,Bellevue - V 0007
55009000258,De Pere - C 0007
55009000259,Green Bay - C 0003
55009000260,Allouez - V 0005
55009000261,Green Bay - C 0006
55009000262,De Pere - C 0003
55009000263,EATON - T 0002
55009000264,Green Bay - C 0033
55009000265,Green Bay - C 0007
55009000266,HUMBOLDT - T 0001
55009000267,De Pere - C 0006
55009000268,Hobart - V 0004
55009000269,Bellevue - V 0010
55009000270,Green Bay - C 0047
55009000271,Hobart - V 0001
55009000272,Pulaski - V 0001
55009000273,LAWRENCE - T 0002
55009000274,Denmark - V 0002
55009000275,GREEN BAY - T 0003
55009000276,Bellevue - V 0006
55009000277,Green Bay - C 0046
55009000278,LAWRENCE - T 0004
55009000279,Howard - V 0011
55009000280,PITTSFIELD - T 0003
55009000281,Ashwaubenon - V 0003
55009000282,MORRISON - T 0002
55009000283,Suamico - V 0003
55009000284,Ashwaubenon - V 0011
55009000285,HOLLAND - T 0002
55009000286,Howard - V 0005
55009000287,Bellevue - V 0002
55009000288,Green Bay - C 0038
55009000289,NEW DENMARK - T 0001
55009000290,Howard - V 0012
55009000291,PITTSFIELD - T 0002
55009000292,WRIGHTSTOWN - T 0003
55009000293,Green Bay - C 0029
55009000294,Green Bay - C 0020
55009000295,Howard - V 0016
55009000296,LEDGEVIEW - T 0008
55009000297,Green Bay - C 0030
55009000298,Green Bay - C 0005
55009000299,Bellevue - V 0004
55009000300,Pulaski - V 0006
55009000301,Hobart - V 0002
55009000302,Green Bay - C 0015
55009000303,Suamico - V 0008
